t,value
1407251904,224395264
1407251906,224395264
1407251908,224395264
1407251910,224395264
1407251912,224395264
1407251914,224395264
1407251916,224395264
1407251918,224395264
1407251920,224395264
1407251922,224395264
1407251924,224395264
1407251926,224395264
1407251928,224395264
1407251930,224395264
1407251932,224395264
1407251934,224395264
1407251936,224395264
1407251938,224395264
1407251940,224395264
1407251942,224395264
1407251944,224395264
1407251946,224395264
1407251948,224395264
1407251950,224395264
1407251952,224395264
1407251954,224395264
1407251956,224395264
1407251958,224395264
1407251960,224395264
1407251962,224395264
1407251964,224395264
1407251966,224395264
1407251968,224395264
1407251970,224395264
1407251972,224395264
1407251974,224395264
1407251976,224395264
