t,value
1407251904,0.4875
1407251906,0.78125
1407251908,0.625
1407251910,0.8125
1407251912,0.25
1407251914,0.5
1407251916,0.5
1407251918,0.4375
1407251920,0.5625
1407251922,0.5
1407251924,0.5625
1407251926,0.5
1407251928,0.5
1407251930,0.4375
1407251932,0.6875
1407251934,0.5
1407251936,0.6875
1407251938,0.5
1407251940,0.5
1407251942,0.625
1407251944,0.5
1407251946,0.5
1407251948,0.5625
1407251950,0.5
1407251952,0.6875
1407251954,0.5625
1407251956,0.6875
1407251958,0.625
1407251960,0.5
1407251962,0.5
1407251964,0.75
1407251966,0.8125
1407251968,0.8125
1407251970,0.8125
1407251972,0.8125
1407251974,0.8125
1407251976,0.3125
