t,value
1407251904,406781952
1407251906,550436864
1407251908,436142080
1407251910,308215808
1407251912,224854016
1407251914,220659712
1407251916,236388352
1407251918,201785344
1407251920,233766912
1407251922,227475456
1407251924,250019840
1407251926,212795392
1407251928,233766912
1407251930,233766912
1407251932,265224192
1407251934,189726720
1407251936,233242624
1407251938,183959552
1407251940,175046656
1407251942,212271104
1407251944,235864064
1407251946,189726720
1407251948,216989696
1407251950,205455360
1407251952,230096896
1407251954,210698240
1407251956,224329728
1407251958,241631232
1407251960,188153856
1407251962,196542464
1407251964,281477120
1407251966,272039936
1407251968,272039936
1407251970,272039936
1407251972,272039936
1407251974,272039936
1407251976,263127040
