t,value
1407251904,1590689792
1407251906,1590689792
1407251908,1590689792
1407251910,1590689792
1407251912,1590689792
1407251914,1590689792
1407251916,1590689792
1407251918,1590689792
1407251920,1590689792
1407251922,1590689792
1407251924,1590689792
1407251926,1590689792
1407251928,1590689792
1407251930,1590689792
1407251932,1590689792
1407251934,1590689792
1407251936,1590689792
1407251938,1590689792
1407251940,1590689792
1407251942,1590689792
1407251944,1590689792
1407251946,1590689792
1407251948,1590689792
1407251950,1590689792
1407251952,1590689792
1407251954,1590689792
1407251956,1590689792
1407251958,1590689792
1407251960,1590689792
1407251962,1590689792
1407251964,1590689792
1407251966,1590689792
1407251968,1590689792
1407251970,1590689792
1407251972,1590689792
1407251974,1590689792
1407251976,1590689792
