t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407251904,31126,0.232317,0.016286,0.004279,0.019561,0.010185,0.021013,0.037413,0.072318,0.119951,0.232207,15192.241949,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251906,100352,0.191057,0.010306,0.004279,0.011527,0.007083,0.009072,0.024323,0.035989,0.050137,0.189494,25344.537139,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251908,177078,2.514576,0.011405,0.004279,0.078729,0.007075,0.007344,0.020076,0.026001,0.036265,2.447194,29740.217083,27755.600000,27755.600000,27755.600000,calls/second,milliseconds
1407251910,257022,2.514576,0.010877,0.004428,0.078700,0.007067,0.007246,0.013633,0.024351,0.030253,2.447194,32313.322097,27755.600000,27755.600000,27755.600000,calls/second,milliseconds
1407251912,332500,2.514576,0.010428,0.004422,0.078510,0.007061,0.007209,0.010943,0.021114,0.025698,2.447194,33401.749311,27755.600000,27755.600000,27755.600000,calls/second,milliseconds
1407251914,411446,2.514576,0.010326,0.004422,0.078507,0.007055,0.007193,0.010517,0.018195,0.025698,2.447194,34417.026758,28667.029709,27944.012204,27818.753301,calls/second,milliseconds
1407251916,485337,2.514576,0.010283,0.004422,0.078509,0.007051,0.007186,0.010284,0.015749,0.025440,2.447194,34781.427834,28667.029709,27944.012204,27818.753301,calls/second,milliseconds
1407251918,563531,2.514576,0.010152,0.004274,0.078479,0.007051,0.007188,0.009888,0.015160,0.022802,2.447194,35320.226623,29432.298232,28114.160162,27876.478619,calls/second,milliseconds
1407251920,640306,2.514576,0.010132,0.004274,0.078472,0.007056,0.007189,0.010171,0.014671,0.021116,2.447194,35641.179098,29432.298232,28114.160162,27876.478619,calls/second,milliseconds
1407251922,717597,2.514576,0.010053,0.004274,0.078433,0.007058,0.007193,0.009809,0.014047,0.020474,2.447194,35960.750653,29432.298232,28114.160162,27876.478619,calls/second,milliseconds
1407251924,789124,0.191057,0.007562,0.004274,0.006132,0.007056,0.007182,0.009300,0.013856,0.017246,0.186807,35945.384905,30174.358166,28289.346881,27936.515703,calls/second,milliseconds
1407251926,863009,0.191057,0.007563,0.004274,0.006117,0.007056,0.007183,0.009273,0.013872,0.016666,0.186807,36028.547448,30174.358166,28289.346881,27936.515703,calls/second,milliseconds
1407251928,937555,0.191057,0.007556,0.004274,0.006115,0.007051,0.007179,0.009169,0.013813,0.016666,0.186807,36124.266379,30672.756656,28423.533109,27983.447905,calls/second,milliseconds
1407251930,1013968,0.191057,0.007554,0.004274,0.006104,0.007048,0.007176,0.009169,0.013856,0.015806,0.186807,36272.499632,30672.756656,28423.533109,27983.447905,calls/second,milliseconds
