t,count
1407251904,31825
1407251906,103852
1407251908,182804
1407251910,265143
1407251912,344931
1407251914,428160
1407251916,507119
1407251918,586525
1407251920,665456
1407251922,745711
1407251924,819657
1407251926,895289
1407251928,973991
1407251930,1054272
1407251932,1124781
1407251934,1204711
1407251936,1281489
1407251938,1363056
1407251940,1434767
1407251942,1515593
1407251944,1595618
1407251946,1677553
1407251948,1755890
1407251950,1827090
1407251952,1909248
1407251954,1988791
1407251956,2069284
1407251958,2150676
1407251960,2228590
1407251962,2291596
1407251964,2313683
1407251966,2313683
1407251968,2313683
1407251970,2313683
1407251972,2313683
1407251974,2313683
1407251976,2313683
