t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407251904,31217,0.027254,0.005299,0.000187,0.003692,0.006629,0.007922,0.010215,0.012440,0.014175,0.026972,15178.721959,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251906,100352,0.041673,0.006302,0.000192,0.003227,0.006682,0.006833,0.010378,0.012994,0.014198,0.041255,25306.999798,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251908,176865,0.041673,0.006213,0.000192,0.003068,0.006710,0.006815,0.009381,0.012187,0.013775,0.041278,29682.219878,27736.400000,27736.400000,27736.400000,calls/second,milliseconds
1407251910,257022,0.041673,0.006274,0.000141,0.002725,0.006709,0.006805,0.008767,0.011336,0.013280,0.041278,32294.630907,27736.400000,27736.400000,27736.400000,calls/second,milliseconds
1407251912,332500,0.041673,0.006331,0.000141,0.002605,0.006709,0.006797,0.008619,0.011503,0.013110,0.041278,33386.827117,27736.400000,27736.400000,27736.400000,calls/second,milliseconds
1407251914,411324,0.041673,0.006348,0.000118,0.002636,0.006708,0.006795,0.008601,0.011611,0.013466,0.041278,34394.491972,28649.348865,27925.126246,27799.658564,calls/second,milliseconds
1407251916,485397,0.041673,0.006302,0.000090,0.002797,0.006706,0.006791,0.008169,0.010862,0.013110,0.041638,34765.535882,28649.348865,27925.126246,27799.658564,calls/second,milliseconds
1407251918,563578,0.040459,0.006221,0.000118,0.002587,0.006699,0.006783,0.008095,0.009981,0.012928,0.040099,35313.863754,29415.983097,28095.576445,27857.486346,calls/second,milliseconds
1407251920,640351,1.509364,0.007608,0.000118,0.046953,0.006698,0.006787,0.008064,0.009981,0.012888,1.466766,35631.186032,29415.983097,28095.576445,27857.486346,calls/second,milliseconds
1407251922,717616,1.509364,0.007604,0.000112,0.046951,0.006698,0.006783,0.007702,0.009779,0.012888,1.466766,35953.809011,29415.983097,28095.576445,27857.486346,calls/second,milliseconds
