t,count
1407251904,18611
1407251906,82495
1407251908,148359
1407251910,223930
1407251912,294838
1407251914,366831
1407251916,432733
1407251918,502846
1407251920,567410
1407251922,637847
1407251924,702940
1407251926,767420
1407251928,820500
1407251930,862512
1407251932,904763
1407251934,961783
1407251936,1027831
1407251938,1101030
1407251940,1158132
1407251942,1210517
1407251944,1258298
1407251946,1317737
1407251948,1378409
1407251950,1434879
1407251952,1497432
1407251954,1549201
1407251956,1574058
1407251958,1578133
1407251960,1581552
1407251962,1586127
1407251964,1588249
1407251966,1588249
1407251968,1588249
1407251970,1588249
1407251972,1588249
1407251974,1588249
1407251976,1588249
