timestamp,operator,process_time
1407251904,source-0,0.367374
1407251906,source-0,0.214652
1407251908,source-0,0.159198
1407251910,source-0,0.098135
1407251912,source-0,0.085282
1407251914,source-0,0.075375
1407251916,source-0,0.074045
1407251918,source-0,0.070312
1407251920,source-0,0.067182
1407251922,source-0,0.061798
1407251924,source-0,0.056323
1407251926,source-0,0.056323
1407251928,source-0,0.052378
1407251930,source-0,0.052378
1407251932,source-0,0.052378
1407251934,source-0,0.052378
1407251936,source-0,0.048314
1407251938,source-0,0.043802
1407251940,source-0,0.043802
1407251942,source-0,0.043802
1407251944,source-0,0.043728
1407251946,source-0,0.042082
1407251948,source-0,0.042082
1407251950,source-0,0.042226
1407251952,source-0,0.042161
1407251954,source-0,0.042161
1407251956,source-0,0.042161
1407251958,source-0,0.042161
1407251960,source-0,0.042229
1407251962,source-0,0.042229
1407251964,source-0,0.042229
1407251966,source-0,0.042229
1407251968,source-0,0.042229
1407251970,source-0,0.042229
1407251972,source-0,0.042229
1407251974,source-0,0.042229
1407251976,source-0,0.042229
1407251904,spikeDetector-0,0.014175
1407251906,spikeDetector-0,0.014198
1407251908,spikeDetector-0,0.013775
1407251910,spikeDetector-0,0.013280
1407251912,spikeDetector-0,0.013110
1407251914,spikeDetector-0,0.013466
1407251916,spikeDetector-0,0.013110
1407251918,spikeDetector-0,0.012928
1407251920,spikeDetector-0,0.012888
1407251922,spikeDetector-0,0.012888
1407251924,spikeDetector-0,0.012888
1407251926,spikeDetector-0,0.013241
1407251928,spikeDetector-0,0.011425
1407251930,spikeDetector-0,0.010916
1407251932,spikeDetector-0,0.010916
1407251934,spikeDetector-0,0.010855
1407251936,spikeDetector-0,0.011425
1407251938,spikeDetector-0,0.010855
1407251940,spikeDetector-0,0.010855
1407251942,spikeDetector-0,0.010574
1407251944,spikeDetector-0,0.010574
1407251946,spikeDetector-0,0.010574
1407251948,spikeDetector-0,0.010224
1407251950,spikeDetector-0,0.010574
1407251952,spikeDetector-0,0.010574
1407251954,spikeDetector-0,0.010224
1407251956,spikeDetector-0,0.010574
1407251958,spikeDetector-0,0.010011
1407251960,spikeDetector-0,0.010011
1407251962,spikeDetector-0,0.009808
1407251964,spikeDetector-0,0.009808
1407251966,spikeDetector-0,0.009808
1407251968,spikeDetector-0,0.009808
1407251970,spikeDetector-0,0.009808
1407251972,spikeDetector-0,0.009808
1407251974,spikeDetector-0,0.009808
1407251976,spikeDetector-0,0.009808
1407251904,sink-0,0.000489
1407251906,sink-0,0.000390
1407251908,sink-0,0.000288
1407251910,sink-0,0.000255
1407251912,sink-0,0.000255
1407251914,sink-0,0.000248
1407251916,sink-0,0.000248
1407251918,sink-0,0.000234
1407251920,sink-0,0.000234
1407251922,sink-0,0.000225
1407251924,sink-0,0.000234
1407251926,sink-0,0.000234
1407251928,sink-0,0.000234
1407251930,sink-0,0.000225
1407251932,sink-0,0.000225
1407251934,sink-0,0.000225
1407251936,sink-0,0.000225
1407251938,sink-0,0.000220
1407251940,sink-0,0.000220
1407251942,sink-0,0.000220
1407251944,sink-0,0.000216
1407251946,sink-0,0.000204
1407251948,sink-0,0.000192
1407251950,sink-0,0.000182
1407251952,sink-0,0.000179
1407251954,sink-0,0.000182
1407251956,sink-0,0.000182
1407251958,sink-0,0.000191
1407251960,sink-0,0.000201
1407251962,sink-0,0.000206
1407251964,sink-0,0.000206
1407251966,sink-0,0.000206
1407251968,sink-0,0.000206
1407251970,sink-0,0.000206
1407251972,sink-0,0.000206
1407251974,sink-0,0.000206
1407251976,sink-0,0.000206
1407251904,movingAverage-0,0.119951
1407251906,movingAverage-0,0.050137
1407251908,movingAverage-0,0.036265
1407251910,movingAverage-0,0.030253
1407251912,movingAverage-0,0.025698
1407251914,movingAverage-0,0.025698
1407251916,movingAverage-0,0.025440
1407251918,movingAverage-0,0.022802
1407251920,movingAverage-0,0.021116
1407251922,movingAverage-0,0.020474
1407251924,movingAverage-0,0.017246
1407251926,movingAverage-0,0.016666
1407251928,movingAverage-0,0.016666
1407251930,movingAverage-0,0.015806
1407251932,movingAverage-0,0.015806
1407251934,movingAverage-0,0.015806
1407251936,movingAverage-0,0.015806
1407251938,movingAverage-0,0.016258
1407251940,movingAverage-0,0.015994
1407251942,movingAverage-0,0.015560
1407251944,movingAverage-0,0.014813
1407251946,movingAverage-0,0.014422
1407251948,movingAverage-0,0.014435
1407251950,movingAverage-0,0.014225
1407251952,movingAverage-0,0.014176
1407251954,movingAverage-0,0.014176
1407251956,movingAverage-0,0.014108
1407251958,movingAverage-0,0.014176
1407251960,movingAverage-0,0.014176
1407251962,movingAverage-0,0.014176
1407251964,movingAverage-0,0.014176
1407251966,movingAverage-0,0.014176
1407251968,movingAverage-0,0.014176
1407251970,movingAverage-0,0.014176
1407251972,movingAverage-0,0.014176
1407251974,movingAverage-0,0.014176
1407251976,movingAverage-0,0.014176
