timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407251903,,,,,,,,70
1407251904,0,18603,0.000180,18788,0.000111,0.000428,0.000489,18986
1407251905,,,,,,,,31366
1407251906,0,82495,0.000121,82495,0.000053,0.000248,0.000390,35927
1407251907,,,,,,,,34838
1407251908,0,148359,0.000113,148359,0.000040,0.000187,0.000288,31233
1407251909,,,,,,,,40042
1407251910,0,223920,0.000109,223986,0.000032,0.000147,0.000255,35867
1407251911,,,,,,,,36244
1407251912,0,294838,0.000109,294838,0.000032,0.000150,0.000255,33338
1407251913,,,,,,,,38297
1407251914,0,366824,0.000109,366985,0.000030,0.000135,0.000248,33145
1407251915,,,,,,,,34376
1407251916,0,432733,0.000109,433148,0.000030,0.000135,0.000248,33169
1407251917,,,,,,,,32378
1407251918,0,502846,0.000108,502922,0.000029,0.000133,0.000234,37352
1407251919,,,,,,,,26639
1407251920,0,567402,0.000109,568094,0.000029,0.000132,0.000234,38274
1407251921,,,,,,,,34924
1407251922,0,637847,0.000108,638293,0.000027,0.000132,0.000225,35709
1407251923,,,,,,,,33300
1407251924,0,702932,0.000109,702994,0.000033,0.000132,0.000234,30808
1407251925,,,,,,,,35377
1407251926,0,767416,0.000109,767519,0.000033,0.000132,0.000234,27988
1407251927,,,,,,,,23388
1407251928,0,820500,0.000109,820720,0.000033,0.000132,0.000234,30646
1407251929,,,,,,,,21578
1407251930,0,862512,0.000109,862732,0.000031,0.000132,0.000225,20542
1407251931,,,,,,,,21381
1407251932,0,904763,0.000109,905072,0.000031,0.000132,0.000225,21368
1407251933,,,,,,,,34006
1407251934,0,961783,0.000109,961783,0.000030,0.000132,0.000225,20420
1407251935,,,,,,,,33564
1407251936,0,1027831,0.000108,1027929,0.000030,0.000131,0.000225,34810
1407251937,,,,,,,,37828
1407251938,0,1101030,0.000108,1101219,0.000030,0.000130,0.000220,36024
1407251939,,,,,,,,31227
1407251940,0,1158132,0.000107,1158437,0.000029,0.000129,0.000220,25046
1407251941,,,,,,,,25781
1407251942,0,1210486,0.000107,1210784,0.000030,0.000129,0.000220,26626
1407251943,,,,,,,,22152
1407251944,0,1258298,0.000106,1258708,0.000029,0.000128,0.000216,26391
1407251945,,,,,,,,25247
1407251946,0,1317728,0.000105,1318386,0.000028,0.000128,0.000204,34261
1407251947,,,,,,,,26599
1407251948,0,1378409,0.000105,1378409,0.000028,0.000127,0.000192,33494
1407251949,,,,,,,,30952
1407251950,0,1434864,0.000105,1435113,0.000028,0.000126,0.000182,24921
1407251951,,,,,,,,30927
1407251952,0,1497432,0.000105,1497800,0.000028,0.000126,0.000179,32183
1407251953,,,,,,,,28342
1407251954,0,1549200,0.000105,1549490,0.000028,0.000126,0.000182,21662
1407251955,,,,,,,,15082
1407251956,0,1574058,0.000105,1574072,0.000028,0.000126,0.000182,8652
1407251957,,,,,,,,2937
1407251958,0,1578132,0.000105,1578135,0.000028,0.000126,0.000191,579
1407251959,,,,,,,,954
1407251960,0,1581552,0.000106,1581552,0.000030,0.000128,0.000201,2709
1407251961,,,,,,,,1511
1407251962,0,1586127,0.000106,1586127,0.000030,0.000129,0.000206,3364
1407251964,0,1588249,0.000106,1588249,0.000030,0.000129,0.000206,
1407251966,0,1588249,0.000106,1588249,0.000030,0.000129,0.000206,
1407251968,0,1588249,0.000106,1588249,0.000030,0.000129,0.000206,
1407251970,0,1588249,0.000106,1588249,0.000030,0.000129,0.000206,
1407251972,0,1588249,0.000106,1588249,0.000030,0.000129,0.000206,
1407251974,0,1588249,0.000106,1588249,0.000030,0.000129,0.000206,
1407251976,0,1588249,0.000106,1588249,0.000030,0.000129,0.000206,
