app,operator_id,operator,ratio,throughput_avg,throughput_5th,throughput_stddev,process_time_99th,process_time_95th,process_time_avg,process_time_stddev
ads-analytics,0,source,1.26580790391,73240,37611.0,19041.260802758774,0.044517,0.024179,0.013138,0.028629
ads-analytics,1,sink,0.0,1572,1295.0,325.6726857211886,0.046774,0.029352,0.034542,0.523136
ads-analytics,2,ctrOperator,0.0200522606263,92578,47013.0,24183.22950939622,0.008211,0.004948,0.002608,0.00175
bargain-index,0,source,1.99888790092,22629,18241.800000000003,2507.947593111929,0.069534,0.058861,0.037826,0.026561
bargain-index,1,bargainIndexOperator,1.2899765199e-05,7299,4378.8,6648.075677054866,0.001436,0.000852,0.000516,0.000352
bargain-index,2,sink,0.0,31,31.0,0.0,0.308304,0.308304,0.253818,0.034167
bargain-index,3,vwapOperator,1.99945249226,2433,1789.8,276.7670236539182,0.75438,0.460592,0.394295,0.067456
reinforcement-learner,0,reinforcementLearner,1.0,66995,27575.300000000003,34901.862264864256,0.023841,0.010675,0.005572,0.019996
reinforcement-learner,1,eventSource,1.0,67260,29355.800000000003,33490.07888912775,0.051238,0.015889,0.009302,0.057753
reinforcement-learner,2,sink,0.0,67124,53471.600000000006,11515.377660618286,0.030389,0.018481,0.008692,0.015077
smart-grid,0,plugMedianCalculator,1.0,2349,46.2,2138.4202949899,0.213523,0.089226,0.036487,0.214796
smart-grid,1,plugLoadPredictor,0.306466551593,6885,1809.0,3661.351590904952,0.029036,0.00869,0.002901,0.005334
smart-grid,2,globalMedianCalculator,7.82717595492e-06,2333,46.400000000000006,2124.5190886468145,0.013938,0.005072,0.175286,6.066514
smart-grid,3,slidingWindow,0.5,4710,71.4,4299.505538610598,0.149823,0.055015,0.018893,0.151976
smart-grid,4,source,1.0,5035,70.2,4271.75990563117,0.176905,0.091689,0.039618,0.115669
smart-grid,5,predictionSink,0.0,1687,54.6,3836.436048081658,0.239033,0.075427,0.033796,0.158098
smart-grid,6,outlierSink,0.0,1109,23.2,1006.4162062719944,0.098073,0.042014,0.020917,0.045994
smart-grid,7,outlierDetector,0.471607141459,2350,51.0,2137.717410790084,0.053461,0.020469,0.00778,0.013609
smart-grid,8,houseLoadPredictor,0.0305314857181,4670,73.0,4299.631597770117,0.003193,0.001012,0.0005,0.001202
traffic-monitoring,0,source,0.99999976347,50364,11136.400000000001,16653.67777434656,0.034813,0.026783,0.015243,0.007921
traffic-monitoring,1,mapMatcherBolt,0.150739795848,102,20.0,118.95465851596796,106.595317,77.253629,9.331042,24.391747
traffic-monitoring,2,sink,0.0,15,9.0,4.856731596517384,0.169609,0.123944,0.05025,0.02721
traffic-monitoring,3,speedCalculatorBolt,1.0,15,9.0,4.832285264004563,0.132871,0.095943,0.041512,0.021838
voipstream,0,GlobalACDModule,1.0,3,2.0,0.8694349658044088,0.498229,0.042279,0.043813,0.54038
voipstream,1,ECR24Filter,0.952504749525,3,2.0,0.8694349658044089,0.418324,0.234964,0.107615,0.087465
voipstream,2,VariationDetector,2.0,3,2.0,0.8694349658044089,347.152482,344.088015,277.343848,21.184818
voipstream,3,ENCRFilter,0.342465753425,3,2.0,0.8702186333741098,0.016844,0.002709,0.002168,0.00208
voipstream,4,ECRFilter,0.952504749525,3,2.0,0.8702186333741098,0.324969,0.263821,0.143276,0.062281
voipstream,5,FoFiRModule,0.5,5,4.0,1.2349333573294234,0.138089,0.124281,0.040215,0.034906
voipstream,6,source,1.0,2131,2131.0,0.0,0.755838,0.496462,0.484533,4.924701
voipstream,7,RCRFilter,0.476252374763,5,4.0,1.1568870186688487,0.41803,0.19458,0.056545,0.079611
voipstream,8,ACDModule,0.149224468456,6,6.0,0.6237483528096776,0.056091,0.027053,0.008287,0.015639
voipstream,9,Scorer,0.265815828041,4,3.0,1.5821038767182785,0.406571,0.077781,0.037436,0.079224
voipstream,10,CT24Filter,0.342465753425,3,2.0,0.8694349658044088,0.036071,0.036071,0.004701,0.009682
voipstream,11,URLModule,0.264458342985,3,3.0,0.7085953229284411,0.249378,0.249378,0.035058,0.055242
voipstream,12,sink,0.0,2,1.0,0.734481815568731,0.110617,0.110617,0.052051,0.029722
