t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593392481,27,107.592063,7.676280,0.002084,27.143687,0.004562,0.005181,99.538847,107.592063,107.592063,107.592063,15.267294,0.000000,0.000000,0.000000,calls/second,milliseconds
1593392486,30,326.570901,30.713692,0.002084,79.447056,0.004598,0.008235,274.319420,326.570901,326.570901,326.570901,4.487257,5.800000,5.800000,5.800000,calls/second,milliseconds
1593392491,33,326.570901,30.557054,0.001312,76.470211,0.004563,0.008235,274.319420,326.570901,326.570901,326.570901,2.820971,5.400222,5.717357,5.772299,calls/second,milliseconds
1593392496,44,326.570901,22.788672,0.000242,65.759231,0.004205,0.005181,107.592063,326.570901,326.570901,326.570901,2.636172,4.984435,5.626163,5.741428,calls/second,milliseconds
1593392501,75,326.570901,17.170843,0.000242,57.100011,0.000523,0.004563,105.787151,274.319420,326.570901,326.570901,3.453831,4.777795,5.572840,5.722916,calls/second,milliseconds
1593392506,97,326.570901,13.146486,0.000242,49.709939,0.000569,0.004316,99.538847,236.190290,274.319420,326.570901,3.629253,5.067411,5.619568,5.737747,calls/second,milliseconds
1593392511,113,326.570901,16.473672,0.000242,56.181464,0.000593,0.004397,107.592063,274.319420,312.858529,326.570901,3.565976,4.854136,5.566354,5.719256,calls/second,milliseconds
1593392516,174,326.570901,11.300425,0.000242,44.416563,0.000470,0.003991,78.842887,236.190290,312.858529,326.570901,4.742771,5.537426,5.695832,5.761808,calls/second,milliseconds
1593392521,190,326.570901,13.794299,0.000242,48.376198,0.000489,0.004293,105.490952,236.190290,275.697860,326.570901,4.556362,5.430491,5.671109,5.753155,calls/second,milliseconds
1593392526,201,326.570901,14.091642,0.000242,46.825198,0.000498,0.004647,99.538847,236.190290,275.697860,326.570901,4.284052,5.124222,5.603819,5.730146,calls/second,milliseconds
1593392531,206,326.570901,18.666993,0.000242,57.234521,0.000516,0.004950,105.787151,299.201880,305.675232,326.570901,3.980643,4.842441,5.537642,5.707265,calls/second,milliseconds
1593392536,244,326.570901,15.603159,0.000242,51.428452,0.000624,0.004408,91.050534,275.697860,305.675232,326.570901,4.302608,4.982967,5.555201,5.712211,calls/second,milliseconds
1593392541,249,326.570901,17.260601,0.000242,54.053966,0.000631,0.004598,105.490952,275.697860,305.675232,326.570901,4.033348,4.744463,5.496439,5.691644,calls/second,milliseconds
1593392546,255,326.570901,18.208321,0.000242,53.915397,0.000644,0.005181,99.538847,275.697860,305.675232,326.570901,3.821982,4.445072,5.422119,5.665652,calls/second,milliseconds
1593392551,257,326.570901,18.276812,0.000242,53.629527,0.000644,0.013346,99.538847,274.319420,305.675232,326.570901,3.583822,4.169619,5.349028,5.639804,calls/second,milliseconds
1593392556,261,326.570901,18.470628,0.000242,53.040748,0.000664,2.073003,99.538847,274.319420,305.675232,326.570901,3.395792,3.900199,5.273839,5.612990,calls/second,milliseconds
1593392561,303,326.570901,16.725220,0.000242,48.494562,0.000624,0.004950,99.031502,252.222915,299.201880,326.570901,3.708923,4.180028,5.308981,5.622891,calls/second,milliseconds
1593392566,311,326.570901,17.139815,0.000242,48.351568,0.000624,0.004950,102.380631,236.190290,299.201880,326.570901,3.587922,4.037705,5.260900,5.605035,calls/second,milliseconds
1593392571,317,326.570901,18.056618,0.000242,47.837274,0.000633,1.857450,102.156243,236.190290,299.201880,326.570901,3.457600,3.778832,5.187168,5.578415,calls/second,milliseconds
1593392576,326,326.570901,17.307101,0.000242,46.640923,0.000627,1.857450,102.156243,236.190290,299.201880,326.570901,3.371401,3.604622,5.127877,5.556374,calls/second,milliseconds
