t,value
1593392481,314
1593392486,9
1593392491,17
1593392496,86
1593392501,150
1593392506,85
1593392511,37
1593392516,251
1593392521,42
1593392526,44
1593392531,26
1593392536,162
1593392541,25
1593392546,32
1593392551,12
1593392556,18
1593392561,173
1593392566,38
1593392571,27
1593392576,66
1593392581,214
1593392586,61
1593392591,34
1593392596,231
1593392601,32
1593392606,25
1593392611,167
1593392616,26
1593392621,50
1593392626,206
1593392631,39
1593392636,70
1593392641,30
1593392646,154
1593392651,37
1593392656,32
1593392661,37
1593392666,33
1593392671,157
1593392676,33
1593392681,49
1593392686,50
1593392691,157
1593392696,26
1593392701,34
1593392706,41
1593392711,20
1593392716,31
1593392721,134
1593392726,25
1593392731,58
1593392736,27
1593392741,36
1593392746,47
1593392751,14
1593392756,13
1593392761,13
1593392766,12
1593392771,61
1593392776,85
1593392781,172
1593392786,29
1593392791,81
1593392796,32
1593392801,446
1593392806,24
1593392811,83
1593392816,247
1593392821,228
1593392826,34
1593392831,61
1593392836,95
1593392841,112
1593392846,53
1593392851,39
1593392856,57
1593392861,139
1593392866,39
1593392871,34
1593392876,37
1593392881,227
1593392886,47
1593392891,64
1593392896,427
1593392901,112
1593392906,25
1593392911,222
1593392916,239
1593392921,58
1593392926,132
1593392931,465
1593392936,19
1593392941,27
1593392946,25
1593392951,400
1593392956,35
1593392961,20
1593392966,77
1593392971,434
1593392976,24
1593392981,587
1593392986,51
1593392991,56
1593392996,433
1593393001,27
1593393006,89
1593393011,169
1593393016,29
1593393021,56
1593393026,34
1593393031,28
1593393036,528
1593393041,473
1593393046,30
1593393051,30
1593393056,58
1593393061,71
1593393066,114
1593393071,23
1593393076,266
1593393081,71
1593393086,34
1593393091,176
1593393096,31
1593393101,76
1593393106,202
1593393111,27
1593393116,51
1593393121,28
1593393126,197
1593393131,269
1593393136,78
1593393141,38
1593393146,31
1593393151,166
1593393156,266
1593393161,285
1593393166,44
1593393171,33
1593393176,48
1593393181,32
1593393186,167
1593393191,151
1593393196,22
1593393201,29
1593393206,77
1593393211,305
1593393216,26
1593393221,61
1593393226,27
1593393231,211
1593393236,31
1593393241,168
1593393246,117
1593393251,266
1593393256,32
1593393261,30
1593393266,169
1593393271,104
1593393276,25
1593393281,175
1593393286,68
1593393291,229
1593393296,29
1593393301,61
1593393306,45
1593393311,156
1593393316,89
1593393321,41
1593393326,177
1593393331,66
1593393336,169
1593393341,28
1593393346,23
1593393351,65
1593393356,291
1593393361,34
1593393366,28
1593393371,122
1593393376,22
1593393381,92
1593393386,217
1593393391,33
1593393396,74
1593393401,124
1593393406,93
1593393411,46
1593393416,199
1593393421,47
1593393426,30
1593393431,181
1593393436,34
1593393441,61
1593393446,215
1593393451,26
1593393456,55
1593393461,28
1593393466,240
1593393471,238
1593393476,60
1593393481,509
1593393486,69
1593393491,33
1593393496,26
1593393501,181
1593393506,41
1593393511,31
1593393516,26
1593393521,191
1593393526,97
1593393531,25
1593393536,146
1593393541,55
1593393546,49
1593393551,32
1593393556,154
1593393561,29
1593393566,37
1593393571,20
1593393576,21
1593393581,33
1593393586,133
1593393591,23
