t,count
1593392481,522
1593392486,569
1593392491,652
1593392496,1081
1593392501,1832
1593392506,2255
1593392511,2439
1593392516,3693
1593392521,3902
1593392526,4122
1593392531,4252
1593392536,5061
1593392541,5188
1593392546,5347
1593392551,5408
1593392556,5497
1593392561,6346
1593392566,6538
1593392571,6672
1593392576,7002
1593392581,8073
1593392586,8378
1593392591,8550
1593392596,9704
1593392601,9862
1593392606,9988
1593392611,10823
1593392616,10954
1593392621,11205
1593392626,12237
1593392631,12432
1593392636,12782
1593392641,12932
1593392646,13701
1593392651,13884
1593392656,14046
1593392661,14232
1593392666,14399
1593392671,15185
1593392676,15348
1593392681,15591
1593392686,15840
1593392691,16626
1593392696,16755
1593392701,16925
1593392706,17131
1593392711,17231
1593392716,17386
1593392721,18055
1593392726,18180
1593392731,18471
1593392736,18606
1593392741,18788
1593392746,19024
1593392751,19095
1593392756,19158
1593392761,19221
1593392766,19283
1593392771,19589
1593392776,20013
1593392781,20872
1593392786,21020
1593392791,21425
1593392796,21583
1593392801,23815
1593392806,23935
1593392811,24353
1593392816,25586
1593392821,26727
1593392826,26898
1593392831,27204
1593392836,27680
1593392841,28241
1593392846,28508
1593392851,28701
1593392856,28984
1593392861,29680
1593392866,29875
1593392871,30043
1593392876,30228
1593392881,31361
1593392886,31598
1593392891,31920
1593392896,34056
1593392901,34617
1593392906,34740
1593392911,35850
1593392916,37043
1593392921,37334
1593392926,37994
1593392931,40319
1593392936,40414
1593392941,40550
1593392946,40676
1593392951,42680
1593392956,42852
1593392961,42951
1593392966,43336
1593392971,45505
1593392976,45624
1593392981,48557
1593392986,48810
1593392991,49091
1593392996,51259
1593393001,51395
1593393006,51840
1593393011,52684
1593393016,52829
1593393021,53107
1593393026,53275
1593393031,53413
1593393036,56055
1593393041,58419
1593393046,58570
1593393051,58722
1593393056,59012
1593393061,59368
1593393066,59938
1593393071,60054
1593393076,61386
1593393081,61741
1593393086,61913
1593393091,62791
1593393096,62945
1593393101,63326
1593393106,64336
1593393111,64472
1593393116,64729
1593393121,64867
1593393126,65853
1593393131,67196
1593393136,67588
1593393141,67777
1593393146,67931
1593393151,68761
1593393156,70090
1593393161,71514
1593393166,71733
1593393171,71897
1593393176,72135
1593393181,72293
1593393186,73128
1593393191,73883
1593393196,73993
1593393201,74136
1593393206,74523
1593393211,76046
1593393216,76178
1593393221,76485
1593393226,76622
1593393231,77677
1593393236,77831
1593393241,78672
1593393246,79258
1593393251,80587
1593393256,80748
1593393261,80896
1593393266,81741
1593393271,82261
1593393276,82387
1593393281,83263
1593393286,83602
1593393291,84746
1593393296,84890
1593393301,85194
1593393306,85418
1593393311,86196
1593393316,86640
1593393321,86845
1593393326,87731
1593393331,88061
1593393336,88904
1593393341,89045
1593393346,89161
1593393351,89484
1593393356,90938
1593393361,91108
1593393366,91247
1593393371,91857
1593393376,91969
1593393381,92427
1593393386,93512
1593393391,93677
1593393396,94049
1593393401,94672
1593393406,95135
1593393411,95365
1593393416,96361
1593393421,96598
1593393426,96748
1593393431,97654
1593393436,97822
1593393441,98129
1593393446,99202
1593393451,99332
1593393456,99609
1593393461,99746
1593393466,100945
1593393471,102137
1593393476,102435
1593393481,104979
1593393486,105325
1593393491,105488
1593393496,105616
1593393501,106522
1593393506,106729
1593393511,106885
1593393516,107016
1593393521,107971
1593393526,108455
1593393531,108582
1593393536,109311
1593393541,109587
1593393546,109833
1593393551,109993
1593393556,110765
1593393561,110911
1593393566,111098
1593393571,111198
1593393576,111303
1593393581,111466
1593393586,112131
1593393591,112248
1593393596,112673
1593393601,112846
1593393606,113042
1593393611,113697
1593393616,113937
1593393621,115244
1593393626,115609
1593393631,115822
1593393636,116509
1593393641,116668
1593393646,116841
1593393651,117005
1593393656,118182
1593393661,118506
1593393666,118647
1593393671,120749
1593393676,120851
1593393681,121081
1593393686,121502
1593393691,122320
1593393696,122484
1593393701,122634
1593393706,122811
1593393711,122936
1593393716,123762
1593393721,123915
1593393726,125059
1593393731,125254
1593393736,125520
1593393741,125719
1593393746,127892
1593393751,128115
1593393756,128565
1593393761,128696
1593393766,128827
1593393771,129482
1593393776,129990
1593393781,130146
1593393786,131045
1593393791,131424
1593393796,132744
1593393801,134332
1593393806,134498
1593393811,135392
1593393816,135554
1593393821,135782
1593393826,135924
1593393831,136078
1593393836,136795
1593393841,137186
1593393846,137350
1593393851,140037
1593393856,140252
1593393861,140439
1593393866,141144
1593393871,141278
1593393876,141435
1593393881,141564
1593393886,141916
1593393891,142744
1593393896,144307
1593393901,144579
1593393906,144708
1593393911,145874
1593393916,146925
1593393921,147084
1593393926,147239
1593393931,147718
1593393936,148499
1593393941,148652
1593393946,149856
1593393951,150453
1593393956,151360
1593393961,151540
1593393966,152864
1593393971,153317
1593393976,154830
1593393981,160166
1593393986,160308
1593393991,160459
1593393996,161607
1593394001,161728
1593394006,161807
1593394011,162090
1593394016,164536
1593394021,165863
1593394026,165986
1593394031,166106
1593394036,166415
1593394041,167341
1593394046,167501
1593394051,167640
1593394056,167754
1593394061,168703
1593394066,168820
1593394071,169195
1593394076,169318
1593394081,169829
1593394086,170009
1593394091,170326
1593394096,170442
1593394101,170763
1593394106,171792
1593394111,173031
1593394116,176037
1593394121,176145
1593394126,176390
1593394131,176553
1593394136,177275
1593394141,177658
1593394146,178774
1593394151,178910
1593394156,179026
1593394161,179266
1593394166,180266
1593394171,180390
1593394176,180546
1593394181,181816
1593394186,183213
1593394191,183356
1593394196,183632
1593394201,183802
1593394206,185182
1593394211,186138
1593394216,186391
1593394221,186504
1593394226,186615
1593394231,186759
1593394236,186862
1593394241,187464
1593394246,187672
1593394251,187854
1593394256,190421
1593394261,190567
1593394266,190964
1593394271,191129
1593394276,191739
1593394281,191918
1593394286,193295
1593394291,193432
1593394296,194586
1593394301,194711
1593394306,194872
1593394311,195125
1593394316,195243
1593394321,196117
1593394326,196236
1593394331,196617
1593394336,197827
1593394341,199064
1593394346,199556
1593394351,200005
1593394356,201007
1593394361,201120
1593394366,201955
1593394371,202121
1593394376,202415
1593394381,202592
1593394386,202692
1593394391,203409
1593394396,203561
1593394401,203944
1593394406,204937
1593394411,205122
1593394416,205269
1593394421,205426
1593394426,205575
1593394431,206343
1593394436,206528
1593394441,206625
1593394446,206804
1593394451,207754
1593394456,207914
1593394461,207977
1593394466,208093
1593394471,208560
1593394476,208624
1593394481,208687
1593394486,208755
1593394491,208819
1593394496,208887
1593394501,208950
1593394506,209014
1593394511,209091
1593394516,209257
1593394521,210415
1593394526,210515
1593394531,210869
1593394536,211704
1593394541,211994
1593394546,212142
1593394551,212314
1593394556,212425
1593394561,213270
1593394566,213394
1593394571,213547
1593394576,213786
1593394581,213922
1593394586,214072
1593394591,214852
1593394596,215120
1593394601,215295
1593394606,216747
1593394611,216900
1593394616,217635
1593394621,217852
1593394626,218142
1593394631,218362
1593394636,219392
1593394641,219529
1593394646,219660
1593394651,219811
1593394656,220645
1593394661,220844
1593394666,222204
1593394671,223396
1593394676,223561
1593394681,224018
1593394686,224238
1593394691,224719
1593394696,224949
1593394701,225218
1593394706,225349
1593394711,226213
1593394716,226308
1593394721,226434
1593394726,226665
1593394731,226798
1593394736,227701
1593394741,228270
1593394746,228661
1593394751,228724
1593394756,228795
1593394761,228860
1593394766,228924
1593394771,228989
1593394776,229056
1593394781,229130
1593394786,229283
1593394791,229538
1593394796,229643
1593394801,229772
1593394806,230544
1593394811,230786
1593394816,233370
1593394821,233522
1593394826,233711
1593394831,233830
1593394836,233983
1593394841,235222
1593394846,236533
1593394851,237034
1593394856,237905
1593394861,238136
1593394866,238301
1593394871,238404
1593394876,239712
1593394881,240706
1593394886,240893
1593394891,241233
1593394896,242228
1593394901,242620
1593394906,243982
1593394911,245135
1593394916,246430
1593394921,247170
1593394926,248349
1593394931,248478
1593394936,249185
1593394941,249574
1593394946,249840
1593394951,250880
1593394956,251183
1593394961,251314
1593394966,251445
1593394971,252480
1593394976,252685
1593394981,252850
1593394986,253848
1593394991,255112
1593394996,255308
1593395001,255535
1593395006,255665
1593395011,256683
1593395016,256844
1593395021,257051
1593395026,257287
1593395031,258177
1593395036,258481
1593395041,259330
1593395046,259444
1593395051,259704
1593395056,260901
1593395061,261093
1593395066,261646
1593395071,262796
1593395076,263340
1593395081,264132
1593395086,264258
1593395091,264408
1593395096,264548
1593395101,264658
1593395106,265384
1593395111,265514
1593395116,265876
1593395121,266015
1593395126,266926
1593395131,267331
1593395136,267507
1593395141,267618
1593395146,268736
1593395151,268860
1593395156,269029
1593395161,269677
1593395166,269889
1593395171,270183
1593395176,270354
1593395181,270475
1593395186,271085
1593395191,272768
1593395196,272988
1593395201,273208
1593395206,273429
1593395211,274087
1593395216,274214
1593395221,274427
1593395226,274563
1593395231,274694
1593395236,275188
1593395241,275467
1593395246,275627
1593395251,275824
1593395256,275950
1593395261,276145
1593395266,276353
1593395271,277136
1593395276,277356
1593395281,277460
1593395286,277768
