t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593392481,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1593392486,1,0.041283,0.041283,0.041283,0.000000,0.041283,0.041283,0.041283,0.041283,0.041283,0.041283,0.100190,0.000000,0.000000,0.000000,calls/second,milliseconds
1593392491,3,0.083046,0.059196,0.041283,0.017567,0.052827,0.083046,0.083046,0.083046,0.083046,0.083046,0.199965,0.046695,0.009862,0.003318,calls/second,milliseconds
1593392496,8,0.083046,0.061128,0.041283,0.012822,0.061364,0.074747,0.083046,0.083046,0.083046,0.083046,0.399433,0.122917,0.026228,0.008840,calls/second,milliseconds
1593392501,11,0.083046,0.061857,0.041283,0.011558,0.061364,0.073203,0.083046,0.083046,0.083046,0.083046,0.439579,0.161062,0.035712,0.012115,calls/second,milliseconds
1593392506,16,0.124098,0.062019,0.039259,0.021036,0.059633,0.073203,0.124098,0.124098,0.124098,0.124098,0.532566,0.228140,0.051650,0.017588,calls/second,milliseconds
1593392511,17,0.124098,0.061624,0.039259,0.020333,0.056412,0.069419,0.124098,0.124098,0.124098,0.124098,0.485898,0.228140,0.051650,0.017588,calls/second,milliseconds
1593392516,23,0.124098,0.056744,0.039259,0.018451,0.050758,0.061364,0.083046,0.124098,0.124098,0.124098,0.575246,0.225890,0.054102,0.018598,calls/second,milliseconds
1593392521,25,0.124098,0.057122,0.039259,0.017615,0.053964,0.062502,0.083046,0.124098,0.124098,0.124098,0.555606,0.303776,0.073042,0.025144,calls/second,milliseconds
1593392526,26,0.124098,0.057076,0.039259,0.017168,0.053964,0.062502,0.083046,0.124098,0.124098,0.124098,0.517764,0.302557,0.080455,0.028178,calls/second,milliseconds
1593392531,28,0.124098,0.056131,0.039259,0.016603,0.052827,0.061364,0.083046,0.124098,0.124098,0.124098,0.508630,0.310348,0.085737,0.030238,calls/second,milliseconds
1593392536,34,0.124098,0.053328,0.032200,0.015528,0.050601,0.056205,0.074747,0.124098,0.124098,0.124098,0.566429,0.381481,0.104154,0.036718,calls/second,milliseconds
