t,value
1593706990,4294967296
1593706994,4294967296
1593706995,4294967296
1593707000,4294967296
1593707000,4294967296
1593707004,4294967296
1593707005,4294967296
1593707009,4294967296
1593707010,4294967296
1593707014,4294967296
1593707015,4294967296
1593707019,4294967296
1593707020,4294967296
1593707024,4294967296
1593707025,4294967296
1593707029,4294967296
1593707030,4294967296
1593707034,4294967296
1593707035,4294967296
1593707039,4294967296
1593707040,4294967296
1593707044,4294967296
1593707045,4294967296
1593707049,4294967296
1593707050,4294967296
1593707054,4294967296
1593707055,4294967296
1593707059,4294967296
1593707060,4294967296
1593707064,4294967296
1593707065,4294967296
1593707069,4294967296
1593707070,4294967296
1593707074,4294967296
1593707075,4294967296
1593707079,4294967296
1593707080,4294967296
1593707084,4294967296
1593707085,4294967296
1593707089,4294967296
1593707090,4294967296
1593707094,4294967296
1593707095,4294967296
1593707099,4294967296
1593707100,4294967296
1593707104,4294967296
1593707105,4294967296
1593707109,4294967296
1593707110,4294967296
1593707114,4294967296
1593707115,4294967296
1593707119,4294967296
1593707120,4294967296
1593707124,4294967296
1593707125,4294967296
1593707129,4294967296
1593707130,4294967296
1593707134,4294967296
1593707135,4294967296
1593707139,4294967296
1593707140,4294967296
1593707144,4294967296
1593707145,4294967296
1593707149,4294967296
1593707150,4294967296
1593707154,4294967296
1593707155,4294967296
1593707159,4294967296
1593707160,4294967296
1593707164,4294967296
1593707165,4294967296
1593707169,4294967296
1593707170,4294967296
1593707174,4294967296
1593707175,4294967296
1593707179,4294967296
1593707180,4294967296
1593707184,4294967296
1593707185,4294967296
1593707189,4294967296
1593707190,4294967296
1593707194,4294967296
1593707195,4294967296
1593707199,4294967296
1593707200,4294967296
1593707204,4294967296
1593707205,4294967296
1593707209,4294967296
1593707210,4294967296
1593707214,4294967296
1593707215,4294967296
1593707219,4294967296
1593707220,4294967296
1593707224,4294967296
1593707225,4294967296
1593707229,4294967296
1593707230,4294967296
1593707234,4294967296
1593707235,4294967296
1593707239,4294967296
1593707240,4294967296
1593707244,4294967296
1593707245,4294967296
1593707249,4294967296
1593707250,4294967296
1593707254,4294967296
1593707255,4294967296
1593707259,4294967296
1593707260,4294967296
1593707264,4294967296
1593707265,4294967296
1593707269,4294967296
1593707270,4294967296
1593707274,4294967296
1593707275,4294967296
1593707279,4294967296
1593707280,4294967296
1593707284,4294967296
1593707285,4294967296
1593707289,4294967296
1593707290,4294967296
1593707294,4294967296
1593707295,4294967296
1593707299,4294967296
1593707300,4294967296
1593707304,4294967296
1593707305,4294967296
1593707309,4294967296
1593707310,4294967296
1593707314,4294967296
1593707315,4294967296
1593707319,4294967296
1593707320,4294967296
1593707324,4294967296
1593707325,4294967296
1593707329,4294967296
1593707330,4294967296
1593707334,4294967296
1593707335,4294967296
1593707339,4294967296
1593707340,4294967296
1593707344,4294967296
1593707345,4294967296
1593707349,4294967296
1593707350,4294967296
1593707354,4294967296
1593707355,4294967296
1593707359,4294967296
1593707360,4294967296
1593707364,4294967296
1593707365,4294967296
1593707369,4294967296
1593707370,4294967296
1593707374,4294967296
1593707375,4294967296
1593707379,4294967296
1593707380,4294967296
1593707384,4294967296
1593707385,4294967296
1593707389,4294967296
1593707390,4294967296
1593707394,4294967296
1593707395,4294967296
1593707399,4294967296
1593707400,4294967296
1593707404,4294967296
1593707405,4294967296
1593707409,4294967296
1593707410,4294967296
1593707414,4294967296
1593707415,4294967296
1593707419,4294967296
1593707420,4294967296
1593707424,4294967296
1593707425,4294967296
1593707429,4294967296
1593707430,4294967296
1593707434,4294967296
1593707435,4294967296
1593707439,4294967296
1593707440,4294967296
1593707444,4294967296
1593707445,4294967296
1593707449,4294967296
1593707450,4294967296
1593707454,4294967296
1593707455,4294967296
1593707459,4294967296
1593707460,4294967296
1593707464,4294967296
1593707465,4294967296
1593707469,4294967296
1593707470,4294967296
1593707474,4294967296
1593707475,4294967296
1593707479,4294967296
1593707480,4294967296
1593707484,4294967296
1593707485,4294967296
1593707489,4294967296
1593707490,4294967296
1593707494,4294967296
1593707495,4294967296
1593707499,4294967296
1593707500,4294967296
1593707504,4294967296
1593707505,4294967296
1593707509,4294967296
1593707510,4294967296
1593707514,4294967296
1593707515,4294967296
1593707519,4294967296
1593707520,4294967296
1593707524,4294967296
1593707525,4294967296
1593707529,4294967296
1593707530,4294967296
1593707534,4294967296
1593707535,4294967296
1593707539,4294967296
1593707540,4294967296
1593707544,4294967296
1593707545,4294967296
1593707549,4294967296
1593707550,4294967296
1593707554,4294967296
1593707555,4294967296
1593707559,4294967296
1593707560,4294967296
1593707564,4294967296
1593707565,4294967296
1593707569,4294967296
1593707570,4294967296
1593707574,4294967296
1593707575,4294967296
1593707579,4294967296
1593707580,4294967296
1593707584,4294967296
1593707585,4294967296
1593707589,4294967296
1593707590,4294967296
1593707594,4294967296
1593707595,4294967296
1593707599,4294967296
1593707600,4294967296
1593707604,4294967296
1593707605,4294967296
1593707609,4294967296
1593707610,4294967296
1593707614,4294967296
1593707615,4294967296
1593707619,4294967296
1593707620,4294967296
1593707624,4294967296
1593707625,4294967296
1593707629,4294967296
1593707630,4294967296
1593707634,4294967296
1593707635,4294967296
1593707639,4294967296
1593707640,4294967296
1593707644,4294967296
