t,value
1593706990,1.0
1593706994,1.0
1593706995,1.0
1593707000,1.0
1593707000,1.0
1593707004,1.0
1593707005,1.0
1593707009,1.0
1593707010,1.0
1593707014,1.0
1593707015,1.0
1593707019,1.0
1593707020,1.0
1593707024,1.0
1593707025,1.0
1593707029,1.0
1593707030,1.0
1593707034,1.0
1593707035,1.0
1593707039,1.0
1593707040,1.0
1593707044,1.0
1593707045,1.0
1593707049,1.0
1593707050,1.0
1593707054,1.0
1593707055,1.0
1593707059,1.0
1593707060,1.0
1593707064,1.0
1593707065,1.0
1593707069,1.0
1593707070,1.0
1593707074,1.0
1593707075,1.0
1593707079,1.0
1593707080,1.0
1593707084,1.0
1593707085,1.0
1593707089,1.0
1593707090,1.0
1593707094,1.0
1593707095,1.0
1593707099,1.0
1593707100,1.0
1593707104,1.0
1593707105,1.0
1593707109,1.0
1593707110,1.0
1593707114,1.0
1593707115,1.0
1593707119,1.0
1593707120,1.0
1593707124,1.0
1593707125,1.0
1593707129,1.0
1593707130,1.0
1593707134,1.0
1593707135,1.0
1593707139,1.0
1593707140,1.0
1593707144,1.0
1593707145,1.0
1593707149,1.0
1593707150,1.0
1593707154,1.0
1593707155,1.0
1593707159,1.0
1593707160,1.0
1593707164,1.0
1593707165,1.0
1593707169,1.0
1593707170,1.0
1593707174,1.0
1593707175,1.0
1593707179,1.0
1593707180,1.0
1593707184,1.0
1593707185,1.0
1593707189,1.0
1593707190,1.0
1593707194,1.0
1593707195,1.0
1593707199,1.0
1593707200,1.0
1593707204,1.0
1593707205,1.0
1593707209,1.0
1593707210,1.0
1593707214,1.0
1593707215,1.0
1593707219,1.0
1593707220,1.0
1593707224,1.0
1593707225,1.0
1593707229,1.0
1593707230,1.0
1593707234,1.0
1593707235,1.0
1593707239,1.0
1593707240,1.0
1593707244,1.0
1593707245,1.0
1593707249,1.0
1593707250,1.0
1593707254,1.0
1593707255,1.0
1593707259,1.0
1593707260,1.0
1593707264,1.0
1593707265,1.0
1593707269,1.0
1593707270,1.0
1593707274,1.0
1593707275,1.0
1593707279,1.0
1593707280,1.0
1593707284,1.0
1593707285,1.0
1593707289,1.0
1593707290,1.0
1593707294,1.0
1593707295,1.0
1593707299,1.0
1593707300,1.0
1593707304,1.0
1593707305,1.0
1593707309,1.0
1593707310,1.0
1593707314,1.0
1593707315,1.0
1593707319,1.0
1593707320,1.0
1593707324,1.0
1593707325,1.0
1593707329,1.0
1593707330,1.0
1593707334,1.0
1593707335,1.0
1593707339,1.0
1593707340,1.0
1593707344,1.0
1593707345,1.0
1593707349,1.0
1593707350,1.0
1593707354,1.0
1593707355,1.0
1593707359,1.0
1593707360,1.0
1593707364,1.0
1593707365,1.0
1593707369,1.0
1593707370,1.0
1593707374,1.0
1593707375,1.0
1593707379,1.0
1593707380,1.0
1593707384,1.0
1593707385,1.0
1593707389,1.0
1593707390,1.0
1593707394,1.0
1593707395,1.0
1593707399,1.0
1593707400,1.0
1593707404,1.0
1593707405,1.0
1593707409,1.0
1593707410,1.0
1593707414,1.0
1593707415,1.0
1593707419,1.0
1593707420,1.0
1593707424,1.0
1593707425,1.0
1593707429,1.0
1593707430,1.0
1593707434,1.0
1593707435,1.0
1593707439,1.0
1593707440,1.0
1593707444,1.0
1593707445,1.0
1593707449,1.0
1593707450,1.0
1593707454,1.0
1593707455,1.0
1593707459,1.0
1593707460,1.0
1593707464,1.0
1593707465,1.0
1593707469,1.0
1593707470,1.0
1593707474,1.0
1593707475,1.0
1593707479,1.0
1593707480,1.0
1593707484,1.0
1593707485,1.0
1593707489,1.0
1593707490,1.0
1593707494,1.0
1593707495,1.0
1593707499,1.0
1593707500,1.0
1593707504,1.0
1593707505,1.0
1593707509,1.0
1593707510,1.0
1593707514,1.0
1593707515,1.0
1593707519,1.0
1593707520,1.0
1593707524,1.0
1593707525,1.0
1593707529,1.0
1593707530,1.0
1593707534,1.0
1593707535,1.0
1593707539,1.0
1593707540,1.0
1593707544,1.0
1593707545,1.0
1593707549,1.0
1593707550,1.0
1593707554,1.0
1593707555,1.0
1593707559,1.0
1593707560,1.0
1593707564,1.0
1593707565,1.0
1593707569,1.0
1593707570,1.0
1593707574,1.0
1593707575,1.0
1593707579,1.0
1593707580,1.0
1593707584,1.0
1593707585,1.0
1593707589,1.0
1593707590,1.0
1593707594,1.0
1593707595,1.0
1593707599,1.0
1593707600,1.0
1593707604,1.0
1593707605,1.0
1593707609,1.0
1593707610,1.0
1593707614,1.0
1593707615,1.0
1593707619,1.0
1593707620,1.0
1593707624,1.0
1593707625,1.0
1593707629,1.0
1593707630,1.0
1593707634,1.0
1593707635,1.0
1593707639,1.0
1593707640,1.0
1593707644,1.0
1593707645,1.0
1593707649,1.0
1593707650,1.0
1593707654,1.0
1593707655,1.0
1593707659,1.0
1593707660,1.0
1593707664,1.0
1593707665,1.0
1593707669,1.0
1593707670,1.0
1593707674,1.0
1593707675,1.0
1593707679,1.0
1593707680,1.0
1593707684,1.0
1593707685,1.0
1593707689,1.0
1593707690,1.0
1593707694,1.0
1593707695,1.0
1593707699,1.0
1593707700,1.0
1593707704,1.0
1593707705,1.0
1593707709,1.0
1593707710,1.0
1593707714,1.0
1593707715,1.0
1593707719,1.0
1593707720,1.0
1593707724,1.0
1593707725,1.0
1593707729,1.0
1593707730,1.0
1593707734,1.0
1593707735,1.0
1593707739,1.0
1593707740,1.0
1593707744,1.0
1593707745,1.0
1593707749,1.0
1593707750,1.0
1593707754,1.0
1593707755,1.0
1593707759,1.0
1593707760,1.0
1593707764,1.0
1593707765,1.0
1593707769,1.0
1593707770,1.0
1593707774,1.0
1593707775,1.0
1593707779,1.0
1593707780,1.0
1593707784,1.0
1593707785,1.0
1593707789,1.0
1593707790,1.0
1593707794,1.0
1593707795,1.0
1593707799,1.0
1593707800,1.0
1593707804,1.0
1593707805,1.0
1593707809,1.0
1593707810,1.0
1593707814,1.0
1593707815,1.0
1593707819,1.0
1593707820,1.0
1593707824,1.0
1593707825,1.0
1593707829,1.0
1593707830,1.0
1593707834,1.0
1593707835,1.0
1593707839,1.0
1593707840,1.0
1593707844,1.0
1593707845,1.0
1593707849,1.0
1593707850,1.0
1593707854,1.0
1593707855,1.0
1593707859,1.0
1593707860,1.0
1593707864,1.0
1593707865,1.0
1593707869,1.0
1593707870,1.0
1593707874,1.0
1593707875,1.0
1593707879,1.0
1593707880,1.0
1593707884,1.0
1593707885,1.0
1593707889,1.0
1593707890,1.0
1593707894,1.0
1593707895,1.0
1593707899,1.0
1593707900,1.0
1593707904,1.0
1593707905,1.0
1593707909,1.0
1593707910,1.0
1593707914,1.0
1593707915,1.0
1593707919,1.0
1593707920,1.0
1593707924,1.0
1593707925,1.0
1593707929,1.0
1593707930,1.0
1593707934,1.0
1593707935,1.0
1593707939,1.0
1593707940,1.0
1593707944,1.0
1593707945,1.0
1593707949,1.0
1593707950,1.0
1593707954,1.0
1593707955,1.0
1593707959,1.0
1593707960,1.0
1593707964,1.0
1593707965,1.0
1593707969,1.0
1593707970,1.0
1593707974,1.0
1593707975,1.0
1593707979,1.0
1593707980,1.0
1593707984,1.0
1593707985,1.0
1593707989,1.0
1593707990,1.0
1593707994,1.0
1593707995,1.0
1593707999,1.0
1593708000,1.0
1593708004,1.0
1593708005,1.0
1593708009,1.0
1593708010,1.0
1593708014,1.0
1593708015,1.0
1593708019,1.0
1593708020,1.0
1593708024,1.0
1593708025,1.0
1593708029,1.0
1593708030,1.0
1593708034,1.0
1593708035,1.0
1593708039,1.0
1593708040,1.0
1593708044,1.0
1593708045,1.0
1593708049,1.0
1593708050,1.0
1593708054,1.0
1593708055,1.0
1593708059,1.0
1593708060,1.0
1593708064,1.0
1593708065,1.0
1593708069,1.0
