t,count
1593706994,168957
1593707000,453012
1593707004,801111
1593707009,1134313
1593707014,1429962
1593707019,1744003
1593707024,2014361
1593707029,2311052
1593707034,2588208
1593707039,2837411
1593707044,3096418
1593707049,3346525
1593707054,3608508
1593707059,3871045
1593707064,4148630
1593707069,4227795
1593707074,4227795
1593707079,4227795
1593707084,4227795
1593707089,4227795
1593707094,4227795
1593707099,4227795
1593707104,4227795
1593707109,4227795
1593707114,4227795
1593707119,4227795
1593707124,4227795
1593707129,4227795
1593707134,4227795
1593707139,4227795
1593707144,4227795
1593707149,4227795
1593707154,4227795
1593707159,4227795
1593707164,4227795
1593707169,4227795
1593707174,4227795
1593707179,4227795
1593707184,4227795
1593707189,4227795
1593707194,4227795
1593707199,4227795
1593707204,4227795
1593707209,4227795
1593707214,4227795
1593707219,4227795
1593707224,4227795
1593707229,4227795
1593707234,4227795
1593707239,4227795
1593707244,4227795
1593707249,4227795
1593707254,4227795
1593707259,4227795
1593707264,4227795
1593707269,4227795
1593707274,4227795
1593707279,4227795
1593707284,4227795
1593707289,4227795
1593707294,4227795
1593707299,4227795
1593707304,4227795
1593707309,4227795
1593707314,4227795
1593707319,4227795
1593707324,4227795
1593707329,4227795
1593707334,4227795
1593707339,4227795
1593707344,4227795
1593707349,4227795
1593707354,4227795
1593707359,4227795
1593707364,4227795
1593707369,4227795
1593707374,4227795
1593707379,4227795
1593707384,4227795
1593707389,4227795
1593707394,4227795
1593707399,4227795
1593707404,4227795
1593707409,4227795
1593707414,4227795
1593707419,4227795
1593707424,4227795
1593707429,4227795
1593707434,4227795
1593707439,4227795
1593707444,4227795
1593707449,4227795
1593707454,4227795
1593707459,4227795
1593707464,4227795
1593707469,4227795
1593707474,4227795
1593707479,4227795
1593707484,4227795
1593707489,4227795
1593707494,4227795
1593707499,4227795
1593707504,4227795
1593707509,4227795
1593707514,4227795
1593707519,4227795
1593707524,4227795
1593707529,4227795
1593707534,4227795
1593707539,4227795
1593707544,4227795
1593707549,4227795
1593707554,4227795
1593707559,4227795
1593707564,4227795
1593707569,4227795
1593707574,4227795
1593707579,4227795
1593707584,4227795
1593707589,4227795
1593707594,4227795
1593707599,4227795
1593707604,4227795
1593707609,4227795
1593707614,4227795
1593707619,4227795
1593707624,4227795
1593707629,4227795
1593707634,4227795
1593707639,4227795
1593707644,4227795
1593707649,4227795
1593707654,4227795
1593707659,4227795
1593707664,4227795
1593707669,4227795
1593707674,4227795
1593707679,4227795
1593707684,4227795
1593707689,4227795
1593707694,4227795
1593707699,4227795
1593707704,4227795
1593707709,4227795
1593707714,4227795
1593707719,4227795
1593707724,4227795
1593707729,4227795
1593707734,4227795
1593707739,4227795
1593707744,4227795
1593707749,4227795
1593707754,4227795
1593707759,4227795
1593707764,4227795
1593707769,4227795
1593707774,4227795
1593707779,4227795
1593707784,4227795
1593707789,4227795
1593707794,4227795
1593707799,4227795
1593707804,4227795
1593707809,4227795
1593707814,4227795
1593707819,4227795
1593707824,4227795
1593707829,4227795
1593707834,4227795
1593707839,4227795
1593707844,4227795
1593707849,4227795
1593707854,4227795
1593707859,4227795
1593707864,4227795
1593707869,4227795
1593707874,4227795
1593707879,4227795
1593707884,4227795
1593707889,4227795
1593707894,4227795
1593707899,4227795
1593707904,4227795
1593707909,4227795
1593707914,4227795
1593707919,4227795
1593707924,4227795
1593707929,4227795
1593707934,4227795
1593707939,4227795
1593707944,4227795
1593707949,4227795
1593707954,4227795
1593707959,4227795
1593707964,4227795
1593707969,4227795
1593707974,4227795
1593707979,4227795
1593707984,4227795
1593707989,4227795
1593707994,4227795
1593707999,4227795
1593708004,4227795
1593708009,4227795
1593708014,4227795
1593708019,4227795
1593708024,4227795
1593708029,4227795
1593708034,4227795
1593708039,4227795
1593708044,4227795
1593708049,4227795
1593708054,4227795
1593708059,4227795
1593708064,4227795
1593708069,4227795
1593708074,4227795
1593708079,4227795
1593708084,4227795
1593708089,4227795
1593708094,4227795
1593708099,4227795
1593708104,4227795
1593708109,4227795
1593708114,4227795
1593708119,4227795
1593708124,4227795
1593708129,4227795
1593708134,4227795
1593708139,4227795
1593708144,4227795
1593708149,4227795
1593708154,4227795
1593708159,4227795
1593708164,4227795
1593708169,4227795
1593708174,4227795
1593708179,4227795
1593708184,4227795
1593708189,4227795
1593708194,4227795
1593708199,4227795
1593708204,4227795
1593708209,4227795
1593708214,4227795
1593708219,4227795
1593708224,4227795
1593708229,4227795
1593708234,4227795
1593708239,4227795
1593708244,4227795
1593708249,4227795
1593708254,4227795
1593708259,4227795
1593708264,4227795
1593708269,4227795
1593708274,4227795
1593708279,4227795
1593708284,4227795
1593708289,4227795
1593708294,4227795
1593708299,4227795
1593708304,4227795
1593708309,4227795
1593708314,4227795
1593708319,4227795
1593708324,4227795
1593708329,4227795
1593708334,4227795
1593708339,4227795
1593708344,4227795
1593708349,4227795
1593708354,4227795
1593708359,4227795
1593708364,4227795
1593708369,4227795
1593708374,4227795
1593708379,4227795
1593708384,4227795
1593708389,4227795
1593708394,4227795
1593708399,4227795
1593708404,4227795
1593708409,4227795
1593708414,4227795
1593708419,4227795
1593708424,4227795
1593708429,4227795
1593708434,4227795
1593708439,4227795
1593708444,4227795
1593708449,4227795
1593708454,4227795
1593708459,4227795
1593708464,4227795
1593708469,4227795
1593708474,4227795
1593708479,4227795
1593708484,4227795
1593708489,4227795
1593708494,4227795
1593708499,4227795
1593708504,4227795
1593708509,4227795
1593708514,4227795
1593708519,4227795
1593708524,4227795
1593708529,4227795
1593708534,4227795
1593708539,4227795
1593708544,4227795
1593708549,4227795
1593708554,4227795
1593708559,4227795
1593708564,4227795
1593708569,4227795
1593708574,4227795
1593708579,4227795
1593708584,4227795
1593708589,4227795
1593708594,4227795
1593708599,4227795
1593708604,4227795
1593708609,4227795
1593708614,4227795
1593708619,4227795
1593708624,4227795
1593708629,4227795
1593708634,4227795
1593708639,4227795
1593708644,4227795
1593708649,4227795
1593708654,4227795
1593708659,4227795
1593708664,4227795
1593708669,4227795
1593708674,4227795
1593708679,4227795
1593708684,4227795
1593708689,4227795
1593708694,4227795
1593708699,4227795
1593708704,4227795
1593708709,4227795
1593708714,4227795
1593708719,4227795
1593708724,4227795
1593708729,4227795
1593708734,4227795
1593708739,4227795
1593708744,4227795
1593708749,4227795
1593708754,4227795
1593708759,4227795
1593708764,4227795
1593708769,4227795
1593708774,4227795
1593708779,4227795
1593708784,4227795
1593708789,4227795
1593708794,4227795
1593708799,4227795
1593708804,4227795
1593708809,4227795
1593708814,4227795
1593708819,4227795
1593708824,4227795
1593708829,4227795
1593708834,4227795
1593708839,4227795
1593708844,4227795
1593708849,4227795
1593708854,4227795
1593708859,4227795
1593708864,4227795
1593708869,4227795
1593708874,4227795
1593708879,4227795
1593708884,4227795
1593708889,4227795
1593708894,4227795
1593708899,4227795
1593708904,4227795
1593708909,4227795
1593708914,4227795
1593708919,4227795
1593708924,4227795
1593708929,4227795
1593708934,4227795
1593708939,4227795
1593708944,4227795
1593708949,4227795
1593708954,4227795
1593708959,4227795
1593708964,4227795
1593708969,4227795
1593708974,4227795
1593708979,4227795
1593708984,4227795
1593708989,4227795
1593708994,4227795
1593708999,4227795
1593709004,4227795
1593709009,4227795
1593709014,4227795
1593709019,4227795
1593709024,4227795
1593709029,4227795
1593709034,4227795
1593709039,4227795
1593709044,4227795
1593709049,4227795
1593709054,4227795
1593709059,4227795
1593709064,4227795
1593709069,4227795
1593709074,4227795
1593709079,4227795
1593709084,4227795
1593709089,4227795
1593709094,4227795
1593709099,4227795
1593709104,4227795
1593709109,4227795
1593709114,4227795
1593709119,4227795
1593709124,4227795
1593709129,4227795
1593709134,4227795
1593709139,4227795
1593709144,4227795
1593709149,4227795
1593709154,4227795
1593709159,4227795
1593709164,4227795
1593709169,4227795
1593709174,4227795
1593709179,4227795
1593709184,4227795
1593709189,4227795
1593709194,4227795
1593709199,4227795
1593709204,4227795
1593709209,4227795
1593709214,4227795
1593709219,4227795
1593709224,4227795
1593709229,4227795
1593709234,4227795
1593709239,4227795
1593709244,4227795
1593709249,4227795
1593709254,4227795
1593709259,4227795
1593709264,4227795
1593709269,4227795
1593709274,4227795
1593709279,4227795
1593709284,4227795
1593709289,4227795
1593709294,4227795
1593709299,4227795
1593709304,4227795
1593709309,4227795
1593709314,4227795
1593709319,4227795
1593709324,4227795
1593709329,4227795
1593709334,4227795
1593709339,4227795
1593709344,4227795
1593709349,4227795
1593709354,4227795
1593709359,4227795
1593709364,4227795
1593709369,4227795
1593709374,4227795
1593709379,4227795
1593709384,4227795
1593709389,4227795
1593709394,4227795
1593709399,4227795
1593709404,4227795
1593709409,4227795
1593709414,4227795
1593709419,4227795
1593709424,4227795
1593709429,4227795
1593709434,4227795
1593709439,4227795
1593709444,4227795
1593709449,4227795
1593709454,4227795
1593709459,4227795
1593709464,4227795
1593709469,4227795
1593709474,4227795
1593709479,4227795
1593709484,4227795
1593709489,4227795
1593709494,4227795
1593709499,4227795
1593709504,4227795
1593709509,4227795
1593709514,4227795
1593709519,4227795
1593709524,4227795
1593709529,4227795
1593709534,4227795
1593709539,4227795
1593709544,4227795
1593709549,4227795
1593709554,4227795
1593709559,4227795
1593709564,4227795
1593709569,4227795
1593709574,4227795
1593709579,4227795
1593709584,4227795
1593709589,4227795
1593709594,4227795
1593709599,4227795
1593709604,4227795
1593709609,4227795
1593709614,4227795
1593709619,4227795
1593709624,4227795
1593709629,4227795
1593709634,4227795
1593709639,4227795
1593709644,4227795
1593709649,4227795
1593709654,4227795
1593709659,4227795
1593709664,4227795
1593709669,4227795
1593709674,4227795
1593709679,4227795
1593709684,4227795
1593709689,4227795
1593709694,4227795
1593709699,4227795
1593709704,4227795
1593709709,4227795
1593709714,4227795
1593709719,4227795
1593709724,4227795
1593709729,4227795
1593709734,4227795
1593709739,4227795
1593709744,4227795
1593709749,4227795
1593709754,4227795
1593709759,4227795
1593709764,4227795
1593709769,4227795
1593709774,4227795
1593709779,4227795
1593709784,4227795
1593709789,4227795
1593709794,4227795
1593709799,4227795
1593709804,4227795
1593709809,4227795
1593709814,4227795
1593709819,4227795
1593709824,4227795
1593709829,4227795
1593709834,4227795
1593709839,4227795
1593709844,4227795
1593709849,4227795
1593709854,4227795
1593709859,4227795
1593709864,4227795
1593709869,4227795
1593709874,4227795
1593709879,4227795
1593709884,4227795
1593709889,4227795
1593709894,4227795
1593709899,4227795
