t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593706990,525,2.885002,0.064374,0.027806,0.133065,0.044156,0.053513,0.152161,0.218387,0.254096,2.885002,583.041602,0.000000,0.000000,0.000000,calls/second,milliseconds
1593706995,9525,0.502688,0.023672,0.009824,0.024867,0.018964,0.027707,0.045497,0.064090,0.096801,0.466461,1614.419515,1663.000000,1663.000000,1663.000000,calls/second,milliseconds
1593707000,24982,0.466461,0.016357,0.009540,0.017032,0.010597,0.018686,0.031385,0.037465,0.054815,0.173281,2297.235282,1757.123715,1682.457405,1669.521867,calls/second,milliseconds
1593707005,42003,0.079513,0.013701,0.009467,0.007125,0.010087,0.016882,0.028452,0.032957,0.036961,0.072207,2643.997457,1892.414665,1711.659091,1679.381554,calls/second,milliseconds
1593707010,59482,0.059520,0.012693,0.009512,0.005995,0.010022,0.011497,0.025498,0.031880,0.035914,0.054815,2832.851882,2006.622051,1738.255851,1688.475262,calls/second,milliseconds
1593707015,74072,0.059520,0.012949,0.009512,0.005650,0.010248,0.012285,0.023751,0.031241,0.033962,0.052072,2859.120082,2079.827621,1757.824726,1695.310285,calls/second,milliseconds
1593707020,88611,0.059520,0.013250,0.009512,0.005706,0.011735,0.012366,0.023527,0.031028,0.033962,0.055593,2858.029015,2164.962120,1780.746106,1703.339570,calls/second,milliseconds
1593707025,103143,0.089634,0.013374,0.009512,0.006043,0.011781,0.012330,0.023327,0.030734,0.036961,0.089634,2875.401836,2212.362820,1796.895386,1709.181441,calls/second,milliseconds
1593707030,117549,0.089634,0.013518,0.009512,0.005900,0.011835,0.012352,0.023202,0.030729,0.036961,0.089634,2876.589837,2273.227984,1816.344603,1716.186512,calls/second,milliseconds
1593707035,131065,0.089634,0.013521,0.009586,0.005753,0.011869,0.012290,0.023147,0.030343,0.034160,0.089634,2857.406941,2314.514811,1832.431099,1722.133386,calls/second,milliseconds
1593707040,143704,0.117673,0.014078,0.009586,0.006407,0.011964,0.014124,0.024747,0.029503,0.033962,0.117673,2821.903865,2326.530951,1842.883238,1726.247872,calls/second,milliseconds
1593707045,156459,0.117673,0.014442,0.009586,0.006361,0.012139,0.014261,0.026035,0.029555,0.033962,0.117673,2800.283063,2347.868622,1855.288189,1731.052026,calls/second,milliseconds
1593707050,169500,0.117673,0.014823,0.009586,0.006392,0.013402,0.014453,0.026796,0.029717,0.033988,0.117673,2783.662693,2360.256251,1865.990618,1735.327627,calls/second,milliseconds
1593707055,182297,0.117673,0.015021,0.009606,0.006354,0.013483,0.014467,0.026783,0.030074,0.034813,0.117673,2768.007977,2381.711833,1878.595442,1740.276492,calls/second,milliseconds
1593707060,195901,0.143348,0.015320,0.009606,0.008215,0.013523,0.014467,0.027074,0.030074,0.034862,0.143348,2761.766871,2399.708889,1890.631605,1745.077164,calls/second,milliseconds
1593707065,209850,0.143348,0.015111,0.009606,0.007965,0.013494,0.014377,0.026741,0.029875,0.034862,0.143348,2766.199871,2431.154710,1905.546443,1750.882816,calls/second,milliseconds
1593707070,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,2614.483857,2302.205963,1887.577492,1745.716719,calls/second,milliseconds
1593707075,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,2462.295589,2118.131738,1856.378581,1736.045183,calls/second,milliseconds
1593707080,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,2326.853395,1948.775275,1825.695342,1726.427229,calls/second,milliseconds
1593707085,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,2205.263664,1792.959807,1795.519252,1716.862560,calls/second,milliseconds
1593707090,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,2095.934530,1649.602656,1765.841929,1707.350880,calls/second,milliseconds
1593707095,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,1996.949792,1517.707710,1736.655129,1697.891897,calls/second,milliseconds
1593707100,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,1906.963818,1396.358502,1707.950745,1688.485318,calls/second,milliseconds
1593707105,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,1824.554476,1284.711840,1679.720802,1679.130852,calls/second,milliseconds
1593707110,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,1749.083529,1181.991953,1651.957459,1669.828212,calls/second,milliseconds
1593707115,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,1679.388439,1087.485094,1624.653004,1660.577110,calls/second,milliseconds
1593707120,211344,0.143348,0.015243,0.009606,0.007921,0.013516,0.014483,0.026783,0.029555,0.034813,0.143348,1615.344249,1000.534587,1597.799852,1651.377261,calls/second,milliseconds
