t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,values
1593706990,2,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|
1593706995,30,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|
1593707000,71,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|
1593707005,98,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|
1593707010,173,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|
1593707015,273,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|
1593707020,326,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|
1593707025,385,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|
1593707030,480,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|
1593707035,533,72,72.000000,72,0.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72.000000,72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|72|
