t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407252385,1556,2.231199,0.005046,0.001056,0.069530,0.002161,0.003286,0.006485,0.009514,0.011746,2.167242,773.849309,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252387,2471,0.020531,0.002950,0.000936,0.001979,0.002438,0.003612,0.006361,0.010849,0.012064,0.020375,625.108952,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252389,3554,0.020531,0.003015,0.000689,0.002245,0.002443,0.003715,0.006526,0.012048,0.012371,0.020375,598.462146,618.600000,618.600000,618.600000,calls/second,milliseconds
1407252391,4441,0.025506,0.003010,0.000689,0.002275,0.002513,0.003784,0.006354,0.012048,0.012376,0.025362,559.389395,618.600000,618.600000,618.600000,calls/second,milliseconds
1407252393,5588,0.025506,0.002942,0.000475,0.002276,0.002443,0.003821,0.006293,0.011802,0.012385,0.025362,562.409077,618.600000,618.600000,618.600000,calls/second,milliseconds
1407252395,6590,0.025506,0.003004,0.000475,0.002289,0.002605,0.003872,0.006525,0.011950,0.012532,0.025158,552.090328,609.261188,616.669466,617.952910,calls/second,milliseconds
1407252397,7531,0.025506,0.003072,0.000475,0.002429,0.002785,0.003913,0.006893,0.012369,0.012646,0.025174,540.313240,609.261188,616.669466,617.952910,calls/second,milliseconds
1407252399,8656,0.025506,0.003147,0.000475,0.002591,0.002832,0.003956,0.008254,0.012470,0.012834,0.025264,543.120173,600.876950,614.813815,617.323810,calls/second,milliseconds
1407252401,9879,0.016828,0.003068,0.000475,0.002420,0.002684,0.003955,0.007243,0.012287,0.012636,0.016767,550.810896,600.876950,614.813815,617.323810,calls/second,milliseconds
1407252403,10896,0.016828,0.002876,0.000215,0.002452,0.002188,0.003889,0.007113,0.012234,0.012593,0.016767,546.499942,600.876950,614.813815,617.323810,calls/second,milliseconds
1407252405,11992,0.016828,0.002690,0.000210,0.002432,0.001860,0.003783,0.006950,0.012211,0.012565,0.016767,546.669178,597.848476,613.957408,617.022848,calls/second,milliseconds
1407252407,13324,0.016828,0.002478,0.000204,0.002358,0.001589,0.003630,0.006172,0.012066,0.012538,0.016767,556.638941,597.848476,613.957408,617.022848,calls/second,milliseconds
1407252409,14420,0.016828,0.002305,0.000215,0.002290,0.001386,0.003494,0.005438,0.011950,0.012486,0.016767,555.887460,597.332885,613.584567,616.880893,calls/second,milliseconds
