t,value
1407252385,{1407252384=315; total=315}
1407252387,{1407252386=467; 1407252385=1312; total=1779}
1407252389,{1407252387=531; 1407252388=619; total=1150}
1407252391,{1407252390=474; 1407252389=464; total=938}
1407252393,{1407252391=445; 1407252392=629; total=1074}
1407252395,{1407252394=513; 1407252393=450; total=963}
1407252397,{1407252396=459; 1407252395=537; total=996}
1407252399,{1407252398=527; 1407252397=495; total=1022}
1407252401,{1407252399=583; 1407252400=699; total=1282}
1407252403,{1407252402=541; 1407252401=495; total=1036}
1407252405,{1407252403=521; 1407252404=512; total=1033}
1407252407,{1407252406=604; 1407252405=630; total=1234}
1407252409,{1407252408=522; 1407252407=672; total=1194}
1407252411,{1407252409=575; 1407252410=598; total=1173}
1407252413,{1407252412=569; 1407252411=357; total=926}
1407252415,{1407252414=382; 1407252413=531; total=913}
1407252417,{1407252416=386; 1407252415=392; total=778}
1407252419,{1407252417=412; 1407252418=481; total=893}
1407252421,{1407252419=600; 1407252420=654; total=1254}
1407252423,{1407252422=557; 1407252421=502; total=1059}
1407252425,{1407252424=534; 1407252423=451; total=985}
1407252427,{1407252425=451; 1407252426=510; total=961}
1407252429,{1407252428=518; 1407252427=517; total=1035}
1407252431,{1407252430=260; 1407252429=507; total=767}
1407252433,{1407252432=608; 1407252431=545; total=1153}
1407252435,{1407252433=482; 1407252434=794; total=1276}
1407252437,{1407252436=939; 1407252435=935; total=1874}
1407252439,{1407252438=594; 1407252437=566; total=1160}
1407252441,{1407252440=566; 1407252439=375; total=941}
1407252443,{1407252442=392; 1407252441=394; total=786}
1407252445,{1407252443=558; 1407252444=569; total=1127}
1407252447,{1407252446=555; 1407252445=482; total=1037}
1407252449,{1407252447=377; 1407252448=611; total=988}
1407252451,{1407252450=461; 1407252449=465; total=926}
1407252453,{1407252452=588; 1407252451=384; total=972}
1407252455,{1407252454=600; 1407252453=516; total=1116}
1407252457,{1407252456=486; 1407252455=566; total=1052}
1407252459,{1407252458=543; 1407252457=500; total=1043}
1407252461,{1407252459=590; 1407252460=665; total=1255}
1407252463,{1407252461=404; 1407252462=399; total=803}
1407252465,{1407252464=484; 1407252463=517; total=1001}
1407252467,{1407252466=497; 1407252465=470; total=967}
1407252469,{1407252467=539; 1407252468=479; total=1018}
1407252471,{1407252469=485; 1407252470=482; total=967}
1407252473,{1407252471=426; 1407252472=456; total=882}
1407252475,{1407252473=650; 1407252474=683; total=1333}
1407252477,{1407252476=592; 1407252475=541; total=1133}
1407252479,{1407252477=400; 1407252478=366; total=766}
1407252481,{1407252479=568; 1407252480=673; total=1241}
1407252483,{1407252482=446; 1407252481=495; total=941}
1407252485,{1407252484=381; 1407252483=428; total=809}
1407252487,{1407252486=515; 1407252485=521; total=1036}
1407252489,{1407252487=481; 1407252488=510; total=991}
1407252491,{1407252489=425; 1407252490=513; total=938}
1407252493,{1407252491=532; 1407252492=514; total=1046}
1407252495,{1407252493=508; 1407252494=639; total=1147}
1407252497,{1407252496=865; 1407252495=441; total=1306}
1407252499,{1407252497=483; 1407252498=579; total=1062}
1407252501,{1407252499=496; 1407252500=459; total=955}
1407252503,{1407252502=492; 1407252501=494; total=986}
1407252505,{1407252503=423; 1407252504=426; total=849}
1407252507,{1407252506=681; 1407252505=533; total=1214}
1407252509,{1407252507=503; 1407252508=537; total=1040}
1407252511,{1407252510=499; 1407252509=431; total=930}
1407252513,{1407252512=470; 1407252511=287; total=757}
1407252515,{1407252513=531; 1407252514=404; total=935}
1407252517,{1407252516=535; 1407252515=557; total=1092}
1407252519,{1407252518=550; 1407252517=565; total=1115}
1407252521,{1407252520=485; 1407252519=387; total=872}
1407252523,{1407252522=563; 1407252521=514; total=1077}
1407252525,{1407252523=567; 1407252524=489; total=1056}
1407252527,{1407252525=559; 1407252526=553; total=1112}
1407252529,{1407252527=321; 1407252528=434; total=755}
1407252531,{1407252530=583; 1407252529=502; total=1085}
1407252533,{1407252532=483; 1407252531=437; total=920}
