t,count
1407252385,1556
1407252387,2445
1407252389,3554
1407252391,4436
1407252393,5585
1407252395,6574
1407252397,7531
1407252399,8640
1407252401,9879
1407252403,10896
1407252405,11992
1407252407,13308
1407252409,14406
1407252411,15425
1407252413,16454
1407252415,17259
1407252417,18066
1407252419,19080
1407252421,20263
1407252423,21284
1407252425,22330
1407252427,23249
1407252429,24312
1407252431,25099
1407252433,26230
1407252435,27815
1407252437,29405
1407252439,30444
1407252441,31421
1407252443,32295
1407252445,33355
1407252447,34260
1407252449,35431
1407252451,36316
1407252453,37319
1407252455,38465
1407252457,39421
1407252459,40548
1407252461,41673
1407252463,42591
1407252465,43513
1407252467,44568
1407252469,45500
1407252471,46458
1407252473,47465
1407252475,48710
1407252477,49822
1407252479,50690
1407252481,51849
1407252483,52815
1407252485,53616
1407252487,54632
1407252489,55617
1407252491,56567
1407252493,57586
1407252495,58664
1407252497,60003
1407252499,61110
1407252501,62065
1407252503,62969
1407252505,63879
1407252507,65059
1407252509,66075
1407252511,66916
1407252513,67930
1407252515,68824
1407252517,69873
1407252519,70863
1407252521,71821
1407252523,72971
1407252525,73991
1407252527,74962
1407252529,75867
1407252531,76800
1407252533,77848
1407252535,78849
1407252537,79903
1407252539,80956
1407252541,82014
1407252543,82815
1407252545,83905
1407252547,84755
1407252549,85756
1407252551,86264
1407252553,87172
1407252555,88153
1407252557,89128
1407252559,90037
1407252561,90872
1407252563,91768
1407252565,92741
1407252567,93777
1407252569,94762
1407252571,95788
1407252573,97021
1407252575,97864
1407252577,98717
1407252579,99746
1407252581,100695
1407252583,101377
1407252585,102324
1407252587,103404
1407252589,104474
1407252591,105515
1407252593,106125
1407252595,107070
1407252597,107967
1407252599,108748
1407252601,109714
1407252603,110755
1407252605,111500
1407252607,112397
1407252609,113375
1407252611,114177
1407252613,114925
1407252615,115882
1407252617,116646
1407252619,117474
1407252621,118446
1407252623,119428
1407252625,120081
1407252627,120081
1407252629,120081
1407252631,120081
1407252633,120081
1407252635,120081
1407252637,120081
1407252639,120081
1407252641,120081
1407252643,120081
1407252645,120081
1407252647,120081
1407252649,120081
1407252651,120081
1407252653,120081
1407252655,120081
1407252657,120081
1407252659,120081
1407252661,120081
1407252663,120081
1407252665,120081
1407252667,120081
1407252669,120081
1407252671,120081
1407252673,120081
1407252675,120081
1407252677,120081
1407252679,120081
1407252681,120081
1407252683,120081
1407252685,120081
1407252687,120081
1407252689,120081
1407252691,120081
1407252693,120081
1407252695,120081
1407252697,120081
1407252699,120081
1407252701,120081
1407252703,120081
1407252705,120081
1407252707,120081
1407252709,120081
1407252711,120081
1407252713,120081
1407252715,120081
1407252717,120081
1407252719,120081
1407252721,120081
1407252723,120081
1407252725,120081
1407252727,120081
1407252729,120081
1407252731,120081
1407252733,120081
1407252735,120081
1407252737,120081
1407252739,120081
1407252741,120081
1407252743,120081
1407252745,120081
1407252747,120081
1407252749,120081
1407252751,120081
1407252753,120081
1407252755,120081
