t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407252385,402,1.501588,0.030475,0.018954,0.075147,0.025346,0.026364,0.033233,0.039036,0.056841,1.501588,199.162828,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252387,904,1.501588,0.027347,0.018954,0.050562,0.024976,0.025565,0.032612,0.044697,0.053322,1.501588,229.534866,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252389,2541,4.878148,0.019749,0.003406,0.155779,0.007743,0.023350,0.027019,0.038700,0.049799,4.767422,429.108431,508.200000,508.200000,508.200000,calls/second,milliseconds
1407252391,4942,4.878148,0.014373,0.003004,0.152418,0.004788,0.008767,0.025582,0.028256,0.043411,4.744251,623.832823,508.200000,508.200000,508.200000,calls/second,milliseconds
1407252393,7948,0.056841,0.007381,0.002833,0.007328,0.004542,0.006540,0.025232,0.026883,0.029592,0.056740,801.308394,508.200000,508.200000,508.200000,calls/second,milliseconds
1407252395,11652,0.066170,0.006447,0.002153,0.006762,0.004058,0.004907,0.024655,0.025869,0.027951,0.065798,977.568246,573.363802,521.670765,512.715224,calls/second,milliseconds
1407252397,16043,0.066170,0.004884,0.000337,0.006682,0.003641,0.004569,0.023025,0.025489,0.026982,0.065798,1152.420543,573.363802,521.670765,512.715224,calls/second,milliseconds
1407252399,20344,0.053345,0.003920,0.000337,0.006071,0.003111,0.004137,0.021785,0.025364,0.026417,0.053249,1277.394782,706.412790,550.029275,522.270240,calls/second,milliseconds
1407252401,24733,0.053345,0.003273,0.000337,0.005621,0.000720,0.003950,0.011202,0.025216,0.025949,0.053249,1380.318882,706.412790,550.029275,522.270240,calls/second,milliseconds
1407252403,29184,0.053345,0.002807,0.000302,0.005284,0.000695,0.003589,0.008037,0.024826,0.025515,0.053249,1465.009680,706.412790,550.029275,522.270240,calls/second,milliseconds
1407252405,33707,0.053345,0.002553,0.000302,0.005101,0.000700,0.003350,0.007465,0.024323,0.025459,0.053249,1537.771693,822.043535,576.517439,531.302514,calls/second,milliseconds
1407252407,38217,0.053345,0.002280,0.000337,0.004878,0.000701,0.002349,0.006559,0.023700,0.025459,0.053249,1597.738294,822.043535,576.517439,531.302514,calls/second,milliseconds
1407252409,42908,0.053345,0.002122,0.000337,0.004727,0.000705,0.000830,0.005549,0.022919,0.025402,0.053249,1655.186815,945.027736,605.999119,541.434884,calls/second,milliseconds
1407252411,47693,0.053345,0.001986,0.000337,0.004603,0.000704,0.000784,0.004974,0.022322,0.025333,0.053249,1708.054739,945.027736,605.999119,541.434884,calls/second,milliseconds
1407252413,52431,0.053345,0.001765,0.000337,0.004231,0.000704,0.000774,0.004589,0.020834,0.024977,0.053249,1752.541040,945.027736,605.999119,541.434884,calls/second,milliseconds
1407252415,57122,0.053345,0.001575,0.000337,0.003861,0.000695,0.000761,0.004493,0.007743,0.022954,0.053249,1789.523674,1052.645736,633.849734,551.127741,calls/second,milliseconds
1407252417,61675,0.053345,0.001485,0.000337,0.003758,0.000687,0.000751,0.004245,0.007379,0.022827,0.053249,1818.417756,1052.645736,633.849734,551.127741,calls/second,milliseconds
1407252419,66026,0.053345,0.001404,0.000337,0.003611,0.000685,0.000747,0.004160,0.006330,0.022290,0.053249,1838.353510,1154.985228,661.927606,560.997368,calls/second,milliseconds
1407252421,70165,0.053345,0.001317,0.000337,0.003219,0.000681,0.000743,0.004050,0.005366,0.019184,0.053249,1850.476562,1154.985228,661.927606,560.997368,calls/second,milliseconds
1407252423,74358,0.053345,0.001300,0.000309,0.003208,0.000679,0.000744,0.004012,0.005199,0.019184,0.053249,1862.890749,1154.985228,661.927606,560.997368,calls/second,milliseconds
1407252425,78556,0.053345,0.001222,0.000309,0.003012,0.000677,0.000741,0.003944,0.004912,0.008396,0.053249,1873.956288,1221.669368,683.862183,568.908720,calls/second,milliseconds
1407252427,82659,0.053345,0.001206,0.000309,0.003003,0.000673,0.000740,0.003897,0.004845,0.008396,0.053249,1881.545102,1221.669368,683.862183,568.908720,calls/second,milliseconds
1407252429,86832,0.053345,0.001175,0.000309,0.002990,0.000670,0.000733,0.003710,0.004720,0.008396,0.053249,1891.077205,1297.669601,708.462244,577.791197,calls/second,milliseconds
1407252431,91215,0.053345,0.001138,0.000309,0.002950,0.000669,0.000730,0.003504,0.004572,0.007775,0.053249,1903.666431,1297.669601,708.462244,577.791197,calls/second,milliseconds
1407252433,95403,0.053345,0.001133,0.000339,0.002950,0.000668,0.000729,0.003453,0.004630,0.007775,0.053249,1911.215846,1297.669601,708.462244,577.791197,calls/second,milliseconds
1407252435,99583,0.053345,0.001079,0.000339,0.002518,0.000670,0.000727,0.003342,0.004488,0.007484,0.052532,1918.156740,1346.708792,728.338444,585.177377,calls/second,milliseconds
1407252437,103890,0.053345,0.001078,0.000339,0.002518,0.000669,0.000726,0.003342,0.004488,0.007484,0.052532,1926.677286,1346.708792,728.338444,585.177377,calls/second,milliseconds
1407252439,108192,0.053345,0.001039,0.000273,0.002415,0.000664,0.000721,0.003189,0.004346,0.006665,0.052532,1934.900033,1427.807039,755.323966,595.015704,calls/second,milliseconds
1407252441,112519,0.053345,0.001032,0.000273,0.002409,0.000662,0.000721,0.003049,0.004235,0.006665,0.052532,1942.748834,1427.807039,755.323966,595.015704,calls/second,milliseconds
1407252443,116794,0.053345,0.001023,0.000273,0.002407,0.000659,0.000719,0.002924,0.004206,0.006665,0.052532,1949.284621,1427.807039,755.323966,595.015704,calls/second,milliseconds
1407252445,121185,0.053345,0.001013,0.000273,0.002405,0.000653,0.000715,0.002668,0.004206,0.006665,0.052532,1957.197868,1481.952399,777.632149,603.381246,calls/second,milliseconds
1407252447,125511,0.053345,0.001002,0.000273,0.002401,0.000648,0.000710,0.002337,0.004115,0.006665,0.052532,1963.657627,1481.952399,777.632149,603.381246,calls/second,milliseconds
1407252449,129678,0.053345,0.000972,0.000273,0.002377,0.000642,0.000706,0.001966,0.004013,0.005751,0.052532,1967.293722,1538.740662,801.012899,612.183544,calls/second,milliseconds
1407252451,138114,0.053345,0.000950,0.000273,0.002281,0.000637,0.000702,0.001820,0.004013,0.005411,0.052532,2021.962211,1538.740662,801.012899,612.183544,calls/second,milliseconds
1407252453,138114,0.053345,0.000950,0.000273,0.002281,0.000637,0.000702,0.001820,0.004013,0.005411,0.052532,1975.279758,1538.740662,801.012899,612.183544,calls/second,milliseconds
1407252455,142278,0.053345,0.000946,0.000273,0.002279,0.000638,0.000700,0.001687,0.004013,0.005411,0.052532,1978.412036,1580.322310,821.802291,620.198019,calls/second,milliseconds
1407252457,146672,0.053345,0.000930,0.000273,0.002271,0.000635,0.000696,0.001477,0.003986,0.005249,0.052532,1984.300849,1580.322310,821.802291,620.198019,calls/second,milliseconds
1407252459,151047,0.053345,0.000929,0.000273,0.002271,0.000635,0.000693,0.001477,0.003986,0.005249,0.052532,1989.642773,1631.068337,844.829824,629.033464,calls/second,milliseconds
1407252461,155560,0.053345,0.000904,0.000273,0.002163,0.000632,0.000692,0.001462,0.003948,0.004961,0.052532,1996.493103,1631.068337,844.829824,629.033464,calls/second,milliseconds
1407252463,160096,0.025316,0.000821,0.000273,0.001246,0.000630,0.000689,0.001370,0.003756,0.004417,0.025302,2003.278043,1631.068337,844.829824,629.033464,calls/second,milliseconds
1407252465,164713,0.025316,0.000813,0.000273,0.001238,0.000628,0.000686,0.001316,0.003626,0.004417,0.025302,2010.727344,1663.572814,864.544581,636.837137,calls/second,milliseconds
1407252467,169298,0.025316,0.000803,0.000273,0.001229,0.000626,0.000683,0.001278,0.003447,0.004415,0.025302,2017.457248,1663.572814,864.544581,636.837137,calls/second,milliseconds
1407252469,173821,0.025316,0.000798,0.000273,0.001226,0.000626,0.000681,0.001269,0.003447,0.004415,0.025302,2022.781988,1731.825075,891.860572,647.254633,calls/second,milliseconds
1407252471,178330,0.025316,0.000797,0.000273,0.001219,0.000629,0.000683,0.001274,0.003428,0.004159,0.025302,2028.413414,1731.825075,891.860572,647.254633,calls/second,milliseconds
1407252473,182733,0.025316,0.000795,0.000273,0.001216,0.000631,0.000685,0.001268,0.003428,0.004159,0.025302,2032.022311,1731.825075,891.860572,647.254633,calls/second,milliseconds
1407252475,186969,0.025316,0.000796,0.000273,0.001216,0.000633,0.000689,0.001268,0.003428,0.004159,0.025302,2034.097417,1753.586981,910.242620,654.771208,calls/second,milliseconds
1407252477,191321,0.025316,0.000796,0.000273,0.001216,0.000633,0.000688,0.001268,0.003428,0.004159,0.025302,2037.153084,1753.586981,910.242620,654.771208,calls/second,milliseconds
1407252479,195715,0.025316,0.000799,0.000273,0.001218,0.000634,0.000688,0.001269,0.003428,0.004159,0.025302,2040.484222,1803.256431,934.449624,664.300429,calls/second,milliseconds
