t,value
1407252385,{total=0}
1407252387,{total=0}
1407252389,{1407252385=905; total=905}
1407252391,{1407252387=1638; total=1638}
1407252393,{1407252389=2402; total=2402}
1407252395,{1407252391=3007; total=3007}
1407252397,{1407252393=3705; total=3705}
1407252399,{1407252395=4392; total=4392}
1407252401,{1407252397=4302; total=4302}
1407252403,{1407252399=4390; total=4390}
1407252405,{1407252401=4452; total=4452}
1407252407,{1407252403=4524; total=4524}
1407252409,{1407252405=4511; total=4511}
1407252411,{1407252407=4692; total=4692}
1407252413,{1407252409=4786; total=4786}
1407252415,{1407252411=4739; total=4739}
1407252417,{1407252413=4692; total=4692}
1407252419,{1407252415=4554; total=4554}
1407252421,{1407252417=4352; total=4352}
1407252423,{1407252419=4140; total=4140}
1407252425,{1407252421=4194; total=4194}
1407252427,{1407252423=4199; total=4199}
1407252429,{1407252425=4104; total=4104}
1407252431,{1407252427=4174; total=4174}
1407252433,{1407252429=4384; total=4384}
1407252435,{1407252431=4189; total=4189}
1407252437,{1407252433=4181; total=4181}
1407252439,{1407252435=4308; total=4308}
1407252441,{1407252437=4303; total=4303}
1407252443,{1407252439=4328; total=4328}
1407252445,{1407252441=4276; total=4276}
1407252447,{1407252443=4392; total=4392}
1407252449,{1407252445=4327; total=4327}
1407252451,{1407252447=4168; total=4168}
1407252453,{1407252449=4241; total=4241}
1407252455,{1407252451=4197; total=4197}
1407252457,{1407252453=4165; total=4165}
1407252459,{1407252455=4395; total=4395}
1407252461,{1407252457=4376; total=4376}
1407252463,{1407252459=4514; total=4514}
1407252465,{1407252461=4537; total=4537}
1407252467,{1407252463=4618; total=4618}
1407252469,{1407252465=4586; total=4586}
1407252471,{1407252467=4524; total=4524}
1407252473,{1407252469=4510; total=4510}
1407252475,{1407252471=4404; total=4404}
1407252477,{1407252473=4237; total=4237}
1407252479,{1407252475=4353; total=4353}
1407252481,{1407252477=4395; total=4395}
1407252483,{1407252479=4252; total=4252}
1407252485,{1407252481=4375; total=4375}
1407252487,{1407252483=4310; total=4310}
1407252489,{1407252485=4234; total=4234}
1407252491,{1407252487=4148; total=4148}
1407252493,{1407252489=4081; total=4081}
1407252495,{1407252491=4213; total=4213}
1407252497,{1407252493=4158; total=4158}
1407252499,{1407252495=4262; total=4262}
