t,count
1407252385,1
1407252387,2
1407252389,3
1407252391,4
1407252393,5
1407252395,6
1407252397,7
1407252399,8
1407252401,9
1407252403,10
1407252405,11
1407252407,12
1407252409,13
1407252411,14
1407252413,15
1407252415,16
1407252417,17
1407252419,18
1407252421,19
1407252423,20
1407252425,21
1407252427,22
1407252429,23
1407252431,24
1407252433,25
1407252435,26
1407252437,27
1407252439,28
1407252441,29
1407252443,30
1407252445,31
1407252447,32
1407252449,33
1407252451,34
1407252453,35
1407252455,36
1407252457,37
1407252459,38
1407252461,39
1407252463,40
1407252465,41
1407252467,42
1407252469,43
1407252471,44
1407252473,45
1407252475,46
1407252477,47
1407252479,48
1407252481,49
1407252483,50
1407252485,51
1407252487,52
1407252489,53
1407252491,54
1407252493,55
1407252495,56
1407252497,57
1407252499,58
1407252501,59
1407252503,60
1407252505,61
1407252507,62
1407252509,63
1407252511,64
1407252513,65
1407252515,66
1407252517,67
1407252519,68
1407252521,69
1407252523,70
1407252525,71
1407252527,72
1407252529,73
1407252531,74
1407252533,75
1407252535,76
1407252537,77
1407252539,78
1407252541,79
1407252543,80
1407252545,81
1407252547,82
1407252549,83
1407252551,84
1407252553,85
1407252555,86
1407252557,87
1407252559,88
1407252561,89
1407252563,90
1407252565,91
1407252567,92
1407252569,93
1407252571,94
1407252573,95
1407252575,96
1407252577,97
1407252579,98
1407252581,99
1407252583,100
1407252585,101
1407252587,102
1407252589,103
1407252591,104
1407252593,105
1407252595,106
1407252597,107
1407252599,108
1407252601,109
1407252603,110
1407252605,111
1407252607,112
1407252609,113
1407252611,114
1407252613,115
1407252615,116
1407252617,117
1407252619,118
1407252621,119
1407252623,120
1407252625,121
1407252627,122
1407252629,123
1407252631,124
1407252633,125
1407252635,126
1407252637,127
1407252639,128
1407252641,129
1407252643,130
1407252645,131
1407252647,132
1407252649,133
1407252651,134
1407252653,135
1407252655,136
1407252657,137
1407252659,138
1407252661,139
1407252663,140
1407252665,141
1407252667,142
1407252669,143
1407252671,144
1407252673,145
1407252675,146
1407252677,147
1407252679,148
1407252681,149
1407252683,150
1407252685,151
1407252687,152
1407252689,153
1407252691,154
1407252693,155
1407252695,156
1407252697,157
1407252699,158
1407252701,159
1407252703,160
1407252705,161
1407252707,162
1407252709,163
1407252711,164
1407252713,165
1407252715,166
1407252717,167
1407252719,168
1407252721,169
1407252723,170
1407252725,171
1407252727,172
1407252729,173
1407252731,174
1407252733,175
1407252735,176
1407252737,177
1407252739,178
1407252741,179
1407252743,180
1407252745,181
1407252747,182
1407252749,183
1407252751,184
1407252753,185
1407252755,186
