t,count
1407252385,0
1407252387,904
1407252389,2541
1407252391,4942
1407252393,7948
1407252395,11652
1407252397,16043
1407252399,20344
1407252401,24733
1407252403,29184
1407252405,33707
1407252407,38217
1407252409,42908
1407252411,47693
1407252413,52431
1407252415,57122
1407252417,61675
1407252419,66026
1407252421,70165
1407252423,74358
1407252425,78556
1407252427,82659
1407252429,86832
1407252431,91215
1407252433,95403
1407252435,99583
1407252437,103890
1407252439,108192
1407252441,112519
1407252443,116794
1407252445,121185
1407252447,125511
1407252449,129678
1407252451,133918
1407252453,138114
1407252455,142278
1407252457,146672
1407252459,151047
1407252461,155560
1407252463,160096
1407252465,164713
1407252467,169298
1407252469,173821
1407252471,178330
1407252473,182733
1407252475,186969
1407252477,191321
1407252479,195715
1407252481,199966
1407252483,204340
1407252485,208649
1407252487,212882
1407252489,217029
1407252491,221109
1407252493,225321
1407252495,229478
1407252497,233739
1407252499,238167
1407252501,242610
1407252503,247108
1407252505,251548
1407252507,255899
1407252509,260232
1407252511,264539
1407252513,268704
1407252515,272899
1407252517,277036
1407252519,281231
1407252521,285392
1407252523,289577
1407252525,293971
1407252527,298434
1407252529,302913
1407252531,307217
1407252533,311458
1407252535,315630
1407252537,319644
1407252539,323573
1407252541,327570
1407252543,331727
1407252545,335781
1407252547,339923
1407252549,343956
1407252551,348020
1407252553,351780
1407252555,355404
1407252557,359202
1407252559,362937
1407252561,366740
1407252563,370431
1407252565,374397
1407252567,378409
1407252569,382420
1407252571,386432
1407252573,390517
1407252575,394864
1407252577,399198
1407252579,403453
1407252581,407744
1407252583,412108
1407252585,416193
1407252587,420122
1407252589,424208
1407252591,428502
1407252593,432762
1407252595,436757
1407252597,440969
1407252599,445136
1407252601,449101
1407252603,452972
1407252605,456846
1407252607,460833
1407252609,464766
1407252611,468792
1407252613,472859
1407252615,476795
1407252617,480691
1407252619,484548
1407252621,488421
1407252623,492246
1407252625,496150
1407252627,499970
1407252629,503140
1407252631,505801
1407252633,507869
1407252635,509218
1407252637,509795
1407252639,509795
1407252641,509795
1407252643,509795
1407252645,509795
1407252647,509795
1407252649,509795
1407252651,509795
1407252653,509795
1407252655,509795
1407252657,509795
1407252659,509795
1407252661,509795
1407252663,509795
1407252665,509795
1407252667,509795
1407252669,509795
1407252671,509795
1407252673,509795
1407252675,509795
1407252677,509795
1407252679,509795
1407252681,509795
1407252683,509795
1407252685,509795
1407252687,509795
1407252689,509795
1407252691,509795
1407252693,509795
1407252695,509795
1407252697,509795
1407252699,509795
1407252701,509795
1407252703,509795
1407252705,509795
1407252707,509795
1407252709,509795
1407252711,509795
1407252713,509795
1407252715,509795
1407252717,509795
1407252719,509795
1407252721,509795
1407252723,509795
1407252725,509795
1407252727,509795
1407252729,509795
1407252731,509795
1407252733,509795
1407252735,509795
1407252737,509795
1407252739,509795
1407252741,509795
1407252743,509795
1407252745,509795
1407252747,509795
1407252749,509795
1407252751,509795
1407252753,509795
1407252755,509795
