t,value
1407252385,1366294528
1407252387,1366294528
1407252389,1366294528
1407252391,1366294528
1407252393,1366294528
1407252395,1366294528
1407252397,1366294528
1407252399,1366294528
1407252401,1366294528
1407252403,1366294528
1407252405,1366294528
1407252407,1366294528
1407252409,1366294528
1407252411,1366294528
1407252413,1366294528
1407252415,1366294528
1407252417,1366294528
1407252419,1366294528
1407252421,1366294528
1407252423,1366294528
1407252425,1366294528
1407252427,1366294528
1407252429,1366294528
1407252431,1366294528
1407252433,1366294528
1407252435,1366294528
1407252437,1366294528
1407252439,1366294528
1407252441,1366294528
1407252443,1366294528
1407252445,1366294528
1407252447,1366294528
1407252449,1366294528
1407252451,1366294528
1407252453,1366294528
1407252455,1366294528
1407252457,1366294528
1407252459,1366294528
1407252461,1366294528
1407252463,1366294528
1407252465,1366294528
1407252467,1366294528
1407252469,1366294528
1407252471,1366294528
1407252473,1366294528
1407252475,1366294528
1407252477,1366294528
1407252479,1366294528
1407252481,1366294528
1407252483,1366294528
1407252485,1366294528
1407252487,1366294528
1407252489,1366294528
1407252491,1366294528
1407252493,1366294528
1407252495,1366294528
1407252497,1366294528
1407252499,1366294528
1407252501,1366294528
1407252503,1366294528
1407252505,1366294528
1407252507,1366294528
1407252509,1366294528
1407252511,1366294528
1407252513,1366294528
1407252515,1366294528
1407252517,1366294528
1407252519,1366294528
1407252521,1366294528
1407252523,1366294528
1407252525,1366294528
1407252527,1366294528
1407252529,1366294528
1407252531,1366294528
1407252533,1366294528
1407252535,1366294528
1407252537,1366294528
1407252539,1366294528
1407252541,1366294528
1407252543,1366294528
1407252545,1366294528
1407252547,1366294528
1407252549,1366294528
1407252551,1366294528
1407252553,1366294528
1407252555,1366294528
1407252557,1366294528
1407252559,1366294528
1407252561,1366294528
1407252563,1366294528
1407252565,1366294528
1407252567,1366294528
1407252569,1366294528
1407252571,1366294528
1407252573,1366294528
1407252575,1366294528
1407252577,1366294528
1407252579,1366294528
1407252581,1366294528
1407252583,1366294528
1407252585,1366294528
1407252587,1366294528
1407252589,1366294528
1407252591,1366294528
1407252593,1366294528
1407252595,1366294528
1407252597,1366294528
1407252599,1366294528
1407252601,1366294528
1407252603,1366294528
1407252605,1366294528
1407252607,1366294528
1407252609,1366294528
1407252611,1366294528
1407252613,1366294528
1407252615,1366294528
1407252617,1366294528
1407252619,1366294528
1407252621,1366294528
1407252623,1366294528
1407252625,1366294528
1407252627,1366294528
1407252629,1366294528
1407252631,1366294528
1407252633,1366294528
1407252635,1366294528
1407252637,1366294528
1407252639,1366294528
1407252641,1366294528
1407252643,1366294528
1407252645,1366294528
1407252647,1366294528
1407252649,1366294528
1407252651,1366294528
1407252653,1366294528
1407252655,1366294528
1407252657,1366294528
1407252659,1366294528
1407252661,1366294528
1407252663,1366294528
1407252665,1366294528
1407252667,1366294528
1407252669,1366294528
1407252671,1366294528
1407252673,1366294528
1407252675,1366294528
1407252677,1366294528
1407252679,1366294528
1407252681,1366294528
1407252683,1366294528
1407252685,1366294528
1407252687,1366294528
1407252689,1366294528
1407252691,1366294528
1407252693,1366294528
1407252695,1366294528
1407252697,1366294528
1407252699,1366294528
1407252701,1366294528
1407252703,1366294528
1407252705,1366294528
1407252707,1366294528
1407252709,1366294528
1407252711,1366294528
1407252713,1366294528
1407252715,1366294528
1407252717,1366294528
1407252719,1366294528
1407252721,1366294528
1407252723,1366294528
1407252725,1366294528
1407252727,1366294528
1407252729,1366294528
1407252731,1366294528
1407252733,1366294528
1407252735,1366294528
1407252737,1366294528
1407252739,1366294528
1407252741,1366294528
1407252743,1366294528
1407252745,1366294528
1407252747,1366294528
1407252749,1366294528
1407252751,1366294528
1407252753,1366294528
1407252755,1366294528
