t,value
1407252385,24576000
1407252387,24576000
1407252389,24576000
1407252391,24576000
1407252393,24576000
1407252395,24576000
1407252397,24576000
1407252399,24576000
1407252401,24576000
1407252403,24576000
1407252405,24576000
1407252407,24576000
1407252409,24576000
1407252411,24576000
1407252413,24576000
1407252415,24576000
1407252417,24576000
1407252419,24576000
1407252421,24576000
1407252423,24576000
1407252425,24576000
1407252427,24576000
1407252429,24576000
1407252431,24576000
1407252433,24576000
1407252435,24576000
1407252437,24576000
1407252439,24576000
1407252441,24576000
1407252443,24576000
1407252445,24576000
1407252447,24576000
1407252449,24576000
1407252451,24576000
1407252453,24576000
1407252455,24576000
1407252457,24576000
1407252459,24576000
1407252461,24576000
1407252463,24576000
1407252465,24576000
1407252467,24576000
1407252469,24576000
1407252471,24576000
1407252473,24576000
1407252475,24576000
1407252477,24576000
1407252479,24576000
1407252481,24576000
1407252483,24576000
1407252485,24576000
1407252487,24576000
1407252489,24576000
1407252491,24576000
1407252493,24576000
1407252495,24576000
1407252497,24576000
1407252499,24576000
1407252501,24576000
1407252503,24576000
1407252505,24576000
1407252507,24576000
1407252509,24576000
1407252511,24576000
1407252513,24576000
1407252515,24576000
1407252517,24576000
1407252519,24576000
1407252521,24576000
1407252523,24576000
1407252525,24576000
1407252527,24576000
1407252529,24576000
1407252531,24576000
1407252533,24576000
1407252535,24576000
1407252537,24576000
1407252539,24576000
1407252541,24576000
1407252543,24576000
1407252545,24576000
1407252547,24576000
1407252549,24576000
1407252551,24576000
1407252553,24576000
1407252555,24576000
1407252557,24576000
1407252559,24576000
1407252561,24576000
1407252563,24576000
1407252565,24576000
1407252567,24576000
1407252569,24576000
1407252571,24576000
1407252573,24576000
1407252575,24576000
1407252577,24576000
1407252579,24576000
1407252581,24576000
1407252583,24576000
1407252585,24576000
1407252587,24576000
1407252589,24576000
1407252591,24576000
1407252593,24576000
1407252595,24576000
1407252597,24576000
1407252599,24576000
1407252601,24576000
1407252603,24576000
1407252605,24576000
1407252607,24576000
1407252609,24576000
1407252611,24576000
1407252613,24576000
1407252615,24576000
1407252617,24576000
1407252619,24576000
1407252621,24576000
1407252623,24576000
1407252625,24576000
1407252627,24576000
1407252629,24576000
1407252631,24576000
1407252633,24576000
1407252635,24576000
1407252637,24576000
1407252639,24576000
1407252641,24576000
1407252643,24576000
1407252645,24576000
1407252647,24576000
1407252649,24576000
1407252651,24576000
1407252653,24576000
1407252655,24576000
1407252657,24576000
1407252659,24576000
1407252661,24576000
1407252663,24576000
1407252665,24576000
1407252667,24576000
1407252669,24576000
1407252671,24576000
1407252673,24576000
1407252675,24576000
1407252677,24576000
1407252679,24576000
1407252681,24576000
1407252683,24576000
1407252685,24576000
1407252687,24576000
1407252689,24576000
1407252691,24576000
1407252693,24576000
1407252695,24576000
1407252697,24576000
1407252699,24576000
1407252701,24576000
1407252703,24576000
1407252705,24576000
1407252707,24576000
1407252709,24576000
1407252711,24576000
1407252713,24576000
1407252715,24576000
1407252717,24576000
1407252719,24576000
1407252721,24576000
1407252723,24576000
1407252725,24576000
1407252727,24576000
1407252729,24576000
1407252731,24576000
1407252733,24576000
1407252735,24576000
1407252737,24576000
1407252739,24576000
1407252741,24576000
1407252743,24576000
1407252745,24576000
1407252747,24576000
1407252749,24576000
1407252751,24576000
1407252753,24576000
1407252755,24576000
