t,value
1407252385,8627080
1407252387,8922448
1407252389,9036912
1407252391,9016704
1407252393,9059312
1407252395,9127168
1407252397,9145440
1407252399,9206592
1407252401,9217616
1407252403,9276776
1407252405,9268984
1407252407,9261560
1407252409,9263720
1407252411,9315120
1407252413,9316968
1407252415,9318328
1407252417,9318848
1407252419,9320072
1407252421,9325504
1407252423,9329192
1407252425,9329192
1407252427,9329192
1407252429,9329192
1407252431,9330088
1407252433,9341456
1407252435,9341456
1407252437,9343560
1407252439,9369160
1407252441,9369736
1407252443,9369736
1407252445,9369736
1407252447,9370368
1407252449,9370368
1407252451,9370368
1407252453,9374592
1407252455,9382400
1407252457,9382400
1407252459,9382400
1407252461,9383040
1407252463,9384784
1407252465,9384784
1407252467,9396808
1407252469,9396808
1407252471,9401544
1407252473,9401544
1407252475,9408104
1407252477,9408104
1407252479,9408104
1407252481,9408104
1407252483,9409128
1407252485,9409128
1407252487,9409488
1407252489,9409488
1407252491,9410272
1407252493,9410272
1407252495,9410648
1407252497,9410648
1407252499,9410648
1407252501,9410648
1407252503,9410648
1407252505,9410648
1407252507,9416640
1407252509,9417576
1407252511,9417576
1407252513,9417576
1407252515,9417576
1407252517,9417576
1407252519,9420408
1407252521,9420408
1407252523,9420408
1407252525,9420408
1407252527,9420408
1407252529,9420408
1407252531,9420608
1407252533,9425984
1407252535,9427840
1407252537,9427840
1407252539,9427840
1407252541,9429208
1407252543,9429208
1407252545,9431704
1407252547,9431704
1407252549,9431704
1407252551,9431704
1407252553,9431704
1407252555,9431704
1407252557,9431704
1407252559,9431704
1407252561,9431704
1407252563,9431704
1407252565,9431704
1407252567,9431704
1407252569,9431704
1407252571,9431704
1407252573,9431704
1407252575,9433744
1407252577,9433744
1407252579,9433744
1407252581,9433744
1407252583,9434936
1407252585,9434936
1407252587,9434936
1407252589,9434936
1407252591,9434936
1407252593,9434936
1407252595,9448696
1407252597,9448696
1407252599,9448696
1407252601,9450008
1407252603,9450280
1407252605,9450280
1407252607,9450280
1407252609,9450280
1407252611,9450280
1407252613,9450280
1407252615,9450280
1407252617,9450280
1407252619,9450520
1407252621,9450520
1407252623,9450520
1407252625,9450520
1407252627,9450520
1407252629,9450520
1407252631,9450520
1407252633,9450520
1407252635,9450520
1407252637,9450520
1407252639,9450520
1407252641,9450712
1407252643,9450712
1407252645,9451304
1407252647,9452008
1407252649,9452008
1407252651,9452008
1407252653,9453584
1407252655,9453912
1407252657,9453912
1407252659,9453912
1407252661,9454904
1407252663,9454904
1407252665,9455416
1407252667,9459000
1407252669,9459000
1407252671,9459768
1407252673,9460584
1407252675,9460584
1407252677,9460944
1407252679,9461400
1407252681,9461400
1407252683,9461400
1407252685,9461400
1407252687,9466208
1407252689,9464544
1407252691,9465248
1407252693,9465248
1407252695,9466168
1407252697,9466384
1407252699,9466960
1407252701,9467352
1407252703,9467712
1407252705,9467712
1407252707,9467712
1407252709,9470208
1407252711,9470208
1407252713,9470208
1407252715,9471648
1407252717,9476312
1407252719,9477176
1407252721,9478832
1407252723,9480424
1407252725,9480424
1407252727,9480424
1407252729,9481064
1407252731,9481976
1407252733,9482136
1407252735,9482464
1407252737,9482464
1407252739,9483440
1407252741,9484840
1407252743,9484840
1407252745,9484840
1407252747,9484840
1407252749,9484840
1407252751,9488496
1407252753,9488496
1407252755,9490400
