t,value
1407252385,278331392
1407252387,250019840
1407252389,218038272
1407252391,190775296
1407252393,163512320
1407252395,139395072
1407252397,128909312
1407252399,167182336
1407252401,140443648
1407252403,121569280
1407252405,169803776
1407252407,142016512
1407252409,128385024
1407252411,155123712
1407252413,131530752
1407252415,147783680
1407252417,131006464
1407252419,178192384
1407252421,149880832
1407252423,173998080
1407252425,145686528
1407252427,126812160
1407252429,149880832
1407252431,131006464
1407252433,120520704
1407252435,167706624
1407252437,143589376
1407252439,185008128
1407252441,156172288
1407252443,135200768
1407252445,126287872
1407252447,189726720
1407252449,158793728
1407252451,137297920
1407252453,128909312
1407252455,138870784
1407252457,121569280
1407252459,169803776
1407252461,143589376
1407252463,125239296
1407252465,185008128
1407252467,156172288
1407252469,132055040
1407252471,116850688
1407252473,179765248
1407252475,153026560
1407252477,129433600
1407252479,162988032
1407252481,135200768
1407252483,126287872
1407252485,127860736
1407252487,126287872
1407252489,165085184
1407252491,142016512
1407252493,122093568
1407252495,230096896
1407252497,204406784
1407252499,170852352
1407252501,145686528
1407252503,138870784
1407252505,176619520
1407252507,153026560
1407252509,132579328
1407252511,134676480
1407252513,135200768
1407252515,170328064
1407252517,143589376
1407252519,133627904
1407252521,164036608
1407252523,138870784
1407252525,127860736
1407252527,153026560
1407252529,132579328
1407252531,124190720
1407252533,181338112
1407252535,151977984
1407252537,128909312
1407252539,151977984
1407252541,128909312
1407252543,159842304
1407252545,133627904
1407252547,167706624
1407252549,142016512
1407252551,172425216
1407252553,146735104
1407252555,126287872
1407252557,186056704
1407252559,158793728
1407252561,137297920
1407252563,122093568
1407252565,140443648
1407252567,121044992
1407252569,153026560
1407252571,139919360
1407252573,156172288
1407252575,135200768
1407252577,138870784
1407252579,173473792
1407252581,148832256
1407252583,131530752
1407252585,131006464
1407252587,140967936
1407252589,230096896
1407252591,204406784
1407252593,183959552
1407252595,155648000
1407252597,134152192
1407252599,137297920
1407252601,126287872
1407252603,148832256
1407252605,129433600
1407252607,131006464
1407252609,175046656
1407252611,154075136
1407252613,134152192
1407252615,185008128
1407252617,163512320
1407252619,141492224
1407252621,128909312
1407252623,173473792
1407252625,153026560
1407252627,150929408
1407252629,148832256
1407252631,146735104
1407252633,143589376
1407252635,142016512
1407252637,140443648
1407252639,138870784
1407252641,137297920
1407252643,135725056
1407252645,134676480
1407252647,142540800
1407252649,153550848
1407252651,153550848
1407252653,166658048
1407252655,182386688
1407252657,182386688
1407252659,178716672
1407252661,175570944
1407252663,175570944
1407252665,172425216
1407252667,169279488
1407252669,169279488
1407252671,166658048
1407252673,164036608
1407252675,164036608
1407252677,161415168
1407252679,158793728
1407252681,156696576
1407252683,154599424
1407252685,154599424
1407252687,152502272
1407252689,150405120
1407252691,148307968
1407252693,146735104
1407252695,145162240
1407252697,143589376
1407252699,142016512
1407252701,140443648
1407252703,138870784
1407252705,137297920
1407252707,135725056
1407252709,144113664
1407252711,155123712
1407252713,155123712
1407252715,168755200
1407252717,185008128
1407252719,185008128
1407252721,181338112
1407252723,178192384
1407252725,178192384
1407252727,175046656
1407252729,175046656
1407252731,171900928
1407252733,168755200
1407252735,166133760
1407252737,166133760
1407252739,163512320
1407252741,160890880
1407252743,158269440
1407252745,158269440
1407252747,156172288
1407252749,154075136
1407252751,151977984
1407252753,149880832
1407252755,147783680
