t,value
1407252385,1590689792
1407252387,1590689792
1407252389,1590689792
1407252391,1590689792
1407252393,1590689792
1407252395,1590689792
1407252397,1590689792
1407252399,1590689792
1407252401,1590689792
1407252403,1590689792
1407252405,1590689792
1407252407,1590689792
1407252409,1590689792
1407252411,1590689792
1407252413,1590689792
1407252415,1590689792
1407252417,1590689792
1407252419,1590689792
1407252421,1590689792
1407252423,1590689792
1407252425,1590689792
1407252427,1590689792
1407252429,1590689792
1407252431,1590689792
1407252433,1590689792
1407252435,1590689792
1407252437,1590689792
1407252439,1590689792
1407252441,1590689792
1407252443,1590689792
1407252445,1590689792
1407252447,1590689792
1407252449,1590689792
1407252451,1590689792
1407252453,1590689792
1407252455,1590689792
1407252457,1590689792
1407252459,1590689792
1407252461,1590689792
1407252463,1590689792
1407252465,1590689792
1407252467,1590689792
1407252469,1590689792
1407252471,1590689792
1407252473,1590689792
1407252475,1590689792
1407252477,1590689792
1407252479,1590689792
1407252481,1590689792
1407252483,1590689792
1407252485,1590689792
1407252487,1590689792
1407252489,1590689792
1407252491,1590689792
1407252493,1590689792
1407252495,1590689792
1407252497,1590689792
1407252499,1590689792
1407252501,1590689792
1407252503,1590689792
1407252505,1590689792
1407252507,1590689792
1407252509,1590689792
1407252511,1590689792
1407252513,1590689792
1407252515,1590689792
1407252517,1590689792
1407252519,1590689792
1407252521,1590689792
1407252523,1590689792
1407252525,1590689792
1407252527,1590689792
1407252529,1590689792
1407252531,1590689792
1407252533,1590689792
1407252535,1590689792
1407252537,1590689792
1407252539,1590689792
1407252541,1590689792
1407252543,1590689792
1407252545,1590689792
1407252547,1590689792
1407252549,1590689792
1407252551,1590689792
1407252553,1590689792
1407252555,1590689792
1407252557,1590689792
1407252559,1590689792
1407252561,1590689792
1407252563,1590689792
1407252565,1590689792
1407252567,1590689792
1407252569,1590689792
1407252571,1590689792
1407252573,1590689792
1407252575,1590689792
1407252577,1590689792
1407252579,1590689792
1407252581,1590689792
1407252583,1590689792
1407252585,1590689792
1407252587,1590689792
1407252589,1590689792
1407252591,1590689792
1407252593,1590689792
1407252595,1590689792
1407252597,1590689792
1407252599,1590689792
1407252601,1590689792
1407252603,1590689792
1407252605,1590689792
1407252607,1590689792
1407252609,1590689792
1407252611,1590689792
1407252613,1590689792
1407252615,1590689792
1407252617,1590689792
1407252619,1590689792
1407252621,1590689792
1407252623,1590689792
1407252625,1590689792
1407252627,1590689792
1407252629,1590689792
1407252631,1590689792
1407252633,1590689792
1407252635,1590689792
1407252637,1590689792
1407252639,1590689792
1407252641,1590689792
1407252643,1590689792
1407252645,1590689792
1407252647,1590689792
1407252649,1590689792
1407252651,1590689792
1407252653,1590689792
1407252655,1590689792
1407252657,1590689792
1407252659,1590689792
1407252661,1590689792
1407252663,1590689792
1407252665,1590689792
1407252667,1590689792
1407252669,1590689792
1407252671,1590689792
1407252673,1590689792
1407252675,1590689792
1407252677,1590689792
1407252679,1590689792
1407252681,1590689792
1407252683,1590689792
1407252685,1590689792
1407252687,1590689792
1407252689,1590689792
1407252691,1590689792
1407252693,1590689792
1407252695,1590689792
1407252697,1590689792
1407252699,1590689792
1407252701,1590689792
1407252703,1590689792
1407252705,1590689792
1407252707,1590689792
1407252709,1590689792
1407252711,1590689792
1407252713,1590689792
1407252715,1590689792
1407252717,1590689792
1407252719,1590689792
1407252721,1590689792
1407252723,1590689792
1407252725,1590689792
1407252727,1590689792
1407252729,1590689792
1407252731,1590689792
1407252733,1590689792
1407252735,1590689792
1407252737,1590689792
1407252739,1590689792
1407252741,1590689792
1407252743,1590689792
1407252745,1590689792
1407252747,1590689792
1407252749,1590689792
1407252751,1590689792
1407252753,1590689792
1407252755,1590689792
