t,value
1407252385,46314320
1407252387,50161840
1407252389,106472000
1407252391,67104936
1407252393,41393072
1407252395,31427752
1407252397,54267184
1407252399,32659664
1407252401,58070888
1407252403,42079552
1407252405,54086160
1407252407,47053720
1407252409,24878696
1407252411,34404384
1407252413,28176768
1407252415,65846568
1407252417,54033056
1407252419,48352416
1407252421,77773528
1407252423,87289032
1407252425,27618296
1407252427,26634648
1407252429,47361032
1407252431,47125072
1407252433,31957680
1407252435,42093224
1407252437,71320840
1407252439,112259032
1407252441,46733176
1407252443,26004752
1407252445,48027672
1407252447,105912640
1407252449,68508752
1407252451,41968904
1407252453,36376064
1407252455,59145224
1407252457,55815272
1407252459,88776792
1407252461,40625456
1407252463,63697272
1407252465,112223464
1407252467,88889088
1407252469,35697904
1407252471,54402584
1407252473,85444272
1407252475,77661280
1407252477,30398656
1407252479,98937784
1407252481,41285744
1407252483,48678232
1407252485,46145736
1407252487,57959576
1407252489,40542856
1407252491,53383328
1407252493,63350496
1407252495,73228784
1407252497,134565688
1407252499,68838056
1407252501,42577952
1407252503,74019904
1407252505,74769816
1407252507,84146568
1407252509,65035008
1407252511,62725312
1407252513,67263960
1407252515,113171584
1407252517,72169608
1407252519,45605200
1407252521,48630952
1407252523,50383432
1407252525,50484696
1407252527,92983408
1407252529,59517792
1407252531,46787968
1407252533,119110928
1407252535,55628576
1407252537,52653080
1407252539,64136992
1407252541,44652688
1407252543,83768720
1407252545,67190936
1407252547,110105520
1407252549,82292624
1407252551,104877504
1407252553,60607656
1407252555,76702896
1407252557,120072728
1407252559,103954464
1407252561,59865408
1407252563,71278544
1407252565,60655944
1407252567,55224280
1407252569,101429416
1407252571,47356352
1407252573,53556088
1407252575,61977352
1407252577,92416944
1407252579,64860536
1407252581,96120320
1407252583,69592248
1407252585,73985352
1407252587,91174704
1407252589,52870320
1407252591,135138624
1407252593,115993496
1407252595,99621872
1407252597,71108208
1407252599,56589672
1407252601,68350648
1407252603,86558992
1407252605,56735760
1407252607,74276096
1407252609,54563920
1407252611,98038320
1407252613,93192008
1407252615,72828312
1407252617,96241912
1407252619,78070240
1407252621,56846376
1407252623,76893808
1407252625,61597208
1407252627,78123408
1407252629,91657616
1407252631,104016280
1407252633,59263744
1407252635,68596168
1407252637,73671864
1407252639,78031208
1407252641,83092520
1407252643,89161936
1407252645,98120920
1407252647,62249144
1407252649,63814344
1407252651,118732688
1407252653,109028808
1407252655,86766432
1407252657,140996752
1407252659,103482216
1407252661,68804496
1407252663,124259912
1407252665,91758472
1407252667,63042152
1407252669,117750928
1407252671,92390632
1407252673,70086688
1407252675,125746848
1407252677,105949400
1407252679,87255208
1407252681,72779264
1407252683,60364288
1407252685,115628032
1407252687,104882576
1407252689,97037552
1407252691,90906912
1407252693,86474448
1407252695,83358544
1407252697,82618680
1407252699,84008256
1407252701,86232976
1407252703,89364640
1407252705,95074544
1407252707,101877448
1407252709,65176584
1407252711,65872856
1407252713,120239952
1407252715,109643688
1407252717,86105928
1407252719,139954824
1407252721,99778752
1407252723,62540144
1407252725,117924920
1407252727,84756136
1407252729,139928400
1407252731,108587880
1407252733,81013208
1407252735,57025024
1407252737,112660216
1407252739,91365992
1407252741,71360936
1407252743,56948208
1407252745,112545944
1407252747,98670856
1407252749,86921992
1407252751,77062416
1407252753,70181656
1407252755,63847992
