t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407252385,7700,3.986778,0.122293,0.003724,0.195005,0.023370,0.203096,0.285356,0.407614,0.622068,3.934350,4312.119082,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252387,16202,1.656705,0.111906,0.002003,0.131240,0.141570,0.188442,0.267372,0.335532,0.483671,1.644591,4365.628255,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252389,24984,1.238988,0.101067,0.001756,0.113261,0.133409,0.177195,0.237274,0.287009,0.352308,1.237191,4392.674149,4364.800000,4364.800000,4364.800000,calls/second,milliseconds
1407252391,32550,1.238988,0.097223,0.001756,0.111455,0.122007,0.173604,0.231860,0.279623,0.348771,1.237191,4230.741715,4364.800000,4364.800000,4364.800000,calls/second,milliseconds
1407252393,41154,1.238988,0.091104,0.001756,0.104227,0.014617,0.167808,0.228047,0.269286,0.321060,1.237191,4249.401119,4364.800000,4364.800000,4364.800000,calls/second,milliseconds
1407252395,49350,1.238988,0.090497,0.001756,0.104118,0.014234,0.167139,0.220532,0.270484,0.327421,1.237191,4223.292523,4340.653413,4359.808379,4363.126874,calls/second,milliseconds
1407252397,58232,1.238988,0.091316,0.001756,0.103844,0.015790,0.167256,0.217962,0.274675,0.327421,1.237191,4254.539439,4340.653413,4359.808379,4363.126874,calls/second,milliseconds
1407252399,67902,1.238988,0.091191,0.001756,0.103354,0.019478,0.166894,0.214910,0.267472,0.324274,1.237191,4327.150135,4351.954862,4361.828029,4363.785449,calls/second,milliseconds
1407252401,77624,1.238988,0.091085,0.001756,0.103197,0.022051,0.166440,0.214910,0.264357,0.334599,1.237191,4389.454740,4351.954862,4361.828029,4363.785449,calls/second,milliseconds
1407252403,86134,1.238988,0.089074,0.001756,0.102408,0.012914,0.165336,0.212859,0.261472,0.323658,1.237191,4375.287301,4351.954862,4361.828029,4363.785449,calls/second,milliseconds
1407252405,95408,1.238988,0.089443,0.001756,0.101580,0.020338,0.164845,0.211105,0.257151,0.321719,1.237191,4399.721223,4373.002781,4366.015899,4365.178324,calls/second,milliseconds
1407252407,105232,1.238988,0.092604,0.001756,0.105762,0.125806,0.164983,0.215050,0.264357,0.324274,1.237191,4442.951842,4373.002781,4366.015899,4365.178324,calls/second,milliseconds
1407252409,115056,1.238988,0.090926,0.001756,0.105188,0.122225,0.163709,0.208752,0.262786,0.321719,1.237191,4478.791294,4407.175576,4373.195637,4367.589518,calls/second,milliseconds
1407252411,122710,1.238988,0.089044,0.001756,0.099726,0.020338,0.163429,0.208752,0.261472,0.317312,1.232637,4431.897884,4407.175576,4373.195637,4367.589518,calls/second,milliseconds
1407252413,131708,1.019989,0.087144,0.001756,0.092918,0.014184,0.163020,0.206277,0.248945,0.317312,1.004389,4437.205723,4407.175576,4373.195637,4367.589518,calls/second,milliseconds
1407252415,138908,1.019989,0.085417,0.001756,0.091263,0.009521,0.162292,0.202472,0.241510,0.292111,1.002295,4383.937132,4397.838717,4371.827145,4367.161877,calls/second,milliseconds
1407252417,145274,1.019989,0.086715,0.001756,0.091627,0.014666,0.162562,0.205280,0.242953,0.303622,1.002295,4313.058291,4397.838717,4371.827145,4367.161877,calls/second,milliseconds
1407252419,153498,1.019989,0.086560,0.001756,0.091917,0.013285,0.162068,0.205765,0.248945,0.309302,1.002295,4301.914374,4326.755106,4357.562561,4362.406421,calls/second,milliseconds
1407252421,163275,1.019989,0.087332,0.001756,0.091666,0.118830,0.161619,0.204875,0.248945,0.309302,1.002295,4332.907381,4326.755106,4357.562561,4362.406421,calls/second,milliseconds
1407252423,171706,1.019989,0.087807,0.001944,0.091692,0.121185,0.161829,0.204491,0.248945,0.309302,1.002295,4327.177841,4326.755106,4357.562561,4362.406421,calls/second,milliseconds
1407252425,180562,1.019989,0.086564,0.001867,0.091665,0.017591,0.161049,0.203356,0.249921,0.309302,1.002749,4331.547068,4337.088957,4359.189589,4362.924944,calls/second,milliseconds
1407252427,188574,0.425511,0.086286,0.001867,0.087771,0.027225,0.160980,0.204597,0.253133,0.313744,0.423853,4315.544634,4337.088957,4359.189589,4362.924944,calls/second,milliseconds
1407252429,197386,0.425511,0.086120,0.001867,0.087115,0.076101,0.160937,0.203356,0.247388,0.309302,0.423517,4320.851426,4331.245086,4357.616244,4362.376885,calls/second,milliseconds
1407252431,204626,0.425511,0.086921,0.001867,0.087089,0.121618,0.161374,0.203356,0.245434,0.309302,0.423517,4291.576351,4331.245086,4357.616244,4362.376885,calls/second,milliseconds
