t,value
1407252385,{1407252384=2833; total=2833}
1407252387,{1407252386=4301; 1407252385=5615; total=9916}
1407252389,{1407252387=4413; 1407252388=4667; total=9080}
1407252391,{1407252390=3683; 1407252389=4555; total=8238}
1407252393,{1407252391=3673; 1407252392=4351; total=8024}
1407252395,{1407252394=4384; 1407252393=3909; total=8293}
1407252397,{1407252396=4421; 1407252395=4376; total=8797}
1407252399,{1407252398=4621; 1407252397=4571; total=9192}
1407252401,{1407252399=4745; 1407252400=5027; total=9772}
1407252403,{1407252402=4111; 1407252401=4635; total=8746}
1407252405,{1407252403=4597; 1407252404=4397; total=8994}
1407252407,{1407252406=4643; 1407252405=5091; total=9734}
1407252409,{1407252408=4825; 1407252407=4969; total=9794}
1407252411,{1407252409=5015; 1407252410=4619; total=9634}
1407252413,{1407252412=4707; 1407252411=2683; total=7390}
1407252415,{1407252414=3467; 1407252413=4615; total=8082}
1407252417,{1407252416=2973; 1407252415=3459; total=6432}
1407252419,{1407252417=3339; 1407252418=4171; total=7510}
1407252421,{1407252419=4460; 1407252420=4994; total=9454}
1407252423,{1407252422=4803; 1407252421=4539; total=9342}
1407252425,{1407252424=4667; 1407252423=3635; total=8302}
1407252427,{1407252425=3581; 1407252426=4589; total=8170}
1407252429,{1407252428=4577; 1407252427=3961; total=8538}
1407252431,{1407252430=2669; 1407252429=4495; total=7164}
1407252433,{1407252432=4867; 1407252431=4383; total=9250}
1407252435,{1407252433=4191; 1407252434=4997; total=9188}
1407252437,{1407252436=4385; 1407252435=4115; total=8500}
1407252439,{1407252438=4965; 1407252437=4403; total=9368}
1407252441,{1407252440=4943; 1407252439=3617; total=8560}
1407252443,{1407252442=3517; 1407252441=3249; total=6766}
1407252445,{1407252443=4313; 1407252444=3971; total=8284}
1407252447,{1407252446=4483; 1407252445=4195; total=8678}
1407252449,{1407252447=2957; 1407252448=4801; total=7758}
1407252451,{1407252450=3901; 1407252449=3777; total=7678}
1407252453,{1407252452=4473; 1407252451=3255; total=7728}
1407252455,{1407252454=5233; 1407252453=4189; total=9422}
1407252457,{1407252456=4005; 1407252455=4181; total=8186}
1407252459,{1407252458=4754; 1407252457=4091; total=8845}
1407252461,{1407252459=5068; 1407252460=4825; total=9893}
1407252463,{1407252461=3035; 1407252462=3615; total=6650}
1407252465,{1407252464=3915; 1407252463=4365; total=8280}
1407252467,{1407252466=4203; 1407252465=4829; total=9032}
1407252469,{1407252467=4317; 1407252468=4663; total=8980}
1407252471,{1407252469=3993; 1407252470=4285; total=8278}
1407252473,{1407252471=3691; 1407252472=3707; total=7398}
1407252475,{1407252473=4565; 1407252474=4463; total=9028}
1407252477,{1407252476=4249; 1407252475=4479; total=8728}
1407252479,{1407252477=3369; 1407252478=2865; total=6234}
1407252481,{1407252479=4225; 1407252480=5063; total=9288}
1407252483,{1407252482=3705; 1407252481=4329; total=8034}
1407252485,{1407252484=3655; 1407252483=3625; total=7280}
1407252487,{1407252486=4197; 1407252485=4333; total=8530}
1407252489,{1407252487=4185; 1407252488=4183; total=8368}
1407252491,{1407252489=3227; 1407252490=4389; total=7616}
1407252493,{1407252491=4229; 1407252492=4753; total=8982}
1407252495,{1407252493=4527; 1407252494=4797; total=9324}
1407252497,{1407252496=4031; 1407252495=3073; total=7104}
1407252499,{1407252497=4129; 1407252498=4763; total=8892}
1407252501,{1407252499=4237; 1407252500=4085; total=8322}
1407252503,{1407252502=3829; 1407252501=4157; total=7986}
1407252505,{1407252503=3247; 1407252504=3807; total=7054}
1407252507,{1407252506=4329; 1407252505=4149; total=8478}
1407252509,{1407252507=3395; 1407252508=3509; total=6904}
1407252511,{1407252510=4167; 1407252509=3731; total=7898}
1407252513,{1407252512=3964; 1407252511=2867; total=6831}
1407252515,{1407252513=4190; 1407252514=3609; total=7799}
1407252517,{1407252516=4485; 1407252515=4547; total=9032}
1407252519,{1407252518=4765; 1407252517=4525; total=9290}
1407252521,{1407252520=4371; 1407252519=2949; total=7320}
1407252523,{1407252522=4183; 1407252521=4385; total=8568}
1407252525,{1407252523=4985; 1407252524=4331; total=9316}
1407252527,{1407252525=4791; 1407252526=5255; total=10046}
1407252529,{1407252527=2631; 1407252528=3617; total=6248}
1407252531,{1407252530=4527; 1407252529=4193; total=8720}
1407252533,{1407252532=4575; 1407252531=3409; total=7984}
1407252535,{1407252534=5107; 1407252533=4591; total=9698}
1407252537,{1407252535=4481; 1407252536=4751; total=9232}
1407252539,{1407252537=4059; 1407252538=4423; total=8482}
1407252541,{1407252539=4205; 1407252540=4963; total=9168}
1407252543,{1407252542=3513; 1407252541=3357; total=6870}
1407252545,{1407252543=4347; 1407252544=4989; total=9336}
1407252547,{1407252546=4351; 1407252545=4563; total=8914}
1407252549,{1407252547=2293; 1407252548=4529; total=6822}
1407252551,{1407252549=5189; 1407252550=2101; total=7290}
1407252553,{1407252551=1717; 1407252552=4187; total=5904}
1407252555,{1407252554=4601; 1407252553=4231; total=8832}
1407252557,{1407252555=4165; 1407252556=4485; total=8650}
1407252559,{1407252558=4277; 1407252557=4049; total=8326}
1407252561,{1407252559=3407; 1407252560=3835; total=7242}
1407252563,{1407252562=3573; 1407252561=3993; total=7566}
1407252565,{1407252564=4785; 1407252563=3733; total=8518}
1407252567,{1407252566=4739; 1407252565=3545; total=8284}
1407252569,{1407252568=4835; 1407252567=4503; total=9338}
1407252571,{1407252570=4873; 1407252569=4293; total=9166}
1407252573,{1407252572=4419; 1407252571=4631; total=9050}
1407252575,{1407252574=3001; 1407252573=4935; total=7936}
1407252577,{1407252575=4479; 1407252576=4585; total=9064}
1407252579,{1407252577=2477; 1407252578=4745; total=7222}
1407252581,{1407252579=4069; 1407252580=4027; total=8096}
1407252583,{1407252581=4803; 1407252582=3441; total=8244}
1407252585,{1407252583=2573; 1407252584=4447; total=7020}
1407252587,{1407252585=4537; 1407252586=5143; total=9680}
1407252589,{1407252588=4509; 1407252587=4547; total=9056}
1407252591,{1407252589=4225; 1407252590=4159; total=8384}
1407252593,{1407252591=4015; 1407252592=2487; total=6502}
1407252595,{1407252594=4793; 1407252593=2933; total=7726}
1407252597,{1407252596=3521; 1407252595=4107; total=7628}
1407252599,{1407252598=4359; 1407252597=4133; total=8492}
1407252601,{1407252600=4455; 1407252599=2681; total=7136}
1407252603,{1407252601=4797; 1407252602=4397; total=9194}
1407252605,{1407252604=3355; 1407252603=3999; total=7354}
1407252607,{1407252606=3855; 1407252605=3925; total=7780}
1407252609,{1407252607=4173; 1407252608=4929; total=9102}
1407252611,{1407252609=4095; 1407252610=4185; total=8280}
1407252613,{1407252611=2959; 1407252612=3419; total=6378}
1407252615,{1407252614=4307; 1407252613=4173; total=8480}
1407252617,{1407252615=4299; 1407252616=3517; total=7816}
1407252619,{1407252618=4075; 1407252617=2579; total=6654}
1407252621,{1407252619=4075; 1407252620=4233; total=8308}
1407252623,{1407252621=4291; 1407252622=4569; total=8860}
1407252625,{1407252624=4059; 1407252623=4251; total=8310}
1407252627,{total=0}
1407252629,{total=0}
1407252631,{total=0}
1407252633,{total=0}
1407252635,{total=0}
1407252637,{total=0}
1407252639,{total=0}
1407252641,{total=0}
1407252643,{total=0}
1407252645,{total=0}
1407252647,{total=0}
1407252649,{total=0}
1407252651,{total=0}
1407252653,{total=0}
1407252655,{total=0}
1407252657,{total=0}
1407252659,{total=0}
1407252661,{total=0}
1407252663,{total=0}
1407252665,{total=0}
1407252667,{total=0}
1407252669,{total=0}
1407252671,{total=0}
1407252673,{total=0}
1407252675,{total=0}
1407252677,{total=0}
1407252679,{total=0}
1407252681,{total=0}
1407252683,{total=0}
1407252685,{total=0}
1407252687,{total=0}
1407252689,{total=0}
1407252691,{total=0}
1407252693,{total=0}
1407252695,{total=0}
1407252697,{total=0}
1407252699,{total=0}
1407252701,{total=0}
1407252703,{total=0}
1407252705,{total=0}
1407252707,{total=0}
1407252709,{total=0}
1407252711,{total=0}
1407252713,{total=0}
1407252715,{total=0}
1407252717,{total=0}
1407252719,{total=0}
1407252721,{total=0}
1407252723,{total=0}
1407252725,{total=0}
1407252727,{total=0}
1407252729,{total=0}
1407252731,{total=0}
1407252733,{total=0}
1407252735,{total=0}
1407252737,{total=0}
1407252739,{total=0}
1407252741,{total=0}
1407252743,{total=0}
1407252745,{total=0}
1407252747,{total=0}
1407252749,{total=0}
1407252751,{total=0}
1407252753,{total=0}
1407252755,{total=0}
