t,count
1407252385,7684
1407252387,15924
1407252389,24984
1407252391,32438
1407252393,41128
1407252395,49270
1407252397,58232
1407252399,67818
1407252401,77624
1407252403,86134
1407252405,95408
1407252407,105144
1407252409,114964
1407252411,122688
1407252413,131624
1407252415,138908
1407252417,145274
1407252419,153446
1407252421,163196
1407252423,171706
1407252425,180562
1407252427,188390
1407252429,197310
1407252431,204626
1407252433,213898
1407252435,222776
1407252437,231286
1407252439,240342
1407252441,248784
1407252443,256062
1407252445,264338
1407252447,271730
1407252449,280922
1407252451,288496
1407252453,296264
1407252455,305678
1407252457,313668
1407252459,323192
1407252461,331712
1407252463,339442
1407252465,347812
1407252467,356726
1407252469,365254
1407252471,373504
1407252473,381418
1407252475,390070
1407252477,398712
1407252479,405330
1407252481,414746
1407252483,422796
1407252485,429942
1407252487,438390
1407252489,446296
1407252491,454348
1407252493,463432
1407252495,471368
1407252497,479268
1407252499,488622
1407252501,496811
1407252503,504148
1407252505,511852
1407252507,519538
1407252509,526944
1407252511,534096
1407252513,542548
1407252515,550190
1407252517,558880
1407252519,566974
1407252521,575398
1407252523,584524
1407252525,593800
1407252527,602504
1407252529,609826
1407252531,617394
1407252533,626926
1407252535,635934
1407252537,645126
1407252539,653826
1407252541,662808
1407252543,669946
1407252545,679476
1407252547,686806
1407252549,695360
1407252551,699866
1407252553,708086
1407252555,716782
1407252557,725290
1407252559,733626
1407252561,741008
1407252563,748230
1407252565,756522
1407252567,765618
1407252569,774700
1407252571,784040
1407252573,793372
1407252575,801018
1407252577,808766
1407252579,817252
1407252581,825742
1407252583,832032
1407252585,840820
1407252587,850188
1407252589,859410
1407252591,867578
1407252593,873026
1407252595,882002
1407252597,889646
1407252599,896602
1407252601,905672
1407252603,914446
1407252605,921798
1407252607,929400
1407252609,938564
1407252611,945716
1407252613,952964
1407252615,961722
1407252617,968578
1407252619,976098
1407252621,984678
1407252623,993630
1407252625,1000001
1407252627,1000001
1407252629,1000001
1407252631,1000001
1407252633,1000001
1407252635,1000001
1407252637,1000001
1407252639,1000001
1407252641,1000001
1407252643,1000001
1407252645,1000001
1407252647,1000001
1407252649,1000001
1407252651,1000001
1407252653,1000001
1407252655,1000001
1407252657,1000001
1407252659,1000001
1407252661,1000001
1407252663,1000001
1407252665,1000001
1407252667,1000001
1407252669,1000001
1407252671,1000001
1407252673,1000001
1407252675,1000001
1407252677,1000001
1407252679,1000001
1407252681,1000001
1407252683,1000001
1407252685,1000001
1407252687,1000001
1407252689,1000001
1407252691,1000001
1407252693,1000001
1407252695,1000001
1407252697,1000001
1407252699,1000001
1407252701,1000001
1407252703,1000001
1407252705,1000001
1407252707,1000001
1407252709,1000001
1407252711,1000001
1407252713,1000001
1407252715,1000001
1407252717,1000001
1407252719,1000001
1407252721,1000001
1407252723,1000001
1407252725,1000001
1407252727,1000001
1407252729,1000001
1407252731,1000001
1407252733,1000001
1407252735,1000001
1407252737,1000001
1407252739,1000001
1407252741,1000001
1407252743,1000001
1407252745,1000001
1407252747,1000001
1407252749,1000001
1407252751,1000001
1407252753,1000001
1407252755,1000001
