t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407252385,3854,0.649623,0.037574,0.000757,0.081513,0.002278,0.027132,0.241700,0.287928,0.373902,0.646530,1905.073511,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252387,8101,0.986626,0.025773,0.000707,0.070975,0.001886,0.012565,0.153342,0.268282,0.308158,0.976853,2051.857031,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252389,12492,0.478738,0.014836,0.000615,0.044911,0.001686,0.003587,0.072668,0.203723,0.263186,0.477206,2108.688679,2078.800000,2078.800000,2078.800000,calls/second,milliseconds
1407252391,16275,0.478738,0.012745,0.000473,0.041894,0.001645,0.003098,0.054859,0.195161,0.261949,0.477206,2052.310387,2078.800000,2078.800000,2078.800000,calls/second,milliseconds
1407252393,20579,0.425923,0.011584,0.000473,0.038386,0.001614,0.003056,0.049472,0.151321,0.259967,0.423381,2074.286113,2078.800000,2078.800000,2078.800000,calls/second,milliseconds
1407252395,24675,0.425923,0.009139,0.000472,0.031762,0.001554,0.002862,0.037889,0.071564,0.222880,0.421977,2069.773489,2077.440755,2078.519015,2078.705817,calls/second,milliseconds
1407252397,29116,0.425923,0.008488,0.000472,0.029551,0.001545,0.002930,0.034963,0.065309,0.189379,0.421977,2091.164450,2077.440755,2078.519015,2078.705817,calls/second,milliseconds
1407252399,33954,1.183455,0.009628,0.000472,0.047020,0.001540,0.002999,0.032685,0.067874,0.214808,1.161487,2131.662889,2088.759207,2080.840961,2079.483069,calls/second,milliseconds
1407252401,38812,1.183455,0.009216,0.000472,0.046185,0.001534,0.002971,0.030033,0.063159,0.189379,1.161487,2165.787380,2088.759207,2080.840961,2079.483069,calls/second,milliseconds
1407252403,43067,1.183455,0.009423,0.000472,0.046287,0.001559,0.003073,0.031661,0.065309,0.189379,1.161487,2161.699292,2088.759207,2080.840961,2079.483069,calls/second,milliseconds
1407252405,47704,1.183455,0.009105,0.000473,0.045563,0.001567,0.003073,0.030260,0.063159,0.156052,1.161487,2176.152726,2106.528600,2084.645155,2080.765708,calls/second,milliseconds
1407252407,52619,1.183455,0.009494,0.000473,0.050582,0.001556,0.003056,0.029896,0.061917,0.155151,1.171320,2199.660096,2106.528600,2084.645155,2080.765708,calls/second,milliseconds
1407252409,57528,1.183455,0.009250,0.000457,0.050204,0.001552,0.003032,0.029060,0.058134,0.105789,1.171320,2218.985634,2127.546637,2089.351739,2082.364785,calls/second,milliseconds
1407252411,61357,0.289855,0.006741,0.000457,0.021051,0.001534,0.002748,0.027457,0.052096,0.086606,0.289595,2197.280043,2127.546637,2089.351739,2082.364785,calls/second,milliseconds
1407252413,65855,0.289855,0.006554,0.000457,0.020251,0.001537,0.002764,0.027189,0.049579,0.070903,0.289595,2201.124947,2127.546637,2089.351739,2082.364785,calls/second,milliseconds
1407252415,69454,0.289855,0.006498,0.000457,0.020164,0.001537,0.002816,0.026425,0.047955,0.070903,0.289595,2175.752578,2131.148905,2090.727712,2082.864702,calls/second,milliseconds
1407252417,72637,0.289855,0.006418,0.000457,0.020058,0.001549,0.002805,0.026258,0.047641,0.069632,0.289595,2141.515812,2131.148905,2090.727712,2082.864702,calls/second,milliseconds
1407252419,76751,0.289855,0.006379,0.000457,0.019943,0.001549,0.002822,0.026258,0.046780,0.064972,0.289595,2136.872001,2098.754987,2084.699293,2080.887617,calls/second,milliseconds
1407252421,81639,0.289855,0.006313,0.000457,0.020039,0.001523,0.002732,0.025816,0.047641,0.065579,0.289595,2152.989056,2098.754987,2084.699293,2080.887617,calls/second,milliseconds
1407252423,85853,0.289855,0.006308,0.000457,0.020107,0.001500,0.002649,0.026023,0.049226,0.065579,0.289595,2150.791184,2098.754987,2084.699293,2080.887617,calls/second,milliseconds
1407252425,90281,0.289855,0.006163,0.000457,0.019956,0.001492,0.002657,0.025334,0.047373,0.065579,0.289595,2153.573027,2112.446982,2087.762044,2081.935329,calls/second,milliseconds
1407252427,94289,0.289855,0.006120,0.000457,0.019996,0.001484,0.002577,0.025762,0.047641,0.065579,0.289595,2146.197479,2112.446982,2087.762044,2081.935329,calls/second,milliseconds
1407252429,98695,0.289855,0.005683,0.000457,0.017562,0.001482,0.002577,0.025194,0.047373,0.058263,0.289595,2149.359270,2112.155386,2088.109771,2082.084163,calls/second,milliseconds
1407252431,102313,0.289855,0.005728,0.000457,0.017576,0.001487,0.002616,0.025194,0.047373,0.058263,0.289595,2135.215535,2112.155386,2088.109771,2082.084163,calls/second,milliseconds
1407252433,106987,0.289855,0.005934,0.000457,0.017864,0.001499,0.002728,0.025762,0.047641,0.062337,0.289595,2143.214356,2112.155386,2088.109771,2082.084163,calls/second,milliseconds
1407252435,111428,0.289855,0.005818,0.000457,0.016572,0.001503,0.002748,0.025548,0.047641,0.059522,0.289595,2146.165312,2111.871113,2088.448445,2082.231065,calls/second,milliseconds
1407252437,115681,0.289855,0.006077,0.000457,0.016795,0.001508,0.002805,0.026384,0.048556,0.062398,0.289595,2145.280276,2111.871113,2088.448445,2082.231065,calls/second,milliseconds
1407252439,120171,0.289855,0.005865,0.000457,0.016451,0.001503,0.002728,0.025548,0.047373,0.058263,0.289595,2149.076995,2121.811902,2090.890563,2083.084076,calls/second,milliseconds
1407252441,124409,0.289855,0.005834,0.000457,0.016455,0.001511,0.002683,0.025762,0.047373,0.058263,0.289595,2147.990772,2121.811902,2090.890563,2083.084076,calls/second,milliseconds
1407252443,128031,0.289855,0.005751,0.000457,0.016412,0.001500,0.002660,0.025254,0.047373,0.058263,0.289595,2136.744768,2121.811902,2090.890563,2083.084076,calls/second,milliseconds
1407252445,132205,0.289855,0.005665,0.000457,0.016374,0.001501,0.002625,0.024717,0.047373,0.058928,0.289595,2135.126582,2112.168306,2089.408109,2082.630426,calls/second,milliseconds
1407252447,135905,0.289855,0.005664,0.000457,0.016375,0.001521,0.002660,0.023913,0.047641,0.058928,0.289595,2126.225406,2112.168306,2089.408109,2082.630426,calls/second,milliseconds
1407252449,140488,0.289855,0.005410,0.000457,0.013986,0.001516,0.002644,0.023913,0.047373,0.058263,0.284663,2131.239858,2104.015371,2088.098914,2082.229150,calls/second,milliseconds
1407252451,144557,0.289855,0.005565,0.000457,0.014240,0.001523,0.002670,0.024717,0.049226,0.058928,0.284663,2116.239059,2104.015371,2088.098914,2082.229150,calls/second,milliseconds
