t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407252385,2,0.164447,0.118560,0.072673,0.064894,0.118560,0.164447,0.164447,0.164447,0.164447,0.164447,0.987749,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252387,2,0.164447,0.118560,0.072673,0.064894,0.118560,0.164447,0.164447,0.164447,0.164447,0.164447,0.506343,0.000000,0.000000,0.000000,calls/second,milliseconds
1407252389,3,0.164447,0.116880,0.072673,0.045979,0.113519,0.164447,0.164447,0.164447,0.164447,0.164447,0.506266,0.600000,0.600000,0.600000,calls/second,milliseconds
1407252391,4,0.164447,0.106857,0.072673,0.042559,0.095153,0.151715,0.164447,0.164447,0.164447,0.164447,0.504304,0.600000,0.600000,0.600000,calls/second,milliseconds
1407252393,5,0.164447,0.095550,0.050326,0.044694,0.076787,0.138983,0.164447,0.164447,0.164447,0.164447,0.503898,0.600000,0.600000,0.600000,calls/second,milliseconds
1407252395,6,0.164447,0.088104,0.050326,0.043941,0.074730,0.126251,0.164447,0.164447,0.164447,0.164447,0.503219,0.584009,0.596694,0.598892,calls/second,milliseconds
1407252397,7,0.164447,0.083031,0.050326,0.042298,0.072673,0.113519,0.164447,0.164447,0.164447,0.164447,0.502696,0.584009,0.596694,0.598892,calls/second,milliseconds
1407252399,8,0.164447,0.077516,0.038912,0.042153,0.062634,0.104336,0.164447,0.164447,0.164447,0.164447,0.502197,0.585287,0.596749,0.598898,calls/second,milliseconds
1407252401,9,0.164447,0.073095,0.037730,0.041601,0.052594,0.095153,0.164447,0.164447,0.164447,0.164447,0.502174,0.585287,0.596749,0.598898,calls/second,milliseconds
1407252403,10,0.164447,0.069792,0.037730,0.040589,0.051732,0.085970,0.164447,0.164447,0.164447,0.164447,0.501900,0.585287,0.596749,0.598898,calls/second,milliseconds
1407252405,11,0.164447,0.067140,0.037730,0.039498,0.050870,0.076787,0.164447,0.164447,0.164447,0.164447,0.501761,0.570473,0.593497,0.597796,calls/second,milliseconds
1407252407,12,0.164447,0.064865,0.037730,0.038475,0.050598,0.075758,0.164447,0.164447,0.164447,0.164447,0.501610,0.570473,0.593497,0.597796,calls/second,milliseconds
1407252409,13,0.164447,0.062948,0.037730,0.037480,0.050326,0.074730,0.164447,0.164447,0.164447,0.164447,0.501410,0.572834,0.593604,0.597808,calls/second,milliseconds
1407252411,14,0.164447,0.061246,0.037730,0.036568,0.045475,0.073702,0.164447,0.164447,0.164447,0.164447,0.501334,0.572834,0.593604,0.597808,calls/second,milliseconds
1407252413,15,0.164447,0.059669,0.037583,0.035764,0.040623,0.072673,0.164447,0.164447,0.164447,0.164447,0.501333,0.572834,0.593604,0.597808,calls/second,milliseconds
1407252415,16,0.164447,0.059260,0.037583,0.034590,0.045475,0.067787,0.164447,0.164447,0.164447,0.164447,0.501202,0.559015,0.590404,0.596713,calls/second,milliseconds
1407252417,17,0.164447,0.058041,0.037583,0.033867,0.040623,0.062902,0.164447,0.164447,0.164447,0.164447,0.501180,0.559015,0.590404,0.596713,calls/second,milliseconds
1407252419,18,0.164447,0.056974,0.037583,0.033166,0.040341,0.058016,0.164447,0.164447,0.164447,0.164447,0.501129,0.562292,0.590563,0.596731,calls/second,milliseconds
1407252421,19,0.164447,0.056037,0.037583,0.032489,0.040058,0.053130,0.164447,0.164447,0.164447,0.164447,0.501051,0.562292,0.590563,0.596731,calls/second,milliseconds
1407252423,20,0.164447,0.056474,0.037583,0.031683,0.040341,0.061874,0.161901,0.164447,0.164447,0.164447,0.501023,0.562292,0.590563,0.596731,calls/second,milliseconds
1407252425,21,0.164447,0.055986,0.037583,0.030962,0.040623,0.058959,0.159354,0.164447,0.164447,0.164447,0.500919,0.549315,0.587413,0.595641,calls/second,milliseconds
1407252427,22,0.164447,0.055484,0.037583,0.030307,0.042779,0.056045,0.156808,0.164447,0.164447,0.164447,0.500746,0.549315,0.587413,0.595641,calls/second,milliseconds
1407252429,23,0.164447,0.054786,0.037583,0.029799,0.040623,0.053130,0.154261,0.164447,0.164447,0.164447,0.500874,0.553368,0.587621,0.595665,calls/second,milliseconds
1407252431,24,0.164447,0.055551,0.037583,0.029385,0.042779,0.061874,0.151715,0.164447,0.164447,0.164447,0.500852,0.553368,0.587621,0.595665,calls/second,milliseconds
1407252433,25,0.164447,0.055591,0.037583,0.028767,0.044935,0.060670,0.149169,0.164447,0.164447,0.164447,0.500798,0.553368,0.587621,0.595665,calls/second,milliseconds
1407252435,26,0.164447,0.055257,0.037583,0.028237,0.045577,0.058611,0.146622,0.164447,0.164447,0.164447,0.500761,0.541105,0.584520,0.594581,calls/second,milliseconds
1407252437,27,0.164447,0.055837,0.037583,0.027853,0.046219,0.064788,0.144076,0.164447,0.164447,0.164447,0.500696,0.541105,0.584520,0.594581,calls/second,milliseconds
1407252439,28,0.164447,0.055376,0.037583,0.027441,0.045577,0.062729,0.141529,0.164447,0.164447,0.164447,0.500725,0.545814,0.584776,0.594611,calls/second,milliseconds
1407252441,29,0.164447,0.054931,0.037583,0.027053,0.044935,0.060670,0.138983,0.164447,0.164447,0.164447,0.500690,0.545814,0.584776,0.594611,calls/second,milliseconds
1407252443,30,0.164447,0.055553,0.037583,0.026800,0.045577,0.066325,0.136437,0.164447,0.164447,0.164447,0.500665,0.545814,0.584776,0.594611,calls/second,milliseconds
1407252445,31,0.164447,0.055040,0.037583,0.026503,0.044935,0.064788,0.133890,0.164447,0.164447,0.164447,0.500643,0.534156,0.581722,0.593533,calls/second,milliseconds
1407252447,32,0.164447,0.055589,0.037583,0.026257,0.045577,0.069398,0.131344,0.164447,0.164447,0.164447,0.500627,0.534156,0.581722,0.593533,calls/second,milliseconds
1407252449,33,0.164447,0.056481,0.037583,0.026346,0.046219,0.071770,0.128797,0.164447,0.164447,0.164447,0.500608,0.539420,0.582024,0.593569,calls/second,milliseconds
1407252451,35,0.164447,0.055735,0.037583,0.025745,0.044935,0.070934,0.123705,0.164447,0.164447,0.164447,0.512371,0.539420,0.582024,0.593569,calls/second,milliseconds
1407252453,35,0.164447,0.055735,0.037583,0.025745,0.044935,0.070934,0.123705,0.164447,0.164447,0.164447,0.500543,0.539420,0.582024,0.593569,calls/second,milliseconds
1407252455,36,0.164447,0.055476,0.037583,0.025423,0.045577,0.069398,0.121158,0.164447,0.164447,0.164447,0.500570,0.528273,0.579016,0.592496,calls/second,milliseconds
1407252457,37,0.164447,0.055064,0.037583,0.025192,0.044935,0.067861,0.118612,0.164447,0.164447,0.164447,0.500548,0.528273,0.579016,0.592496,calls/second,milliseconds
1407252459,38,0.164447,0.054645,0.037583,0.024983,0.044740,0.066325,0.116065,0.164447,0.164447,0.164447,0.500530,0.534008,0.579362,0.592538,calls/second,milliseconds
1407252461,39,0.164447,0.055140,0.037583,0.024845,0.044935,0.070934,0.113519,0.164447,0.164447,0.164447,0.500517,0.534008,0.579362,0.592538,calls/second,milliseconds
1407252463,40,0.164447,0.054770,0.037583,0.024636,0.044740,0.069398,0.112094,0.164447,0.164447,0.164447,0.500501,0.534008,0.579362,0.592538,calls/second,milliseconds
1407252465,41,0.164447,0.054569,0.037583,0.024360,0.044935,0.067861,0.110670,0.164447,0.164447,0.164447,0.500489,0.523293,0.576398,0.591471,calls/second,milliseconds
1407252467,42,0.164447,0.054289,0.037583,0.024130,0.044740,0.066325,0.109245,0.164447,0.164447,0.164447,0.500480,0.523293,0.576398,0.591471,calls/second,milliseconds
1407252469,43,0.164447,0.053928,0.037583,0.023958,0.044546,0.064788,0.107821,0.164447,0.164447,0.164447,0.500381,0.529426,0.576788,0.591518,calls/second,milliseconds
1407252471,44,0.164447,0.053695,0.037583,0.023728,0.044120,0.062729,0.106396,0.164447,0.164447,0.164447,0.500462,0.529426,0.576788,0.591518,calls/second,milliseconds
1407252473,45,0.164447,0.053393,0.037583,0.023544,0.043694,0.060670,0.104972,0.164447,0.164447,0.164447,0.500389,0.529426,0.576788,0.591518,calls/second,milliseconds
1407252475,46,0.164447,0.053100,0.037583,0.023366,0.043303,0.058611,0.103547,0.164447,0.164447,0.164447,0.500435,0.519078,0.573866,0.590457,calls/second,milliseconds
1407252477,47,0.164447,0.052970,0.037583,0.023128,0.043694,0.056552,0.102123,0.164447,0.164447,0.164447,0.500434,0.519078,0.573866,0.590457,calls/second,milliseconds
1407252479,48,0.164447,0.052658,0.037583,0.022982,0.043303,0.055696,0.100698,0.164447,0.164447,0.164447,0.500424,0.525548,0.574298,0.590510,calls/second,milliseconds
1407252481,49,0.164447,0.052526,0.037583,0.022761,0.043694,0.054841,0.099274,0.164447,0.164447,0.164447,0.500418,0.525548,0.574298,0.590510,calls/second,milliseconds
1407252483,50,0.164447,0.052277,0.037583,0.022596,0.043303,0.053986,0.097849,0.163428,0.164447,0.164447,0.500401,0.525548,0.574298,0.590510,calls/second,milliseconds
1407252485,51,0.164447,0.053152,0.037583,0.023226,0.043694,0.056552,0.103564,0.162410,0.164447,0.164447,0.500406,0.515510,0.571417,0.589455,calls/second,milliseconds
1407252487,52,0.164447,0.052810,0.035343,0.023129,0.043303,0.055696,0.102734,0.161391,0.164447,0.164447,0.500386,0.515510,0.571417,0.589455,calls/second,milliseconds
1407252489,53,0.164447,0.052703,0.035343,0.022919,0.043694,0.054841,0.101905,0.160373,0.164447,0.164447,0.500377,0.522265,0.571889,0.589513,calls/second,milliseconds
1407252491,54,0.164447,0.053018,0.035343,0.022819,0.044120,0.058611,0.101075,0.159354,0.164447,0.164447,0.500380,0.522265,0.571889,0.589513,calls/second,milliseconds
1407252493,55,0.164447,0.052753,0.035343,0.022692,0.043694,0.056552,0.100245,0.158336,0.164447,0.164447,0.500355,0.522265,0.571889,0.589513,calls/second,milliseconds
1407252495,56,0.164447,0.052742,0.035343,0.022485,0.044120,0.055696,0.099416,0.157317,0.164447,0.164447,0.500369,0.512489,0.569048,0.588463,calls/second,milliseconds
1407252497,57,0.164447,0.052615,0.035343,0.022304,0.044546,0.054841,0.098586,0.156299,0.164447,0.164447,0.500357,0.512489,0.569048,0.588463,calls/second,milliseconds
1407252499,58,0.164447,0.052633,0.035343,0.022107,0.044740,0.054372,0.097757,0.155280,0.164447,0.164447,0.500323,0.519486,0.569560,0.588527,calls/second,milliseconds
1407252501,59,0.164447,0.052675,0.035343,0.021918,0.044935,0.055090,0.096927,0.154261,0.164447,0.164447,0.500345,0.519486,0.569560,0.588527,calls/second,milliseconds
1407252503,60,0.164447,0.052884,0.035343,0.021792,0.045238,0.056187,0.096332,0.153243,0.164447,0.164447,0.500336,0.519486,0.569560,0.588527,calls/second,milliseconds
1407252505,61,0.164447,0.052867,0.035343,0.021610,0.045540,0.055821,0.095737,0.152224,0.164447,0.164447,0.500338,0.509933,0.566757,0.587483,calls/second,milliseconds
1407252507,62,0.164447,0.052646,0.035343,0.021503,0.045238,0.055456,0.095142,0.151206,0.164447,0.164447,0.500322,0.509933,0.566757,0.587483,calls/second,milliseconds
1407252509,63,0.164447,0.052536,0.035343,0.021347,0.045540,0.055090,0.094547,0.150187,0.164447,0.164447,0.500324,0.517134,0.567307,0.587552,calls/second,milliseconds
1407252511,64,0.164447,0.052314,0.035343,0.021251,0.045238,0.054729,0.093952,0.149169,0.164447,0.164447,0.500318,0.517134,0.567307,0.587552,calls/second,milliseconds
1407252513,65,0.164447,0.052126,0.035343,0.021139,0.044935,0.054368,0.093357,0.148150,0.164447,0.164447,0.500303,0.517134,0.567307,0.587552,calls/second,milliseconds
1407252515,66,0.164447,0.052076,0.035343,0.020980,0.045238,0.054006,0.092762,0.147131,0.164447,0.164447,0.500308,0.507769,0.564541,0.586513,calls/second,milliseconds
1407252517,67,0.164447,0.051890,0.035343,0.020876,0.044935,0.053645,0.092167,0.146113,0.164447,0.164447,0.500303,0.507769,0.564541,0.586513,calls/second,milliseconds
1407252519,68,0.164447,0.051817,0.035343,0.020728,0.045238,0.053516,0.091572,0.145094,0.164447,0.164447,0.500243,0.515143,0.565127,0.586588,calls/second,milliseconds
1407252521,69,0.164447,0.052132,0.035343,0.020741,0.045540,0.054368,0.090978,0.144076,0.164447,0.164447,0.500290,0.515143,0.565127,0.586588,calls/second,milliseconds
1407252523,70,0.164447,0.051956,0.035343,0.020643,0.045238,0.054006,0.090383,0.143057,0.164447,0.164447,0.500292,0.515143,0.565127,0.586588,calls/second,milliseconds
