t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,values
1407252385,1,64,64.000000,64,0.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64|
1407252387,2,64,64.000000,64,0.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64.000000,64|64|
1407252389,3,2048,725.333333,64,1145.462934,64.000000,2048.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2048|
1407252391,4,2048,1048.000000,64,1136.300430,1040.000000,2040.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2016|2048|
1407252393,5,2048,1243.200000,64,1076.521807,2016.000000,2036.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2016|2024|2048|
1407252395,6,2048,1373.333333,64,1014.262031,2020.000000,2030.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2016|2024|2024|2048|
1407252397,7,2048,1468.571429,64,959.564981,2024.000000,2040.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2016|2024|2024|2040|2048|
1407252399,8,2048,1537.000000,64,909.223216,2020.000000,2036.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2016|2016|2024|2024|2040|2048|
1407252401,9,2048,1589.333333,64,864.869932,2016.000000,2032.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2008|2016|2016|2024|2024|2040|2048|
1407252403,10,2048,1632.800000,64,826.911362,2020.000000,2028.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2008|2016|2016|2024|2024|2024|2040|2048|
1407252405,11,2048,1669.090909,64,793.657036,2024.000000,2032.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2008|2016|2016|2024|2024|2024|2032|2040|2048|
1407252407,12,2048,1698.666667,64,763.626436,2024.000000,2030.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2008|2016|2016|2024|2024|2024|2024|2032|2040|2048|
1407252409,13,2048,1724.307692,64,736.938643,2024.000000,2032.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2008|2016|2016|2024|2024|2024|2024|2032|2032|2040|2048|
1407252411,14,2048,1745.714286,64,712.543810,2024.000000,2032.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2008|2016|2016|2024|2024|2024|2024|2024|2032|2032|2040|2048|
1407252413,15,2048,1763.200000,64,689.956023,2024.000000,2032.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2008|2008|2016|2016|2024|2024|2024|2024|2024|2032|2032|2040|2048|
1407252415,16,2048,1778.500000,64,669.364475,2024.000000,2030.000000,2048.000000,2048.000000,2048.000000,2048.000000,64|64|2008|2008|2008|2016|2016|2024|2024|2024|2024|2024|2032|2032|2040|2048|
