timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407252385,1,0,0.030475,402,0.075147,0.033233,0.056841,905
1407252387,2,904,0.027347,904,0.050562,0.032612,0.053322,1638
1407252389,3,2541,0.019749,2541,0.155779,0.027019,0.049799,2402
1407252391,4,4942,0.014373,4942,0.152418,0.025582,0.043411,3007
1407252393,5,7948,0.007381,7948,0.007328,0.025232,0.029592,3705
1407252395,6,11652,0.006447,11652,0.006762,0.024655,0.027951,4392
1407252397,7,16043,0.004884,16043,0.006682,0.023025,0.026982,4302
1407252399,8,20344,0.003920,20344,0.006071,0.021785,0.026417,4390
1407252401,9,24733,0.003273,24733,0.005621,0.011202,0.025949,4452
1407252403,10,29184,0.002807,29184,0.005284,0.008037,0.025515,4524
1407252405,11,33707,0.002553,33707,0.005101,0.007465,0.025459,4511
1407252407,12,38217,0.002280,38217,0.004878,0.006559,0.025459,4692
1407252409,13,42908,0.002122,42908,0.004727,0.005549,0.025402,4786
1407252411,14,47693,0.001986,47693,0.004603,0.004974,0.025333,4739
1407252413,15,52431,0.001765,52431,0.004231,0.004589,0.024977,4692
1407252415,16,57122,0.001575,57122,0.003861,0.004493,0.022954,4554
1407252417,17,61675,0.001485,61675,0.003758,0.004245,0.022827,4352
1407252419,18,66026,0.001404,66026,0.003611,0.004160,0.022290,4140
1407252421,19,70165,0.001317,70165,0.003219,0.004050,0.019184,4194
1407252423,20,74358,0.001300,74358,0.003208,0.004012,0.019184,4199
1407252425,21,78556,0.001222,78556,0.003012,0.003944,0.008396,4104
1407252427,22,82659,0.001206,82659,0.003003,0.003897,0.008396,4174
1407252429,23,86832,0.001175,86832,0.002990,0.003710,0.008396,4384
1407252431,24,91215,0.001138,91215,0.002950,0.003504,0.007775,4189
1407252433,25,95403,0.001133,95403,0.002950,0.003453,0.007775,4181
1407252435,26,99583,0.001079,99583,0.002518,0.003342,0.007484,4308
1407252437,27,103890,0.001078,103890,0.002518,0.003342,0.007484,4303
1407252439,28,108192,0.001039,108192,0.002415,0.003189,0.006665,4328
1407252441,29,112519,0.001032,112519,0.002409,0.003049,0.006665,4276
1407252443,30,116794,0.001023,116794,0.002407,0.002924,0.006665,4392
1407252445,31,121185,0.001013,121185,0.002405,0.002668,0.006665,4327
1407252447,32,125511,0.001002,125511,0.002401,0.002337,0.006665,4168
1407252449,33,129678,0.000972,129678,0.002377,0.001966,0.005751,4241
1407252451,34,133918,0.000950,138114,0.002281,0.001820,0.005411,4197
1407252453,35,138114,0.000950,138114,0.002281,0.001820,0.005411,4165
1407252455,36,142278,0.000946,142278,0.002279,0.001687,0.005411,4395
1407252457,37,146672,0.000930,146672,0.002271,0.001477,0.005249,4376
1407252459,38,151047,0.000929,151047,0.002271,0.001477,0.005249,4514
1407252461,39,155560,0.000904,155560,0.002163,0.001462,0.004961,4537
1407252463,40,160096,0.000821,160096,0.001246,0.001370,0.004417,4618
1407252465,41,164713,0.000813,164713,0.001238,0.001316,0.004417,4586
1407252467,42,169298,0.000803,169298,0.001229,0.001278,0.004415,4524
1407252469,43,173821,0.000798,173821,0.001226,0.001269,0.004415,4510
1407252471,44,178330,0.000797,178330,0.001219,0.001274,0.004159,4404
1407252473,45,182733,0.000795,182733,0.001216,0.001268,0.004159,4237
1407252475,46,186969,0.000796,186969,0.001216,0.001268,0.004159,4353
1407252477,47,191321,0.000796,191321,0.001216,0.001268,0.004159,4395
1407252479,48,195715,0.000799,195715,0.001218,0.001269,0.004159,4252
1407252481,49,199966,0.000797,199966,0.001216,0.001268,0.004159,4375
1407252483,50,204340,0.000791,204340,0.001203,0.001265,0.004030,4310
1407252485,51,208649,0.000800,208649,0.001237,0.001268,0.004159,4234
1407252487,52,212882,0.000798,212882,0.001236,0.001261,0.004159,4148
1407252489,53,217029,0.000797,217029,0.001236,0.001261,0.004159,4081
1407252491,54,221109,0.000793,221109,0.001233,0.001254,0.004159,4213
1407252493,55,225321,0.000793,225321,0.001233,0.001261,0.004159,4158
1407252495,56,229478,0.000793,229478,0.001233,0.001261,0.004159,4262
1407252497,57,233739,0.000790,233739,0.001230,0.001250,0.004159,4429
1407252499,58,238167,0.000789,238167,0.001230,0.001250,0.004159,4444
1407252501,59,242610,0.000787,242610,0.001230,0.001244,0.004159,4499
1407252503,60,247108,0.000785,247108,0.001230,0.001244,0.004159,4441
1407252505,61,251548,0.000784,251548,0.001230,0.001250,0.004159,4352
1407252507,62,255899,0.000777,255899,0.001215,0.001244,0.004030,4334
1407252509,63,260232,0.000781,260232,0.001216,0.001250,0.004030,4308
1407252511,64,264539,0.000779,264539,0.001212,0.001244,0.003966,4166
1407252513,65,268704,0.000769,268704,0.001173,0.001230,0.003929,4196
1407252515,66,272899,0.000757,272899,0.001152,0.001220,0.003718,4138
1407252517,67,277036,0.000753,277036,0.001152,0.001209,0.003718,4196
1407252519,68,281231,0.000727,281231,0.000854,0.001209,0.003354,4162
1407252521,69,285392,0.000730,285392,0.000855,0.001212,0.003354,4186
1407252523,70,289577,0.000725,289577,0.000847,0.001212,0.003297,4395
1407252525,71,293971,0.000732,293971,0.000847,0.001229,0.003297,4464
1407252527,72,298434,0.000732,298434,0.000847,0.001229,0.003297,4480
1407252529,73,302913,0.000731,302913,0.000847,0.001226,0.003297,4305
1407252531,74,307217,0.000723,307217,0.000830,0.001222,0.001793,4242
1407252533,75,311458,0.000724,311458,0.000829,0.001212,0.001793,4173
1407252535,76,315630,0.000724,315630,0.000829,0.001209,0.001793,4015
1407252537,77,319644,0.000733,319644,0.000883,0.001216,0.002158,3930
1407252539,78,323573,0.000741,323573,0.000921,0.001222,0.002944,3998
1407252541,79,327570,0.000738,327570,0.000921,0.001216,0.002944,4158
1407252543,80,331727,0.000742,331727,0.000921,0.001229,0.002944,4055
1407252545,81,335781,0.000741,335781,0.000922,0.001229,0.002944,4143
1407252547,82,339923,0.000736,339923,0.000917,0.001221,0.002158,4034
1407252549,83,343956,0.000738,343956,0.000918,0.001224,0.002223,4065
1407252551,84,348020,0.000737,348020,0.000918,0.001221,0.002223,3761
1407252553,85,351780,0.000738,351780,0.000917,0.001213,0.002223,3625
1407252555,86,355404,0.000719,355404,0.000526,0.001229,0.001966,3799
1407252557,87,359202,0.000727,359202,0.000586,0.001225,0.002223,3736
1407252559,88,362937,0.000728,362937,0.000587,0.001231,0.002223,3804
1407252561,89,366740,0.000718,366740,0.000525,0.001229,0.001966,3692
1407252563,90,370431,0.000717,370431,0.000519,0.001229,0.001793,3967
1407252565,91,374397,0.000718,374397,0.000520,0.001231,0.001799,4013
1407252567,92,378409,0.000720,378409,0.000521,0.001234,0.001799,4012
1407252569,93,382420,0.000717,382420,0.000514,0.001233,0.001776,4013
1407252571,94,386432,0.000725,386432,0.000577,0.001234,0.001799,4086
1407252573,95,390517,0.000721,390517,0.000576,0.001231,0.001776,4348
1407252575,96,394864,0.000721,394864,0.000575,0.001229,0.001776,4335
1407252577,97,399198,0.000726,399198,0.000580,0.001234,0.001959,4256
1407252579,98,403453,0.000725,403453,0.000580,0.001233,0.001959,4292
1407252581,99,407744,0.000724,407744,0.000578,0.001233,0.001776,4365
1407252583,100,412108,0.000723,412108,0.000578,0.001231,0.001776,4086
1407252585,101,416193,0.000724,416193,0.000578,0.001233,0.001776,3930
1407252587,102,420122,0.000725,420122,0.000578,0.001233,0.001776,4087
1407252589,103,424208,0.000724,424208,0.000577,0.001229,0.001776,4295
1407252591,104,428502,0.000725,428502,0.000577,0.001229,0.001776,4261
1407252593,105,432762,0.000726,432762,0.000577,0.001233,0.001776,3996
1407252595,106,436757,0.000725,436757,0.000577,0.001233,0.001776,4213
