timestamp,operator,process_time
1407252385,source-0,0.622068
1407252387,source-0,0.483671
1407252389,source-0,0.352308
1407252391,source-0,0.348771
1407252393,source-0,0.321060
1407252395,source-0,0.327421
1407252397,source-0,0.327421
1407252399,source-0,0.324274
1407252401,source-0,0.334599
1407252403,source-0,0.323658
1407252405,source-0,0.321719
1407252407,source-0,0.324274
1407252409,source-0,0.321719
1407252411,source-0,0.317312
1407252413,source-0,0.317312
1407252415,source-0,0.292111
1407252417,source-0,0.303622
1407252419,source-0,0.309302
1407252421,source-0,0.309302
1407252423,source-0,0.309302
1407252425,source-0,0.309302
1407252427,source-0,0.313744
1407252429,source-0,0.309302
1407252431,source-0,0.309302
1407252433,source-0,0.305666
1407252435,source-0,0.313698
1407252437,source-0,0.313698
1407252439,source-0,0.307063
1407252441,source-0,0.307063
1407252443,source-0,0.296014
1407252445,source-0,0.296014
1407252447,source-0,0.279215
1407252449,source-0,0.296014
1407252451,source-0,0.296014
1407252453,source-0,0.307063
1407252455,source-0,0.296014
1407252457,source-0,0.311434
1407252459,source-0,0.311434
1407252461,source-0,0.296014
1407252463,source-0,0.307063
1407252465,source-0,0.307063
1407252467,source-0,0.307063
1407252469,source-0,0.311434
1407252471,source-0,0.311434
1407252473,source-0,0.296014
1407252475,source-0,0.296014
1407252477,source-0,0.296014
1407252479,source-0,0.282794
1407252481,source-0,0.282794
1407252483,source-0,0.296014
1407252485,source-0,0.282794
1407252487,source-0,0.298906
1407252489,source-0,0.314090
1407252491,source-0,0.314171
1407252493,source-0,0.327809
1407252495,source-0,0.327809
1407252497,source-0,0.328823
1407252499,source-0,0.328823
1407252501,source-0,0.327809
1407252503,source-0,0.331058
1407252505,source-0,0.331058
1407252507,source-0,0.327809
1407252509,source-0,0.331058
1407252511,source-0,0.331058
1407252513,source-0,0.331058
1407252515,source-0,0.327809
1407252517,source-0,0.331058
1407252519,source-0,0.331557
1407252521,source-0,0.331557
1407252523,source-0,0.331557
1407252525,source-0,0.330885
1407252527,source-0,0.330885
1407252529,source-0,0.330885
1407252531,source-0,0.331557
1407252533,source-0,0.331557
1407252535,source-0,0.331557
1407252537,source-0,0.331557
1407252539,source-0,0.331557
1407252541,source-0,0.331557
1407252543,source-0,0.329029
1407252545,source-0,0.329029
1407252547,source-0,0.329029
1407252549,source-0,0.322136
1407252551,source-0,0.329029
1407252553,source-0,0.322136
1407252555,source-0,0.329029
1407252557,source-0,0.329029
1407252559,source-0,0.329195
1407252561,source-0,0.329195
1407252563,source-0,0.329195
1407252565,source-0,0.329195
1407252567,source-0,0.333198
1407252569,source-0,0.331557
1407252571,source-0,0.331557
1407252573,source-0,0.330565
1407252575,source-0,0.330565
1407252577,source-0,0.330565
1407252579,source-0,0.330565
1407252581,source-0,0.330565
1407252583,source-0,0.324425
1407252585,source-0,0.323130
1407252587,source-0,0.323130
1407252589,source-0,0.323130
1407252591,source-0,0.323130
1407252593,source-0,0.327431
1407252595,source-0,0.330565
1407252597,source-0,0.327431
1407252599,source-0,0.327431
1407252601,source-0,0.323130
1407252603,source-0,0.323130
1407252605,source-0,0.323130
1407252607,source-0,0.323130
1407252609,source-0,0.319127
1407252611,source-0,0.319270
1407252613,source-0,0.323130
1407252615,source-0,0.323130
1407252617,source-0,0.318913
1407252619,source-0,0.318913
1407252621,source-0,0.319270
1407252623,source-0,0.319270
1407252625,source-0,0.319270
1407252627,source-0,0.319270
1407252629,source-0,0.319270
1407252631,source-0,0.319270
1407252633,source-0,0.319270
1407252635,source-0,0.319270
1407252637,source-0,0.319270
1407252639,source-0,0.319270
1407252641,source-0,0.319270
1407252643,source-0,0.319270
1407252645,source-0,0.319270
1407252647,source-0,0.319270
