timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407252384,,,,,,,,2833
1407252385,3842,7684,0.122293,7700,0.195005,0.285356,0.622068,5615
1407252386,,,,,,,,4301
1407252387,7961,15924,0.111906,16202,0.131240,0.267372,0.483671,4413
1407252388,,,,,,,,4667
1407252389,12492,24984,0.101067,24984,0.113261,0.237274,0.352308,4555
1407252390,,,,,,,,3683
1407252391,16219,32438,0.097223,32550,0.111455,0.231860,0.348771,3673
1407252392,,,,,,,,4351
1407252393,20564,41128,0.091104,41154,0.104227,0.228047,0.321060,3909
1407252394,,,,,,,,4384
1407252395,24635,49270,0.090497,49350,0.104118,0.220532,0.327421,4376
1407252396,,,,,,,,4421
1407252397,29116,58232,0.091316,58232,0.103844,0.217962,0.327421,4571
1407252398,,,,,,,,4621
1407252399,33909,67818,0.091191,67902,0.103354,0.214910,0.324274,4745
1407252400,,,,,,,,5027
1407252401,38812,77624,0.091085,77624,0.103197,0.214910,0.334599,4635
1407252402,,,,,,,,4111
1407252403,43067,86134,0.089074,86134,0.102408,0.212859,0.323658,4597
1407252404,,,,,,,,4397
1407252405,47704,95408,0.089443,95408,0.101580,0.211105,0.321719,5091
1407252406,,,,,,,,4643
1407252407,52571,105144,0.092604,105232,0.105762,0.215050,0.324274,4969
1407252408,,,,,,,,4825
1407252409,57482,114964,0.090926,115056,0.105188,0.208752,0.321719,5015
1407252410,,,,,,,,4619
1407252411,61344,122688,0.089044,122710,0.099726,0.208752,0.317312,2683
1407252412,,,,,,,,4707
1407252413,65812,131624,0.087144,131708,0.092918,0.206277,0.317312,4615
1407252414,,,,,,,,3467
1407252415,69454,138908,0.085417,138908,0.091263,0.202472,0.292111,3459
1407252416,,,,,,,,2973
1407252417,72637,145274,0.086715,145274,0.091627,0.205280,0.303622,3339
1407252418,,,,,,,,4171
1407252419,76722,153446,0.086560,153498,0.091917,0.205765,0.309302,4460
1407252420,,,,,,,,4994
1407252421,81598,163196,0.087332,163275,0.091666,0.204875,0.309302,4539
1407252422,,,,,,,,4803
1407252423,85853,171706,0.087807,171706,0.091692,0.204491,0.309302,3635
1407252424,,,,,,,,4667
1407252425,90281,180562,0.086564,180562,0.091665,0.203356,0.309302,3581
1407252426,,,,,,,,4589
1407252427,94194,188390,0.086286,188574,0.087771,0.204597,0.313744,3961
1407252428,,,,,,,,4577
1407252429,98654,197310,0.086120,197386,0.087115,0.203356,0.309302,4495
1407252430,,,,,,,,2669
1407252431,102313,204626,0.086921,204626,0.087089,0.203356,0.309302,4383
1407252432,,,,,,,,4867
1407252433,106949,213898,0.086253,213974,0.086417,0.201179,0.305666,4191
1407252434,,,,,,,,4997
1407252435,111388,222776,0.085184,222852,0.087125,0.201179,0.313698,4115
1407252436,,,,,,,,4385
1407252437,115643,231286,0.085948,231360,0.086972,0.201253,0.313698,4403
1407252438,,,,,,,,4965
1407252439,120171,240342,0.084566,240342,0.086826,0.200569,0.307063,3617
1407252440,,,,,,,,4943
1407252441,124392,248784,0.084241,248818,0.086467,0.197182,0.307063,3249
1407252442,,,,,,,,3517
1407252443,128031,256062,0.084578,256062,0.086082,0.196506,0.296014,4313
1407252444,,,,,,,,3971
1407252445,132169,264338,0.084528,264408,0.086033,0.196260,0.296014,4195
1407252446,,,,,,,,4483
1407252447,135865,271730,0.084250,271808,0.085687,0.195913,0.279215,2957
1407252448,,,,,,,,4801
1407252449,140461,280922,0.085754,280974,0.086140,0.196142,0.296014,3777
1407252450,,,,,,,,3901
1407252451,144248,288496,0.085910,289110,0.086225,0.196260,0.296014,3255
1407252452,,,,,,,,4473
1407252453,148132,296264,0.086125,296264,0.086568,0.196506,0.307063,4189
1407252454,,,,,,,,5233
1407252455,152839,305678,0.085206,305678,0.086290,0.196009,0.296014,4181
1407252456,,,,,,,,4005
1407252457,156834,313668,0.086066,313668,0.087110,0.196009,0.311434,4091
1407252458,,,,,,,,4754
1407252459,161596,323192,0.085519,323248,0.086897,0.195687,0.311434,5068
1407252460,,,,,,,,4825
1407252461,165856,331712,0.085891,331788,0.086324,0.195687,0.296014,3035
1407252462,,,,,,,,3615
1407252463,169720,339442,0.086519,339470,0.086834,0.196009,0.307063,4365
1407252464,,,,,,,,3915
1407252465,173906,347812,0.087441,347886,0.087112,0.197043,0.307063,4829
1407252466,,,,,,,,4203
1407252467,178363,356726,0.087522,356802,0.087199,0.199009,0.307063,4317
1407252468,,,,,,,,4663
1407252469,182627,365254,0.086611,365422,0.087399,0.199792,0.311434,3993
1407252470,,,,,,,,4285
1407252471,186752,373504,0.085410,373504,0.087296,0.198979,0.311434,3691
1407252472,,,,,,,,3707
1407252473,190709,381418,0.085947,381494,0.086248,0.199468,0.296014,4565
1407252474,,,,,,,,4463
1407252475,195035,390070,0.085818,390146,0.086403,0.199009,0.296014,4479
1407252476,,,,,,,,4249
1407252477,199356,398712,0.086260,398712,0.086507,0.199009,0.296014,3369
1407252478,,,,,,,,2865
1407252479,202665,405330,0.086084,405410,0.086216,0.197048,0.282794,4225
1407252480,,,,,,,,5063
1407252481,207373,414746,0.086545,414816,0.086193,0.197048,0.282794,4329
1407252482,,,,,,,,3705
1407252483,211398,422796,0.087742,422796,0.086569,0.199809,0.296014,3625
1407252484,,,,,,,,3655
1407252485,214971,429942,0.088767,429942,0.086293,0.199513,0.282794,4333
1407252486,,,,,,,,4197
1407252487,219195,438390,0.088430,438408,0.087055,0.201169,0.298906,4185
1407252488,,,,,,,,4183
1407252489,223148,446296,0.088905,446296,0.088100,0.201821,0.314090,3227
1407252490,,,,,,,,4389
1407252491,227174,454348,0.088041,454392,0.088322,0.202261,0.314171,4229
1407252492,,,,,,,,4753
1407252493,231716,463432,0.087973,463436,0.092993,0.202918,0.327809,4527
1407252494,,,,,,,,4797
1407252495,235684,471368,0.087706,471450,0.093042,0.203371,0.327809,3073
1407252496,,,,,,,,4031
1407252497,239634,479268,0.088873,479342,0.093323,0.205279,0.328823,4129
1407252498,,,,,,,,4763
1407252499,244311,488622,0.088387,488742,0.093144,0.205279,0.328823,4237
1407252500,,,,,,,,4085
1407252501,248405,496811,0.088863,496888,0.093407,0.207749,0.327809,4157
1407252502,,,,,,,,3829
1407252503,252074,504148,0.088574,504228,0.093664,0.207874,0.331058,3247
1407252504,,,,,,,,3807
1407252505,255926,511852,0.089137,511852,0.093786,0.208650,0.331058,4149
1407252506,,,,,,,,4329
1407252507,259769,519538,0.088267,519570,0.093102,0.207874,0.327809,3395
1407252508,,,,,,,,3509
1407252509,263472,526944,0.088755,526950,0.093381,0.207874,0.331058,3731
1407252510,,,,,,,,4167
1407252511,267048,534096,0.088614,534172,0.093441,0.207874,0.331058,2867
1407252512,,,,,,,,3964
1407252513,271273,542548,0.088501,542624,0.089642,0.209319,0.331058,4190
1407252514,,,,,,,,3609
1407252515,275094,550190,0.088208,550270,0.088984,0.207397,0.327809,4547
1407252516,,,,,,,,4485
1407252517,279440,558880,0.087319,558958,0.089228,0.203625,0.331058,4525
1407252518,,,,,,,,4765
1407252519,283487,566974,0.087905,567144,0.089513,0.205704,0.331557,2949
1407252520,,,,,,,,4371
1407252521,287699,575398,0.088370,575400,0.089357,0.205932,0.331557,4385
1407252522,,,,,,,,4183
1407252523,292262,584524,0.087567,584602,0.089485,0.204747,0.331557,4985
1407252524,,,,,,,,4331
1407252525,296900,593800,0.086716,593832,0.089049,0.201933,0.330885,4791
1407252526,,,,,,,,5255
1407252527,301252,602504,0.086804,602624,0.088861,0.201933,0.330885,2631
1407252528,,,,,,,,3617
1407252529,304913,609826,0.086754,609826,0.088696,0.201883,0.330885,4193
1407252530,,,,,,,,4527
1407252531,308697,617394,0.086286,617440,0.089226,0.205688,0.331557,3409
1407252532,,,,,,,,4575
1407252533,313463,626926,0.085586,626938,0.089183,0.206515,0.331557,4591
1407252534,,,,,,,,5107
1407252535,317967,635934,0.085721,636010,0.089185,0.206515,0.331557,4481
1407252536,,,,,,,,4751
1407252537,322563,645126,0.085571,645126,0.089021,0.203904,0.331557,4059
1407252538,,,,,,,,4423
1407252539,326913,653826,0.086275,653986,0.089336,0.205956,0.331557,4205
1407252540,,,,,,,,4963
1407252541,331404,662808,0.086205,662986,0.089474,0.205956,0.331557,3357
1407252542,,,,,,,,3513
1407252543,334973,669946,0.085872,669984,0.088799,0.203904,0.329029,4347
1407252544,,,,,,,,4989
1407252545,339738,679476,0.085690,679554,0.088946,0.205303,0.329029,4563
1407252546,,,,,,,,4351
1407252547,343403,686806,0.085503,686806,0.088753,0.202688,0.329029,2293
1407252548,,,,,,,,4529
1407252549,347680,695360,0.084714,695414,0.088470,0.202485,0.322136,5189
1407252550,,,,,,,,2101
1407252551,349933,699866,0.084537,699920,0.088776,0.202485,0.329029,1717
1407252552,,,,,,,,4187
1407252553,354043,708086,0.084010,708086,0.088702,0.202688,0.322136,4231
1407252554,,,,,,,,4601
1407252555,358391,716782,0.084323,716860,0.089288,0.205688,0.329029,4165
1407252556,,,,,,,,4485
1407252557,362644,725290,0.084864,725362,0.089355,0.203981,0.329029,4049
1407252558,,,,,,,,4277
1407252559,366813,733626,0.084680,733626,0.089148,0.202485,0.329195,3407
1407252560,,,,,,,,3835
1407252561,370504,741008,0.085020,741008,0.089172,0.202485,0.329195,3993
1407252562,,,,,,,,3573
1407252563,374115,748230,0.085113,748384,0.089260,0.202688,0.329195,3733
1407252564,,,,,,,,4785
1407252565,378261,756522,0.084709,756522,0.088898,0.202452,0.329195,3545
1407252566,,,,,,,,4739
1407252567,382809,765618,0.085190,765618,0.089756,0.202452,0.333198,4503
1407252568,,,,,,,,4835
1407252569,387350,774700,0.085495,774854,0.089259,0.201549,0.331557,4293
1407252570,,,,,,,,4873
1407252571,392020,784040,0.086702,784220,0.089497,0.202567,0.331557,4631
1407252572,,,,,,,,4419
1407252573,396686,793372,0.086686,793434,0.089270,0.202567,0.330565,4935
1407252574,,,,,,,,3001
1407252575,400509,801018,0.086201,801066,0.089542,0.202688,0.330565,4479
1407252576,,,,,,,,4585
1407252577,404383,808766,0.086024,808766,0.089324,0.202688,0.330565,2477
1407252578,,,,,,,,4745
1407252579,408626,817252,0.085932,817252,0.089217,0.202452,0.330565,4069
1407252580,,,,,,,,4027
