t,value
1593267659,4
1593267664,5
1593267669,5
1593267674,6
1593267679,5
1593267684,5
1593267689,5
1593267694,5
1593267699,5
1593267704,6
1593267709,5
1593267714,5
1593267719,5
1593267724,6
1593267729,5
1593267734,5
1593267739,5
1593267744,6
1593267749,5
1593267754,6
1593267759,6
1593267764,6
1593267769,6
1593267774,6
1593267779,6
1593267784,6
1593267789,5
1593267794,6
1593267799,7
1593267804,6
1593267809,6
1593267814,6
1593267819,7
1593267824,7
1593267829,6
1593267834,5
1593267839,7
1593267844,7
1593267849,7
1593267854,7
1593267859,7
1593267864,6
1593267869,7
1593267874,7
1593267879,5
1593267884,7
1593267889,7
1593267894,7
1593267899,7
1593267904,7
1593267909,7
1593267914,7
1593267919,6
1593267924,7
1593267929,6
1593267934,7
1593267939,7
1593267944,7
1593267949,8
1593267954,7
1593267959,7
1593267964,7
1593267969,7
1593267974,6
1593267979,7
1593267984,7
1593267989,7
1593267994,7
1593267999,7
1593268004,7
1593268009,7
1593268014,6
1593268019,7
1593268024,7
1593268029,7
1593268034,8
1593268039,7
1593268044,7
1593268049,7
1593268054,7
1593268059,6
1593268064,7
1593268069,7
1593268074,7
1593268079,7
1593268084,8
1593268089,7
1593268094,8
1593268099,6
1593268104,7
1593268109,7
1593268114,8
1593268119,8
1593268124,7
1593268129,7
1593268134,7
1593268139,8
1593268144,6
1593268149,7
1593268154,8
1593268159,7
1593268164,6
1593268169,8
1593268174,7
1593268179,7
1593268184,7
1593268189,7
1593268194,7
1593268199,7
1593268204,8
1593268209,7
1593268214,8
1593268219,7
1593268224,7
1593268229,7
1593268234,8
1593268239,7
1593268244,7
1593268249,8
1593268254,7
1593268259,8
1593268264,6
1593268269,7
1593268274,8
1593268279,7
1593268284,7
1593268289,7
1593268294,7
1593268299,7
1593268304,8
1593268309,6
1593268314,7
1593268319,8
1593268324,6
1593268329,7
1593268334,7
1593268339,8
1593268344,7
1593268349,7
1593268354,8
1593268359,7
1593268364,7
1593268369,7
1593268374,7
1593268379,7
1593268384,8
1593268389,7
1593268394,7
1593268399,8
1593268404,7
1593268409,7
1593268414,7
1593268419,8
1593268424,7
1593268429,7
1593268434,7
1593268439,7
1593268444,7
1593268449,7
1593268454,7
1593268459,7
1593268464,7
1593268469,7
1593268474,7
1593268479,7
1593268484,7
1593268489,8
1593268494,7
1593268499,7
1593268504,7
1593268509,7
1593268514,7
1593268519,7
1593268524,8
1593268529,7
1593268534,7
1593268539,7
1593268544,7
1593268549,7
1593268554,7
1593268559,7
1593268564,7
1593268569,7
1593268574,7
1593268579,8
1593268584,7
1593268589,6
1593268594,7
1593268599,7
1593268604,6
1593268609,8
1593268614,7
1593268619,7
1593268624,8
1593268629,8
1593268634,7
1593268639,7
1593268644,8
1593268649,7
1593268654,7
1593268659,7
1593268664,8
1593268669,7
1593268674,7
1593268679,7
1593268684,8
1593268689,7
1593268694,7
1593268699,7
1593268704,7
1593268709,8
1593268714,7
1593268719,7
1593268724,7
1593268729,7
1593268734,7
1593268739,7
1593268744,8
1593268749,7
1593268754,8
1593268759,7
1593268764,7
1593268769,7
1593268774,7
1593268779,7
1593268784,7
1593268789,7
1593268794,7
1593268799,7
1593268804,7
1593268809,7
1593268814,7
1593268819,7
1593268824,7
1593268829,7
1593268834,8
1593268839,7
1593268844,7
1593268849,8
1593268854,7
1593268859,7
1593268864,7
1593268869,7
1593268874,7
1593268879,7
1593268884,7
1593268889,7
1593268894,6
1593268899,7
1593268904,7
1593268909,7
1593268914,7
1593268919,8
1593268924,7
1593268929,6
1593268934,7
1593268939,7
1593268944,7
1593268949,7
1593268954,7
1593268959,7
1593268964,8
1593268969,7
1593268974,7
1593268979,7
1593268984,7
1593268989,7
1593268994,6
1593268999,7
1593269004,7
1593269009,7
1593269014,7
1593269019,7
1593269024,7
1593269029,7
1593269034,7
1593269039,7
1593269044,7
1593269049,6
1593269054,7
1593269059,7
1593269064,7
1593269069,7
1593269074,7
1593269079,7
1593269084,6
1593269089,7
1593269094,6
1593269099,6
1593269104,6
1593269109,7
1593269114,6
1593269119,7
1593269124,7
1593269129,7
1593269134,7
1593269139,7
1593269144,6
1593269149,6
1593269154,6
1593269159,6
1593269164,7
1593269169,6
1593269174,6
1593269179,6
1593269184,6
1593269189,7
1593269194,7
1593269199,7
1593269204,6
1593269209,6
1593269214,7
1593269219,7
1593269224,7
1593269229,7
1593269234,6
1593269239,7
1593269244,6
1593269249,7
1593269254,7
1593269259,7
1593269264,7
1593269269,7
1593269274,7
1593269279,7
1593269284,7
1593269289,7
1593269294,7
1593269299,7
1593269304,7
1593269309,7
1593269314,7
1593269319,7
1593269324,6
1593269329,8
1593269334,7
1593269339,7
1593269344,6
1593269349,6
1593269354,7
1593269359,7
1593269364,8
1593269369,7
1593269374,7
1593269379,7
1593269384,7
1593269389,7
1593269394,7
1593269399,7
1593269404,7
1593269409,7
1593269414,6
1593269419,8
1593269424,7
1593269429,7
1593269434,7
1593269439,8
1593269444,7
1593269449,7
1593269454,7
1593269459,7
1593269464,7
1593269469,7
1593269474,7
1593269479,7
1593269484,7
1593269489,7
1593269494,7
1593269499,8
1593269504,7
1593269509,7
1593269514,7
1593269519,8
1593269524,7
1593269529,7
1593269534,8
1593269539,7
1593269544,7
1593269549,8
1593269554,8
1593269559,7
1593269564,7
1593269569,8
1593269574,7
1593269579,7
1593269584,8
1593269589,7
1593269594,7
1593269599,7
1593269604,8
1593269609,7
1593269614,8
1593269619,8
1593269624,7
1593269629,7
1593269634,7
1593269639,8
1593269644,7
1593269649,7
1593269654,8
1593269659,8
1593269664,8
1593269669,8
1593269674,7
1593269679,7
1593269684,8
1593269689,7
1593269694,7
1593269699,7
1593269704,7
1593269709,7
1593269714,7
1593269719,7
1593269724,7
1593269729,7
1593269734,7
1593269739,7
1593269744,8
1593269749,7
1593269754,8
1593269759,7
1593269764,8
1593269769,7
1593269774,7
1593269779,8
1593269784,7
1593269789,7
1593269794,7
1593269799,8
1593269804,7
1593269809,7
1593269814,8
1593269819,7
1593269824,7
1593269829,7
1593269834,7
1593269839,7
1593269844,7
1593269849,8
1593269854,7
1593269859,7
1593269864,7
1593269869,7
1593269874,8
1593269879,7
1593269884,8
1593269889,7
1593269894,7
1593269899,7
1593269904,7
1593269909,7
1593269914,7
1593269919,8
1593269924,8
1593269929,7
1593269934,7
1593269939,7
1593269944,7
1593269949,7
1593269954,7
1593269959,8
1593269964,7
1593269969,7
1593269974,8
1593269979,8
1593269984,7
1593269989,7
1593269994,7
1593269999,8
1593270004,8
1593270009,8
1593270014,8
1593270019,7
1593270024,7
1593270029,8
1593270034,8
1593270039,8
1593270044,7
1593270049,7
1593270054,7
1593270059,7
1593270064,8
1593270069,7
1593270074,7
1593270079,7
1593270084,7
1593270089,7
1593270094,7
1593270099,7
1593270104,8
1593270109,8
1593270114,8
1593270119,8
1593270124,7
1593270129,7
1593270134,7
1593270139,7
1593270144,7
1593270149,8
1593270154,8
1593270159,7
1593270164,7
1593270169,8
1593270174,8
1593270179,7
1593270184,7
1593270189,7
1593270194,8
1593270199,7
1593270204,8
1593270209,8
1593270214,7
1593270219,7
1593270224,7
1593270229,7
1593270234,8
1593270239,7
1593270244,7
1593270249,8
1593270254,7
1593270259,7
1593270264,7
1593270269,8
1593270274,7
1593270279,7
1593270284,7
1593270289,7
1593270294,7
1593270299,7
1593270304,7
1593270309,7
1593270314,7
1593270319,7
1593270324,7
1593270329,7
1593270334,8
1593270339,7
1593270344,8
1593270349,7
1593270354,7
1593270359,7
1593270364,7
1593270369,7
1593270374,7
1593270379,8
1593270384,7
1593270389,7
1593270394,7
1593270399,8
1593270404,8
1593270409,7
1593270414,7
1593270419,7
1593270424,7
1593270429,7
1593270434,7
1593270439,7
1593270444,8
1593270449,7
1593270454,7
1593270459,7
1593270464,7
1593270469,7
1593270474,7
1593270479,7
1593270484,7
1593270489,7
1593270494,7
1593270499,7
1593270504,7
1593270509,7
1593270514,7
1593270519,8
1593270524,8
1593270529,8
1593270534,7
1593270539,7
1593270544,7
1593270549,7
1593270554,8
1593270559,8
1593270564,7
1593270569,7
1593270574,7
1593270579,7
1593270584,8
1593270589,8
1593270594,7
1593270599,7
1593270604,8
1593270609,7
1593270614,7
1593270619,7
1593270624,7
1593270629,7
1593270634,7
1593270639,7
1593270644,7
1593270649,8
1593270654,7
1593270659,8
1593270664,8
1593270669,8
1593270674,7
1593270679,7
1593270684,7
1593270689,7
1593270694,8
1593270699,7
1593270704,8
1593270709,7
1593270714,7
1593270719,7
1593270724,8
1593270729,7
1593270734,8
1593270739,7
1593270744,7
1593270749,8
1593270754,7
1593270759,8
1593270764,7
1593270769,8
1593270774,7
1593270779,7
1593270784,7
1593270789,7
1593270794,8
1593270799,7
1593270804,7
1593270809,7
1593270814,7
1593270819,7
1593270824,7
1593270829,7
1593270834,8
1593270839,7
1593270844,7
1593270849,8
1593270854,7
1593270859,7
1593270864,8
1593270869,7
1593270874,8
1593270879,8
1593270884,7
1593270889,7
1593270894,7
1593270899,7
1593270904,6
1593270909,0
1593270914,0
1593270919,0
1593270924,0
1593270929,0
1593270934,0
1593270939,0
1593270944,0
1593270949,0
1593270954,0
1593270959,0
1593270964,0
1593270969,0
1593270974,0
1593270979,0
1593270984,0
1593270989,0
1593270994,0
1593270999,0
1593271004,0
1593271009,0
1593271014,0
1593271019,0
1593271024,0
1593271029,0
1593271034,0
1593271039,0
1593271044,0
1593271049,0
1593271054,0
1593271059,0
1593271064,0
1593271069,0
1593271074,0
1593271079,0
1593271084,0
1593271089,0
1593271094,0
1593271099,0
1593271104,0
1593271109,0
1593271114,0
1593271119,0
1593271124,0
1593271129,0
1593271134,0
1593271139,0
1593271144,0
1593271149,0
1593271154,0
1593271159,0
1593271164,0
1593271169,0
1593271174,0
1593271179,0
1593271184,0
1593271189,0
1593271194,0
1593271199,0
1593271204,0
1593271209,0
1593271214,0
1593271219,0
1593271224,0
1593271229,0
1593271234,0
1593271239,0
1593271244,0
1593271249,0
1593271254,0
1593271259,0
1593271264,0
1593271269,0
1593271274,0
1593271279,0
1593271284,0
1593271289,0
1593271294,0
1593271299,0
1593271304,0
1593271309,0
1593271314,0
1593271319,0
1593271324,0
1593271329,0
1593271334,0
1593271339,0
1593271344,0
1593271349,0
1593271354,0
1593271359,0
1593271364,0
1593271369,0
1593271374,0
1593271379,0
1593271384,0
1593271389,0
1593271394,0
1593271399,0
1593271404,0
1593271409,0
1593271414,0
1593271419,0
1593271424,0
1593271429,0
1593271434,0
1593271439,0
1593271444,0
1593271449,0
1593271454,0
1593271459,0
1593271464,0
1593271469,0
1593271474,0
1593271479,0
1593271484,0
1593271489,0
1593271494,0
1593271499,0
1593271504,0
1593271509,0
1593271514,0
1593271519,0
1593271524,0
1593271529,0
1593271534,0
1593271539,0
1593271544,0
1593271549,0
1593271554,0
1593271559,0
1593271564,0
1593271569,0
1593271574,0
1593271579,0
1593271584,0
1593271589,0
1593271594,0
1593271599,0
1593271604,0
