t,count
1593267659,7
1593267664,16
1593267669,26
1593267674,35
1593267679,44
1593267684,53
1593267689,62
1593267694,71
1593267699,80
1593267704,90
1593267709,99
1593267714,108
1593267719,117
1593267724,127
1593267729,136
1593267734,145
1593267739,154
1593267744,164
1593267749,173
1593267754,183
1593267759,193
1593267764,203
1593267769,213
1593267774,224
1593267779,234
1593267784,245
1593267789,255
1593267794,265
1593267799,276
1593267804,287
1593267809,298
1593267814,309
1593267819,320
1593267824,331
1593267829,342
1593267834,352
1593267839,364
1593267844,376
1593267849,387
1593267854,398
1593267859,410
1593267864,421
1593267869,433
1593267874,445
1593267879,456
1593267884,468
1593267889,479
1593267894,491
1593267899,503
1593267904,515
1593267909,527
1593267914,539
1593267919,551
1593267924,563
1593267929,575
1593267934,587
1593267939,599
1593267944,611
1593267949,624
1593267954,636
1593267959,648
1593267964,660
1593267969,672
1593267974,685
1593267979,697
1593267984,709
1593267989,722
1593267994,734
1593267999,747
1593268004,759
1593268009,771
1593268014,784
1593268019,796
1593268024,808
1593268029,820
1593268034,833
1593268039,845
1593268044,858
1593268049,870
1593268054,883
1593268059,895
1593268064,908
1593268069,920
1593268074,932
1593268079,944
1593268084,957
1593268089,969
1593268094,982
1593268099,994
1593268104,1007
1593268109,1019
1593268114,1032
1593268119,1045
1593268124,1057
1593268129,1070
1593268134,1082
1593268139,1095
1593268144,1107
1593268149,1120
1593268154,1134
1593268159,1146
1593268164,1158
1593268169,1171
1593268174,1184
1593268179,1197
1593268184,1209
1593268189,1222
1593268194,1235
1593268199,1248
1593268204,1261
1593268209,1273
1593268214,1286
1593268219,1298
1593268224,1310
1593268229,1323
1593268234,1337
1593268239,1350
1593268244,1362
1593268249,1375
1593268254,1387
1593268259,1400
1593268264,1412
1593268269,1424
1593268274,1437
1593268279,1449
1593268284,1462
1593268289,1474
1593268294,1487
1593268299,1499
1593268304,1512
1593268309,1524
1593268314,1536
1593268319,1549
1593268324,1561
1593268329,1574
1593268334,1586
1593268339,1599
1593268344,1611
1593268349,1623
1593268354,1636
1593268359,1649
1593268364,1661
1593268369,1674
1593268374,1686
1593268379,1698
1593268384,1711
1593268389,1724
1593268394,1736
1593268399,1749
1593268404,1761
1593268409,1773
1593268414,1785
1593268419,1798
1593268424,1810
1593268429,1823
1593268434,1836
1593268439,1848
1593268444,1861
1593268449,1874
1593268454,1887
1593268459,1900
1593268464,1913
1593268469,1925
1593268474,1938
1593268479,1951
1593268484,1963
1593268489,1977
1593268494,1989
1593268499,2001
1593268504,2013
1593268509,2025
1593268514,2037
