t,value
1593267659,1
1593267664,2
1593267669,2
1593267674,2
1593267679,2
1593267684,2
1593267689,2
1593267694,2
1593267699,2
1593267704,2
1593267709,2
1593267714,2
1593267719,2
1593267724,2
1593267729,2
1593267734,2
1593267739,2
1593267744,2
1593267749,2
1593267754,2
1593267759,2
1593267764,2
1593267769,2
1593267774,2
1593267779,2
1593267784,2
1593267789,2
1593267794,2
1593267799,2
1593267804,2
1593267809,2
1593267814,2
1593267819,2
1593267824,2
1593267829,2
1593267834,2
1593267839,2
1593267844,2
1593267849,2
1593267854,2
1593267859,2
1593267864,2
1593267869,2
1593267874,2
1593267879,2
1593267884,2
1593267889,2
1593267894,2
1593267899,2
1593267904,2
1593267909,2
1593267914,2
1593267919,2
1593267924,2
1593267929,2
1593267934,2
1593267939,2
1593267944,2
1593267949,3
1593267954,2
1593267959,2
1593267964,2
1593267969,2
1593267974,3
1593267979,2
1593267984,2
1593267989,3
1593267994,2
1593267999,3
1593268004,2
1593268009,2
1593268014,3
1593268019,2
1593268024,2
1593268029,2
1593268034,3
1593268039,2
1593268044,3
1593268049,2
1593268054,3
1593268059,2
1593268064,3
1593268069,2
1593268074,2
1593268079,2
1593268084,3
1593268089,2
1593268094,3
1593268099,2
1593268104,3
1593268109,2
1593268114,3
1593268119,3
1593268124,2
1593268129,3
1593268134,2
1593268139,3
1593268144,2
1593268149,3
1593268154,3
1593268159,2
1593268164,2
1593268169,3
1593268174,3
1593268179,3
1593268184,2
1593268189,3
1593268194,3
1593268199,3
1593268204,3
1593268209,2
1593268214,3
1593268219,2
1593268224,2
1593268229,3
1593268234,3
1593268239,3
1593268244,2
1593268249,3
1593268254,2
1593268259,3
1593268264,2
1593268269,2
1593268274,3
1593268279,2
1593268284,3
1593268289,2
1593268294,3
1593268299,2
1593268304,3
1593268309,2
1593268314,2
1593268319,3
1593268324,2
1593268329,3
1593268334,2
1593268339,3
1593268344,2
1593268349,2
1593268354,3
1593268359,3
1593268364,2
1593268369,3
1593268374,2
1593268379,2
1593268384,3
1593268389,3
1593268394,2
1593268399,3
1593268404,2
1593268409,2
1593268414,2
1593268419,3
1593268424,2
1593268429,3
1593268434,3
1593268439,2
1593268444,3
1593268449,3
1593268454,3
1593268459,3
1593268464,3
1593268469,2
1593268474,3
1593268479,3
1593268484,2
1593268489,3
1593268494,2
1593268499,2
1593268504,2
1593268509,2
1593268514,2
1593268519,3
1593268524,3
1593268529,2
1593268534,3
1593268539,2
1593268544,2
1593268549,2
1593268554,3
1593268559,3
1593268564,2
1593268569,3
1593268574,2
1593268579,3
1593268584,3
1593268589,2
1593268594,3
1593268599,2
1593268604,2
1593268609,3
1593268614,3
1593268619,2
1593268624,3
1593268629,3
1593268634,2
1593268639,3
1593268644,3
1593268649,2
1593268654,3
1593268659,2
1593268664,3
1593268669,3
1593268674,2
1593268679,3
1593268684,3
1593268689,3
1593268694,3
1593268699,3
1593268704,2
1593268709,3
1593268714,3
1593268719,3
1593268724,2
1593268729,2
1593268734,2
1593268739,3
1593268744,3
1593268749,2
1593268754,3
1593268759,2
1593268764,3
1593268769,3
1593268774,2
1593268779,2
1593268784,3
1593268789,2
1593268794,3
1593268799,2
1593268804,2
1593268809,2
1593268814,3
1593268819,3
1593268824,2
1593268829,3
1593268834,3
1593268839,3
1593268844,3
1593268849,3
1593268854,3
1593268859,3
1593268864,3
1593268869,3
1593268874,3
1593268879,3
1593268884,2
1593268889,3
1593268894,3
1593268899,3
1593268904,2
1593268909,3
1593268914,3
1593268919,3
1593268924,3
1593268929,2
1593268934,3
1593268939,3
1593268944,2
1593268949,2
1593268954,3
1593268959,2
1593268964,3
1593268969,2
1593268974,2
1593268979,3
1593268984,2
1593268989,3
1593268994,2
1593268999,2
1593269004,3
1593269009,2
1593269014,3
1593269019,2
1593269024,2
1593269029,2
1593269034,3
1593269039,2
1593269044,3
1593269049,2
1593269054,3
1593269059,2
1593269064,2
1593269069,3
1593269074,2
1593269079,2
1593269084,2
1593269089,2
1593269094,3
1593269099,2
1593269104,2
1593269109,2
1593269114,2
1593269119,2
1593269124,2
1593269129,2
1593269134,3
1593269139,2
1593269144,2
1593269149,2
1593269154,2
1593269159,2
1593269164,2
1593269169,2
1593269174,3
1593269179,2
1593269184,2
1593269189,3
1593269194,3
1593269199,3
1593269204,3
1593269209,2
1593269214,3
1593269219,3
1593269224,3
1593269229,3
1593269234,2
1593269239,3
1593269244,3
1593269249,3
1593269254,3
1593269259,3
1593269264,3
1593269269,3
1593269274,3
1593269279,3
1593269284,3
1593269289,3
1593269294,3
1593269299,3
1593269304,3
1593269309,3
1593269314,3
1593269319,3
1593269324,3
1593269329,3
1593269334,4
1593269339,3
1593269344,3
1593269349,3
1593269354,3
1593269359,3
1593269364,4
1593269369,3
1593269374,4
1593269379,4
1593269384,3
1593269389,3
1593269394,4
1593269399,3
1593269404,4
1593269409,4
1593269414,3
1593269419,4
1593269424,3
1593269429,4
1593269434,4
1593269439,4
1593269444,3
1593269449,4
1593269454,4
1593269459,4
1593269464,4
1593269469,4
1593269474,4
1593269479,4
1593269484,3
1593269489,4
1593269494,4
1593269499,4
1593269504,4
1593269509,4
1593269514,4
1593269519,4
1593269524,4
1593269529,4
1593269534,4
1593269539,4
1593269544,4
1593269549,4
1593269554,4
1593269559,4
1593269564,4
1593269569,4
1593269574,4
1593269579,4
1593269584,4
1593269589,4
1593269594,4
1593269599,4
1593269604,4
1593269609,4
1593269614,4
1593269619,4
1593269624,4
1593269629,4
1593269634,4
1593269639,4
1593269644,4
1593269649,4
1593269654,4
1593269659,4
1593269664,4
1593269669,4
1593269674,4
1593269679,4
1593269684,4
1593269689,4
1593269694,4
1593269699,4
1593269704,4
1593269709,4
1593269714,4
1593269719,4
1593269724,4
1593269729,4
1593269734,4
1593269739,4
1593269744,4
1593269749,4
1593269754,4
1593269759,4
1593269764,4
1593269769,4
1593269774,4
1593269779,4
1593269784,4
1593269789,4
1593269794,4
1593269799,4
1593269804,4
1593269809,4
1593269814,4
1593269819,4
1593269824,4
1593269829,4
1593269834,4
1593269839,4
1593269844,4
1593269849,4
1593269854,4
1593269859,4
1593269864,4
1593269869,4
1593269874,4
1593269879,4
1593269884,4
1593269889,4
1593269894,4
1593269899,4
1593269904,4
1593269909,4
1593269914,4
1593269919,4
1593269924,4
1593269929,4
1593269934,4
1593269939,4
1593269944,4
1593269949,4
1593269954,4
1593269959,4
1593269964,4
1593269969,4
1593269974,4
1593269979,4
1593269984,4
1593269989,4
1593269994,4
1593269999,4
1593270004,4
1593270009,4
1593270014,4
1593270019,4
1593270024,4
1593270029,4
1593270034,4
1593270039,4
1593270044,4
1593270049,4
1593270054,4
1593270059,4
1593270064,4
1593270069,4
1593270074,4
1593270079,4
1593270084,4
1593270089,4
1593270094,4
1593270099,4
1593270104,4
1593270109,4
1593270114,4
1593270119,4
1593270124,4
1593270129,4
1593270134,4
1593270139,4
1593270144,4
1593270149,4
1593270154,4
1593270159,4
1593270164,4
1593270169,4
1593270174,4
1593270179,4
1593270184,4
1593270189,4
1593270194,4
1593270199,4
1593270204,4
1593270209,4
1593270214,4
1593270219,4
1593270224,4
1593270229,4
1593270234,4
1593270239,4
1593270244,4
1593270249,4
1593270254,4
1593270259,4
1593270264,4
1593270269,4
1593270274,4
1593270279,4
1593270284,4
1593270289,4
1593270294,4
1593270299,4
1593270304,4
1593270309,4
1593270314,4
1593270319,4
1593270324,4
1593270329,4
1593270334,4
1593270339,4
1593270344,4
1593270349,4
1593270354,4
1593270359,4
1593270364,4
1593270369,4
1593270374,4
1593270379,4
1593270384,4
1593270389,4
1593270394,4
1593270399,4
1593270404,4
1593270409,4
1593270414,4
1593270419,4
1593270424,4
1593270429,4
1593270434,4
1593270439,4
1593270444,4
1593270449,4
1593270454,4
1593270459,4
1593270464,4
1593270469,4
1593270474,4
1593270479,4
1593270484,4
1593270489,4
1593270494,4
1593270499,4
1593270504,4
1593270509,4
1593270514,4
1593270519,4
1593270524,4
1593270529,4
1593270534,4
1593270539,4
1593270544,4
1593270549,4
1593270554,4
1593270559,4
1593270564,4
1593270569,4
1593270574,4
1593270579,4
1593270584,4
1593270589,4
1593270594,4
1593270599,4
1593270604,4
1593270609,4
1593270614,4
1593270619,4
1593270624,4
1593270629,4
1593270634,4
1593270639,4
1593270644,4
1593270649,4
1593270654,4
1593270659,4
1593270664,4
1593270669,4
1593270674,4
1593270679,4
1593270684,4
1593270689,4
1593270694,4
1593270699,4
1593270704,4
1593270709,4
1593270714,4
1593270719,4
1593270724,4
1593270729,4
1593270734,4
1593270739,4
1593270744,4
1593270749,4
1593270754,4
1593270759,4
1593270764,4
1593270769,4
1593270774,4
1593270779,4
1593270784,4
1593270789,4
1593270794,4
1593270799,4
1593270804,4
1593270809,4
1593270814,4
1593270819,4
1593270824,4
1593270829,4
1593270834,4
1593270839,4
1593270844,4
1593270849,4
1593270854,4
1593270859,4
1593270864,4
1593270869,4
1593270874,4
1593270879,4
1593270884,4
1593270889,4
1593270894,4
1593270899,4
1593270904,3
1593270909,0
1593270914,0
1593270919,0
1593270924,0
1593270929,0
1593270934,0
1593270939,0
1593270944,0
1593270949,0
1593270954,0
1593270959,0
1593270964,0
1593270969,0
1593270974,0
1593270979,0
1593270984,0
1593270989,0
1593270994,0
1593270999,0
1593271004,0
1593271009,0
1593271014,0
1593271019,0
1593271024,0
1593271029,0
1593271034,0
1593271039,0
