t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593267659,2,0.517191,0.426919,0.337990,0.089598,0.337990,0.517191,0.517191,0.517191,0.517191,0.517191,0.409600,0.000000,0.000000,0.000000,calls/second,milliseconds
1593267664,3,0.517191,0.288291,0.032984,0.201483,0.337990,0.517191,0.517191,0.517191,0.517191,0.517191,0.306968,0.400000,0.400000,0.400000,calls/second,milliseconds
1593267669,4,0.517191,0.216635,0.030539,0.206506,0.032984,0.337990,0.517191,0.517191,0.517191,0.517191,0.264598,0.369296,0.393443,0.397790,calls/second,milliseconds
1593267674,6,0.517191,0.146048,0.025540,0.187760,0.030539,0.337990,0.517191,0.517191,0.517191,0.517191,0.303514,0.369296,0.393443,0.397790,calls/second,milliseconds
1593267679,8,0.517191,0.126474,0.025540,0.164297,0.030539,0.128608,0.517191,0.517191,0.517191,0.517191,0.322403,0.371751,0.393552,0.397802,calls/second,milliseconds
1593267684,8,0.517191,0.126474,0.025540,0.164297,0.030539,0.128608,0.517191,0.517191,0.517191,0.517191,0.268662,0.374010,0.393658,0.397814,calls/second,milliseconds
1593267689,8,0.517191,0.126474,0.025540,0.164297,0.030539,0.128608,0.517191,0.517191,0.517191,0.517191,0.230146,0.344106,0.387152,0.395611,calls/second,milliseconds
1593267694,8,0.517191,0.126474,0.025540,0.164297,0.030539,0.128608,0.517191,0.517191,0.517191,0.517191,0.201210,0.316593,0.380753,0.393419,calls/second,milliseconds
1593267699,9,0.517191,0.108582,0.018942,0.155261,0.027434,0.128608,0.517191,0.517191,0.517191,0.517191,0.199907,0.283981,0.371576,0.390180,calls/second,milliseconds
1593267704,11,0.517191,0.106593,0.018942,0.135126,0.032984,0.144829,0.517191,0.517191,0.517191,0.517191,0.221027,0.283981,0.371576,0.390180,calls/second,milliseconds
1593267709,13,0.517191,0.100938,0.018942,0.123214,0.032984,0.138283,0.517191,0.517191,0.517191,0.517191,0.237384,0.293257,0.372045,0.390234,calls/second,milliseconds
1593267714,13,0.517191,0.100938,0.018942,0.123214,0.032984,0.138283,0.517191,0.517191,0.517191,0.517191,0.217502,0.301792,0.372508,0.390288,calls/second,milliseconds
1593267719,13,0.517191,0.100938,0.018942,0.123214,0.032984,0.138283,0.517191,0.517191,0.517191,0.517191,0.200714,0.277662,0.366351,0.388126,calls/second,milliseconds
1593267724,16,0.517191,0.094110,0.018942,0.106196,0.057264,0.128608,0.337990,0.517191,0.517191,0.517191,0.229365,0.255461,0.360295,0.385976,calls/second,milliseconds
1593267729,16,0.517191,0.094110,0.018942,0.106196,0.057264,0.128608,0.337990,0.517191,0.517191,0.517191,0.214038,0.283009,0.364257,0.387161,calls/second,milliseconds
1593267734,17,0.517191,0.086333,0.016728,0.103371,0.032984,0.105750,0.337990,0.517191,0.517191,0.517191,0.212984,0.260381,0.358237,0.385016,calls/second,milliseconds
1593267739,19,0.517191,0.077933,0.013711,0.096281,0.032984,0.105750,0.337990,0.517191,0.517191,0.517191,0.224120,0.255553,0.355621,0.383991,calls/second,milliseconds
1593267744,19,0.517191,0.077933,0.013711,0.096281,0.032984,0.105750,0.337990,0.517191,0.517191,0.517191,0.211547,0.267103,0.356355,0.384080,calls/second,milliseconds
1593267749,20,0.517191,0.076149,0.013711,0.091999,0.057264,0.101650,0.144829,0.517191,0.517191,0.517191,0.210979,0.245746,0.350465,0.381952,calls/second,milliseconds
1593267754,22,0.517191,0.079781,0.013711,0.090901,0.057264,0.105750,0.180073,0.517191,0.517191,0.517191,0.220533,0.242089,0.347978,0.380944,calls/second,milliseconds
