t,count
1593267659,6
1593267664,14
1593267669,24
1593267674,32
1593267679,40
1593267684,49
1593267689,57
1593267694,66
1593267699,75
1593267704,85
1593267709,93
1593267714,102
1593267719,111
1593267724,121
1593267729,129
1593267734,137
1593267739,146
1593267744,156
1593267749,166
1593267754,174
1593267759,184
1593267764,193
1593267769,203
1593267774,213
1593267779,223
1593267784,233
1593267789,242
1593267794,252
1593267799,263
1593267804,273
1593267809,283
1593267814,293
1593267819,304
1593267824,315
1593267829,325
1593267834,333
1593267839,345
1593267844,355
1593267849,366
1593267854,377
1593267859,389
1593267864,399
1593267869,410
1593267874,422
1593267879,430
1593267884,442
1593267889,453
1593267894,464
1593267899,475
1593267904,486
1593267909,498
1593267914,510
1593267919,520
1593267924,531
1593267929,541
1593267934,553
1593267939,564
1593267944,576
1593267949,588
1593267954,600
1593267959,612
1593267964,623
1593267969,635
1593267974,643
1593267979,655
1593267984,667
1593267989,678
1593267994,690
1593267999,701
1593268004,713
1593268009,725
1593268014,734
1593268019,746
1593268024,758
1593268029,769
1593268034,781
1593268039,793
1593268044,804
1593268049,815
1593268054,826
1593268059,835
1593268064,846
1593268069,857
1593268074,869
1593268079,881
1593268084,894
1593268089,905
1593268094,917
1593268099,926
1593268104,937
1593268109,949
1593268114,961
1593268119,973
1593268124,983
1593268129,995
1593268134,1007
1593268139,1019
1593268144,1029
1593268149,1039
1593268154,1049
1593268159,1060
1593268164,1070
1593268169,1082
1593268174,1093
1593268179,1104
1593268184,1114
1593268189,1125
1593268194,1137
1593268199,1145
1593268204,1158
1593268209,1170
1593268214,1182
1593268219,1194
1593268224,1206
1593268229,1216
1593268234,1227
1593268239,1238
1593268244,1249
1593268249,1261
1593268254,1273
1593268259,1286
1593268264,1296
1593268269,1308
1593268274,1321
1593268279,1332
1593268284,1343
1593268289,1354
1593268294,1366
1593268299,1377
1593268304,1390
1593268309,1400
1593268314,1412
1593268319,1425
1593268324,1435
1593268329,1446
1593268334,1456
1593268339,1469
1593268344,1481
1593268349,1492
1593268354,1505
1593268359,1515
1593268364,1526
1593268369,1537
1593268374,1549
1593268379,1561
1593268384,1574
1593268389,1585
1593268394,1597
1593268399,1609
1593268404,1621
1593268409,1633
1593268414,1645
1593268419,1657
1593268424,1669
1593268429,1680
1593268434,1691
1593268439,1701
1593268444,1712
1593268449,1723
1593268454,1733
1593268459,1743
1593268464,1754
1593268469,1766
1593268474,1776
1593268479,1787
1593268484,1799
1593268489,1810
1593268494,1822
1593268499,1833
1593268504,1845
1593268509,1856
1593268514,1868
1593268519,1878
1593268524,1889
1593268529,1899
1593268534,1909
1593268539,1921
1593268544,1933
1593268549,1945
1593268554,1956
1593268559,1966
1593268564,1977
1593268569,1988
1593268574,1999
1593268579,2012
1593268584,2022
1593268589,2031
1593268594,2041
1593268599,2053
1593268604,2062
1593268609,2074
1593268614,2084
1593268619,2095
1593268624,2107
1593268629,2119
1593268634,2130
1593268639,2139
1593268644,2149
1593268649,2160
1593268654,2169
1593268659,2179
1593268664,2192
1593268669,2203
1593268674,2215
1593268679,2224
1593268684,2236
1593268689,2245
1593268694,2255
1593268699,2265
1593268704,2275
1593268709,2287
1593268714,2298
1593268719,2308
1593268724,2320
1593268729,2332
1593268734,2342
1593268739,2351
1593268744,2363
1593268749,2375
1593268754,2387
1593268759,2398
1593268764,2408
1593268769,2419
1593268774,2431
1593268779,2442
1593268784,2451
1593268789,2462
1593268794,2469
1593268799,2479
1593268804,2490
1593268809,2502
1593268814,2511
1593268819,2522
