t,count
1593267659,12
1593267664,28
1593267669,48
1593267674,65
1593267679,81
1593267684,99
1593267689,115
1593267694,133
1593267699,151
1593267704,171
1593267709,187
1593267714,205
1593267719,223
1593267724,243
1593267729,259
1593267734,275
1593267739,293
1593267744,313
1593267749,333
1593267754,349
1593267759,369
1593267764,387
1593267769,407
1593267774,427
1593267779,447
1593267784,468
1593267789,486
1593267794,506
1593267799,528
1593267804,548
1593267809,569
1593267814,590
1593267819,612
1593267824,634
1593267829,654
1593267834,670
1593267839,694
1593267844,716
1593267849,738
1593267854,760
1593267859,784
1593267864,804
1593267869,827
1593267874,851
1593267879,867
1593267884,891
1593267889,913
1593267894,935
1593267899,957
1593267904,979
1593267909,1003
1593267914,1027
1593267919,1047
1593267924,1070
1593267929,1090
1593267934,1114
1593267939,1137
1593267944,1161
1593267949,1186
1593267954,1210
1593267959,1234
1593267964,1256
1593267969,1280
1593267974,1298
1593267979,1322
1593267984,1346
1593267989,1369
1593267994,1393
1593267999,1415
1593268004,1439
1593268009,1463
1593268014,1482
1593268019,1506
1593268024,1530
1593268029,1552
1593268034,1577
1593268039,1601
1593268044,1624
1593268049,1646
1593268054,1668
1593268059,1687
1593268064,1709
1593268069,1731
1593268074,1755
1593268079,1779
1593268084,1805
1593268089,1828
1593268094,1853
1593268099,1871
1593268104,1893
1593268109,1917
1593268114,1942
1593268119,1967
1593268124,1988
1593268129,2012
1593268134,2036
1593268139,2061
1593268144,2081
1593268149,2103
1593268154,2127
1593268159,2149
1593268164,2169
1593268169,2194
1593268174,2217
1593268179,2241
1593268184,2261
1593268189,2285
1593268194,2309
1593268199,2329
1593268204,2355
1593268209,2379
1593268214,2404
1593268219,2428
1593268224,2452
1593268229,2474
1593268234,2499
1593268239,2523
1593268244,2545
1593268249,2570
1593268254,2594
1593268259,2620
1593268264,2640
1593268269,2664
1593268274,2690
1593268279,2712
1593268284,2734
1593268289,2757
1593268294,2781
1593268299,2804
1593268304,2830
1593268309,2850
1593268314,2874
1593268319,2900
1593268324,2920
1593268329,2943
1593268334,2964
1593268339,2990
1593268344,3014
1593268349,3036
1593268354,3062
1593268359,3084
1593268364,3107
1593268369,3131
1593268374,3155
1593268379,3179
1593268384,3205
1593268389,3228
1593268394,3252
1593268399,3277
1593268404,3301
1593268409,3325
1593268414,3349
1593268419,3374
1593268424,3398
1593268429,3421
1593268434,3445
1593268439,3466
1593268444,3489
1593268449,3513
1593268454,3535
1593268459,3558
1593268464,3581
1593268469,3605
1593268474,3627
1593268479,3651
1593268484,3675
1593268489,3700
1593268494,3724
1593268499,3746
1593268504,3770
1593268509,3792
1593268514,3816
1593268519,3839
1593268524,3864
1593268529,3885
1593268534,3907
1593268539,3931
1593268544,3955
1593268549,3979
1593268554,4003
1593268559,4026
1593268564,4049
1593268569,4073
1593268574,4095
1593268579,4121
1593268584,4144
1593268589,4163
1593268594,4186
1593268599,4210
1593268604,4229
1593268609,4254
1593268614,4276
1593268619,4299
1593268624,4324
1593268629,4349
1593268634,4372
1593268639,4394
1593268644,4417
1593268649,4439
1593268654,4461
1593268659,4482
1593268664,4508
1593268669,4532
1593268674,4556
1593268679,4577
1593268684,4602
1593268689,4623
1593268694,4645
1593268699,4666
1593268704,4687
1593268709,4712
1593268714,4736
1593268719,4758
1593268724,4782
1593268729,4806
1593268734,4828
1593268739,4848
1593268744,4873
1593268749,4897
1593268754,4922
1593268759,4945
1593268764,4967
1593268769,4991
1593268774,5015
1593268779,5038
1593268784,5060
1593268789,5083
1593268794,5103
1593268799,5124
1593268804,5146
1593268809,5170
1593268814,5190
1593268819,5213
1593268824,5236
1593268829,5260
1593268834,5285
1593268839,5306
1593268844,5329
1593268849,5355
1593268854,5376
1593268859,5400
1593268864,5421
1593268869,5443
1593268874,5465
1593268879,5489
1593268884,5510
1593268889,5531
1593268894,5548
1593268899,5568
1593268904,5592
1593268909,5614
1593268914,5638
1593268919,5663
1593268924,5684
1593268929,5704
1593268934,5727
1593268939,5749
1593268944,5772
1593268949,5795
1593268954,5818
1593268959,5840
1593268964,5865
1593268969,5888
1593268974,5909
1593268979,5932
1593268984,5955
1593268989,5977
1593268994,5997
1593268999,6018
1593269004,6040
1593269009,6063
1593269014,6085
1593269019,6108
1593269024,6132
1593269029,6153
1593269034,6177
1593269039,6199
1593269044,6221
1593269049,6240
1593269054,6262
1593269059,6285
1593269064,6307
1593269069,6328
1593269074,6350
1593269079,6373
1593269084,6393
1593269089,6414
1593269094,6433
1593269099,6453
1593269104,6473
1593269109,6495
1593269114,6513
1593269119,6534
1593269124,6555
1593269129,6578
1593269134,6599
1593269139,6620
1593269144,6640
1593269149,6659
1593269154,6678
1593269159,6698
1593269164,6720
1593269169,6740
1593269174,6759
1593269179,6779
1593269184,6799
1593269189,6820
1593269194,6840
1593269199,6860
1593269204,6878
1593269209,6896
1593269214,6917
1593269219,6936
1593269224,6958
1593269229,6977
1593269234,6995
1593269239,7015
1593269244,7034
1593269249,7053
1593269254,7073
1593269259,7094
1593269264,7114
1593269269,7135
1593269274,7153
1593269279,7170
1593269284,7190
1593269289,7209
1593269294,7229
1593269299,7247
1593269304,7266
1593269309,7285
1593269314,7305
1593269319,7323
1593269324,7338
1593269329,7359
1593269334,7377
1593269339,7397
1593269344,7415
1593269349,7432
1593269354,7451
1593269359,7470
1593269364,7489
1593269369,7508
1593269374,7526
1593269379,7544
1593269384,7562
1593269389,7580
1593269394,7599
1593269399,7619
1593269404,7635
1593269409,7653
1593269414,7669
1593269419,7689
1593269424,7708
1593269429,7725
1593269434,7744
1593269439,7763
1593269444,7781
1593269449,7799
1593269454,7817
1593269459,7835
1593269464,7853
1593269469,7871
1593269474,7889
1593269479,7907
1593269484,7924
1593269489,7942
1593269494,7959
1593269499,7978
1593269504,7995
1593269509,8013
1593269514,8031
1593269519,8050
1593269524,8068
1593269529,8087
1593269534,8106
1593269539,8123
1593269544,8141
1593269549,8160
1593269554,8179
1593269559,8197
1593269564,8214
1593269569,8233
1593269574,8249
1593269579,8267
1593269584,8286
1593269589,8305
1593269594,8324
1593269599,8341
1593269604,8360
1593269609,8376
1593269614,8395
1593269619,8414
1593269624,8431
1593269629,8449
1593269634,8466
1593269639,8484
1593269644,8502
1593269649,8519
1593269654,8538
1593269659,8557
1593269664,8576
1593269669,8595
1593269674,8612
1593269679,8630
1593269684,8649
1593269689,8667
1593269694,8683
1593269699,8701
1593269704,8718
1593269709,8735
1593269714,8752
1593269719,8769
1593269724,8787
1593269729,8805
1593269734,8823
1593269739,8841
1593269744,8859
1593269749,8877
1593269754,8896
1593269759,8914
1593269764,8933
1593269769,8951
1593269774,8969
1593269779,8988
1593269784,9005
1593269789,9021
1593269794,9039
1593269799,9058
1593269804,9076
1593269809,9093
1593269814,9112
1593269819,9130
1593269824,9148
1593269829,9165
1593269834,9181
1593269839,9199
1593269844,9216
1593269849,9235
1593269854,9252
1593269859,9270
1593269864,9287
1593269869,9303
1593269874,9323
1593269879,9340
1593269884,9359
1593269889,9377
1593269894,9393
1593269899,9410
1593269904,9428
1593269909,9446
1593269914,9464
1593269919,9483
1593269924,9502
1593269929,9519
1593269934,9537
1593269939,9555
1593269944,9572
1593269949,9590
1593269954,9607
1593269959,9626
1593269964,9644
1593269969,9662
1593269974,9681
1593269979,9700
1593269984,9716
1593269989,9734
1593269994,9752
1593269999,9771
1593270004,9790
1593270009,9809
1593270014,9828
1593270019,9846
1593270024,9864
1593270029,9883
1593270034,9902
1593270039,9921
1593270044,9939
1593270049,9957
1593270054,9975
1593270059,9993
1593270064,10012
1593270069,10030
1593270074,10048
1593270079,10065
1593270084,10083
1593270089,10101
1593270094,10119
1593270099,10136
1593270104,10155
1593270109,10174
1593270114,10193
1593270119,10212
1593270124,10230
1593270129,10248
1593270134,10265
1593270139,10283
1593270144,10299
1593270149,10318
1593270154,10337
1593270159,10354
1593270164,10372
1593270169,10391
1593270174,10410
1593270179,10428
1593270184,10446
1593270189,10464
1593270194,10483
1593270199,10500
1593270204,10519
1593270209,10538
1593270214,10556
1593270219,10573
1593270224,10591
1593270229,10609
1593270234,10628
1593270239,10646
1593270244,10663
1593270249,10682
1593270254,10700
1593270259,10717
1593270264,10734
1593270269,10753
1593270274,10770
1593270279,10787
1593270284,10805
1593270289,10823
1593270294,10840
1593270299,10858
1593270304,10876
1593270309,10894
1593270314,10911
1593270319,10928
1593270324,10946
1593270329,10965
1593270334,10984
1593270339,11002
1593270344,11020
1593270349,11038
1593270354,11056
1593270359,11074
1593270364,11091
1593270369,11109
1593270374,11127
1593270379,11146
1593270384,11162
1593270389,11179
1593270394,11197
1593270399,11216
1593270404,11235
1593270409,11251
1593270414,11268
1593270419,11286
1593270424,11304
1593270429,11322
1593270434,11339
1593270439,11357
1593270444,11376
1593270449,11392
1593270454,11409
1593270459,11427
1593270464,11445
1593270469,11462
1593270474,11481
1593270479,11498
1593270484,11516
1593270489,11534
1593270494,11552
1593270499,11568
1593270504,11586
1593270509,11603
1593270514,11621
1593270519,11640
1593270524,11659
1593270529,11678
1593270534,11696
1593270539,11714
1593270544,11732
1593270549,11749
1593270554,11768
1593270559,11787
1593270564,11805
1593270569,11821
1593270574,11839
1593270579,11857
1593270584,11876
1593270589,11895
1593270594,11911
1593270599,11927
1593270604,11946
1593270609,11964
1593270614,11982
1593270619,11998
1593270624,12016
1593270629,12033
1593270634,12051
1593270639,12069
1593270644,12086
1593270649,12105
1593270654,12123
1593270659,12142
1593270664,12161
1593270669,12180
1593270674,12197
1593270679,12215
1593270684,12233
1593270689,12250
1593270694,12269
1593270699,12286
1593270704,12305
1593270709,12323
1593270714,12340
1593270719,12356
1593270724,12375
1593270729,12390
1593270734,12409
1593270739,12427
1593270744,12445
1593270749,12464
1593270754,12483
1593270759,12500
1593270764,12516
1593270769,12535
1593270774,12552
1593270779,12570
1593270784,12588
1593270789,12606
1593270794,12625
1593270799,12643
1593270804,12661
1593270809,12680
1593270814,12695
1593270819,12713
1593270824,12730
1593270829,12747
1593270834,12766
1593270839,12782
1593270844,12800
1593270849,12819
1593270854,12836
1593270859,12854
1593270864,12873
1593270869,12891
1593270874,12910
1593270879,12929
1593270884,12947
1593270889,12965
1593270894,12982
1593270899,13000
1593270904,13014
1593270909,13014
1593270914,13014
1593270919,13014
1593270924,13014
1593270929,13014
1593270934,13014
1593270939,13014
1593270944,13014
1593270949,13014
1593270954,13014
1593270959,13014
1593270964,13014
1593270969,13014
1593270974,13014
1593270979,13014
1593270984,13014
1593270989,13014
1593270994,13014
1593270999,13014
1593271004,13014
1593271009,13014
1593271014,13014
1593271019,13014
1593271024,13014
1593271029,13014
1593271034,13014
1593271039,13014
1593271044,13014
1593271049,13014
1593271054,13014
1593271059,13014
1593271064,13014
1593271069,13014
1593271074,13014
1593271079,13014
1593271084,13014
1593271089,13014
1593271094,13014
1593271099,13014
1593271104,13014
1593271109,13014
1593271114,13014
1593271119,13014
1593271124,13014
1593271129,13014
1593271134,13014
1593271139,13014
1593271144,13014
1593271149,13014
1593271154,13014
1593271159,13014
1593271164,13014
1593271169,13014
1593271174,13014
1593271179,13014
1593271184,13014
1593271189,13014
1593271194,13014
1593271199,13014
1593271204,13014
1593271209,13014
1593271214,13014
1593271219,13014
1593271224,13014
