t,count
1593267659,6
1593267664,14
1593267669,24
1593267674,32
1593267679,40
1593267684,49
1593267689,57
1593267694,66
1593267699,75
1593267704,85
1593267709,93
1593267714,102
1593267719,111
1593267724,121
1593267729,129
1593267734,139
1593267739,150
1593267744,160
1593267749,174
1593267754,182
1593267759,192
1593267764,201
1593267769,211
1593267774,221
1593267779,231
1593267784,241
1593267789,250
1593267794,260
1593267799,271
1593267804,283
1593267809,293
1593267814,303
1593267819,314
1593267824,325
1593267829,335
1593267834,343
1593267839,355
1593267844,365
1593267849,376
1593267854,387
1593267859,399
1593267864,409
1593267869,420
1593267874,434
1593267879,442
1593267884,454
1593267889,465
1593267894,476
1593267899,487
1593267904,498
1593267909,512
1593267914,524
1593267919,536
1593267924,549
1593267929,559
1593267934,573
1593267939,584
1593267944,596
1593267949,608
1593267954,624
1593267959,636
1593267964,647
1593267969,659
1593267974,667
1593267979,681
1593267984,693
1593267989,704
1593267994,718
1593267999,729
1593268004,743
1593268009,757
1593268014,766
1593268019,780
1593268024,794
1593268029,807
1593268034,823
1593268039,837
1593268044,850
1593268049,861
1593268054,872
1593268059,881
1593268064,892
1593268069,905
1593268074,917
1593268079,929
1593268084,942
1593268089,959
1593268094,971
1593268099,980
1593268104,993
1593268109,1005
1593268114,1017
1593268119,1031
1593268124,1045
1593268129,1059
1593268134,1073
1593268139,1085
1593268144,1095
1593268149,1105
1593268154,1117
1593268159,1128
1593268164,1138
1593268169,1152
1593268174,1165
1593268179,1178
1593268184,1190
1593268189,1205
1593268194,1221
1593268199,1230
1593268204,1247
1593268209,1259
1593268214,1273
1593268219,1289
1593268224,1305
1593268229,1321
1593268234,1334
1593268239,1345
1593268244,1358
1593268249,1373
1593268254,1385
1593268259,1402
1593268264,1418
1593268269,1430
1593268274,1443
1593268279,1456
1593268284,1467
1593268289,1482
1593268294,1498
1593268299,1509
1593268304,1522
1593268309,1532
1593268314,1546
1593268319,1561
1593268324,1575
1593268329,1588
1593268334,1598
1593268339,1615
1593268344,1627
1593268349,1640
1593268354,1657
1593268359,1668
1593268364,1681
1593268369,1696
1593268374,1710
1593268379,1728
1593268384,1751
1593268389,1765
1593268394,1777
1593268399,1789
1593268404,1805
1593268409,1819
1593268414,1835
1593268419,1848
1593268424,1864
1593268429,1877
1593268434,1892
1593268439,1903
1593268444,1915
1593268449,1933
1593268454,1947
1593268459,1958
1593268464,1973
1593268469,1989
1593268474,2003
1593268479,2018
1593268484,2036
1593268489,2049
1593268494,2065
1593268499,2078
1593268504,2092
1593268509,2107
1593268514,2127
1593268519,2139
1593268524,2153
1593268529,2167
1593268534,2183
1593268539,2197
1593268544,2211
1593268549,2225
1593268554,2241
1593268559,2256
1593268564,2269
1593268569,2285
1593268574,2300
1593268579,2317
1593268584,2334
1593268589,2352
1593268594,2366
1593268599,2382
1593268604,2395
1593268609,2407
1593268614,2421
1593268619,2440
1593268624,2452
1593268629,2468
1593268634,2482
1593268639,2493
1593268644,2512
1593268649,2527
1593268654,2541
1593268659,2553
1593268664,2572
1593268669,2585
1593268674,2603
1593268679,2615
1593268684,2631
1593268689,2644
1593268694,2661
1593268699,2677
1593268704,2687
1593268709,2701
1593268714,2718
1593268719,2731
1593268724,2755
1593268729,2773
1593268734,2788
1593268739,2805
1593268744,2823
1593268749,2837
1593268754,2853
1593268759,2866
1593268764,2880
1593268769,2902
1593268774,2920
1593268779,2935
1593268784,2946
1593268789,2961
1593268794,2968
1593268799,2980
1593268804,2991
1593268809,3009
1593268814,3020
1593268819,3035
