t,count
1593267659,10001
1593267664,10001
1593267669,10001
1593267674,10001
1593267679,10001
1593267684,10001
1593267689,10001
1593267694,10001
1593267699,10001
1593267704,10001
1593267709,10001
1593267714,10001
1593267719,10001
1593267724,10001
1593267729,10001
1593267734,10001
1593267739,10001
1593267744,10001
1593267749,10001
1593267754,10001
1593267759,10001
1593267764,10001
1593267769,10001
1593267774,10001
1593267779,10001
1593267784,10001
1593267789,10001
1593267794,10001
1593267799,10001
1593267804,10001
1593267809,10001
1593267814,10001
1593267819,10001
1593267824,10001
1593267829,10001
1593267834,10001
1593267839,10001
1593267844,10001
1593267849,10001
1593267854,10001
1593267859,10001
1593267864,10001
1593267869,10001
1593267874,10001
1593267879,10001
1593267884,10001
1593267889,10001
1593267894,10001
1593267899,10001
1593267904,10001
1593267909,10001
1593267914,10001
1593267919,10001
1593267924,10001
1593267929,10001
1593267934,10001
1593267939,10001
1593267944,10001
1593267949,10001
1593267954,10001
1593267959,10001
1593267964,10001
1593267969,10001
1593267974,10001
1593267979,10001
1593267984,10001
1593267989,10001
1593267994,10001
1593267999,10001
1593268004,10001
1593268009,10001
1593268014,10001
1593268019,10001
1593268024,10001
1593268029,10001
1593268034,10001
1593268039,10001
1593268044,10001
1593268049,10001
1593268054,10001
1593268059,10001
1593268064,10001
1593268069,10001
1593268074,10001
1593268079,10001
1593268084,10001
1593268089,10001
1593268094,10001
1593268099,10001
1593268104,10001
1593268109,10001
1593268114,10001
1593268119,10001
1593268124,10001
1593268129,10001
1593268134,10001
1593268139,10001
1593268144,10001
1593268149,10001
1593268154,10001
1593268159,10001
1593268164,10001
1593268169,10001
1593268174,10001
1593268179,10001
1593268184,10001
1593268189,10001
1593268194,10001
1593268199,10001
1593268204,10001
1593268209,10001
1593268214,10001
1593268219,10001
1593268224,10001
1593268229,10001
1593268234,10001
1593268239,10001
1593268244,10001
1593268249,10001
1593268254,10001
1593268259,10001
1593268264,10001
1593268269,10001
1593268274,10001
1593268279,10001
1593268284,10001
1593268289,10001
1593268294,10001
1593268299,10001
1593268304,10001
1593268309,10001
1593268314,10001
1593268319,10001
1593268324,10001
1593268329,10001
1593268334,10001
1593268339,10001
1593268344,10001
1593268349,10001
1593268354,10001
1593268359,10001
1593268364,10001
1593268369,10001
1593268374,10001
1593268379,10001
1593268384,10001
1593268389,10001
1593268394,10001
1593268399,10001
1593268404,10001
1593268409,10001
1593268414,10001
1593268419,10001
1593268424,10001
1593268429,10001
1593268434,10001
1593268439,10001
1593268444,10001
1593268449,10001
1593268454,10001
1593268459,10001
1593268464,10001
1593268469,10001
1593268474,10001
1593268479,10001
1593268484,10001
1593268489,10001
1593268494,10001
1593268499,10001
1593268504,10001
1593268509,10001
1593268514,10001
1593268519,10001
1593268524,10001
1593268529,10001
1593268534,10001
1593268539,10001
1593268544,10001
1593268549,10001
1593268554,10001
1593268559,10001
1593268564,10001
1593268569,10001
1593268574,10001
1593268579,10001
1593268584,10001
1593268589,10001
1593268594,10001
1593268599,10001
1593268604,10001
1593268609,10001
1593268614,10001
1593268619,10001
1593268624,10001
1593268629,10001
1593268634,10001
1593268639,10001
1593268644,10001
1593268649,10001
1593268654,10001
1593268659,10001
1593268664,10001
1593268669,10001
1593268674,10001
1593268679,10001
1593268684,10001
1593268689,10001
1593268694,10001
1593268699,10001
1593268704,10001
1593268709,10001
1593268714,10001
1593268719,10001
1593268724,10001
1593268729,10001
1593268734,10001
1593268739,10001
1593268744,10001
1593268749,10001
1593268754,10001
1593268759,10001
1593268764,10001
1593268769,10001
1593268774,10001
1593268779,10001
1593268784,10001
1593268789,10001
1593268794,10001
1593268799,10001
1593268804,10001
1593268809,10001
1593268814,10001
1593268819,10001
1593268824,10001
1593268829,10001
1593268834,10001
1593268839,10001
1593268844,10001
1593268849,10001
1593268854,10001
1593268859,10001
1593268864,10001
1593268869,10001
1593268874,10001
1593268879,10001
1593268884,10001
1593268889,10001
1593268894,10001
1593268899,10001
1593268904,10001
1593268909,10001
1593268914,10001
1593268919,10001
1593268924,10001
1593268929,10001
1593268934,10001
1593268939,10001
1593268944,10001
1593268949,10001
1593268954,10001
1593268959,10001
1593268964,10001
1593268969,10001
1593268974,10001
1593268979,10001
1593268984,10001
1593268989,10001
1593268994,10001
1593268999,10001
1593269004,10001
1593269009,10001
1593269014,10001
1593269019,10001
1593269024,10001
1593269029,10001
1593269034,10001
1593269039,10001
1593269044,10001
1593269049,10001
1593269054,10001
1593269059,10001
1593269064,10001
1593269069,10001
1593269074,10001
1593269079,10001
1593269084,10001
1593269089,10001
1593269094,10001
1593269099,10001
1593269104,10001
1593269109,10001
1593269114,10001
1593269119,10001
1593269124,10001
1593269129,10001
1593269134,10001
1593269139,10001
1593269144,10001
1593269149,10001
1593269154,10001
1593269159,10001
1593269164,10001
1593269169,10001
1593269174,10001
1593269179,10001
1593269184,10001
1593269189,10001
1593269194,10001
1593269199,10001
1593269204,10001
1593269209,10001
1593269214,10001
1593269219,10001
1593269224,10001
1593269229,10001
1593269234,10001
1593269239,10001
1593269244,10001
1593269249,10001
1593269254,10001
1593269259,10001
1593269264,10001
1593269269,10001
1593269274,10001
1593269279,10001
1593269284,10001
1593269289,10001
1593269294,10001
1593269299,10001
1593269304,10001
1593269309,10001
1593269314,10001
1593269319,10001
1593269324,10001
1593269329,10001
1593269334,10001
1593269339,10001
1593269344,10001
1593269349,10001
1593269354,10001
1593269359,10001
1593269364,10001
1593269369,10001
1593269374,10001
1593269379,10001
1593269384,10001
1593269389,10001
1593269394,10001
1593269399,10001
1593269404,10001
1593269409,10001
1593269414,10001
1593269419,10001
1593269424,10001
1593269429,10001
1593269434,10001
1593269439,10001
1593269444,10001
1593269449,10001
1593269454,10001
1593269459,10001
1593269464,10001
1593269469,10001
1593269474,10001
1593269479,10001
1593269484,10001
1593269489,10001
1593269494,10001
1593269499,10001
1593269504,10001
1593269509,10001
1593269514,10001
1593269519,10001
1593269524,10001
1593269529,10001
1593269534,10001
1593269539,10001
1593269544,10001
1593269549,10001
1593269554,10001
1593269559,10001
1593269564,10001
1593269569,10001
1593269574,10001
1593269579,10001
1593269584,10001
1593269589,10001
1593269594,10001
1593269599,10001
1593269604,10001
1593269609,10001
1593269614,10001
1593269619,10001
1593269624,10001
1593269629,10001
1593269634,10001
1593269639,10001
1593269644,10001
1593269649,10001
1593269654,10001
1593269659,10001
1593269664,10001
1593269669,10001
1593269674,10001
1593269679,10001
1593269684,10001
1593269689,10001
1593269694,10001
1593269699,10001
1593269704,10001
1593269709,10001
1593269714,10001
1593269719,10001
1593269724,10001
1593269729,10001
1593269734,10001
1593269739,10001
1593269744,10001
1593269749,10001
1593269754,10001
1593269759,10001
1593269764,10001
1593269769,10001
1593269774,10001
1593269779,10001
1593269784,10001
1593269789,10001
1593269794,10001
1593269799,10001
1593269804,10001
1593269809,10001
1593269814,10001
1593269819,10001
1593269824,10001
1593269829,10001
1593269834,10001
1593269839,10001
1593269844,10001
1593269849,10001
1593269854,10001
1593269859,10001
1593269864,10001
1593269869,10001
1593269874,10001
1593269879,10001
1593269884,10001
1593269889,10001
1593269894,10001
1593269899,10001
1593269904,10001
1593269909,10001
1593269914,10001
1593269919,10001
1593269924,10001
1593269929,10001
1593269934,10001
1593269939,10001
1593269944,10001
1593269949,10001
1593269954,10001
1593269959,10001
1593269964,10001
1593269969,10001
1593269974,10001
1593269979,10001
1593269984,10001
1593269989,10001
1593269994,10001
1593269999,10001
1593270004,10001
1593270009,10001
1593270014,10001
1593270019,10001
1593270024,10001
1593270029,10001
1593270034,10001
1593270039,10001
1593270044,10001
1593270049,10001
1593270054,10001
1593270059,10001
1593270064,10001
1593270069,10001
1593270074,10001
1593270079,10001
1593270084,10001
1593270089,10001
1593270094,10001
1593270099,10001
1593270104,10001
1593270109,10001
1593270114,10001
1593270119,10001
1593270124,10001
1593270129,10001
1593270134,10001
1593270139,10001
1593270144,10001
1593270149,10001
1593270154,10001
1593270159,10001
1593270164,10001
1593270169,10001
1593270174,10001
1593270179,10001
1593270184,10001
1593270189,10001
1593270194,10001
1593270199,10001
1593270204,10001
1593270209,10001
1593270214,10001
1593270219,10001
1593270224,10001
1593270229,10001
1593270234,10001
1593270239,10001
1593270244,10001
1593270249,10001
1593270254,10001
1593270259,10001
1593270264,10001
1593270269,10001
1593270274,10001
1593270279,10001
1593270284,10001
1593270289,10001
1593270294,10001
1593270299,10001
1593270304,10001
1593270309,10001
1593270314,10001
1593270319,10001
1593270324,10001
1593270329,10001
1593270334,10001
1593270339,10001
1593270344,10001
1593270349,10001
1593270354,10001
1593270359,10001
1593270364,10001
1593270369,10001
1593270374,10001
1593270379,10001
1593270384,10001
1593270389,10001
1593270394,10001
1593270399,10001
1593270404,10001
1593270409,10001
1593270414,10001
1593270419,10001
1593270424,10001
1593270429,10001
1593270434,10001
1593270439,10001
1593270444,10001
1593270449,10001
1593270454,10001
1593270459,10001
1593270464,10001
1593270469,10001
1593270474,10001
1593270479,10001
1593270484,10001
1593270489,10001
1593270494,10001
1593270499,10001
1593270504,10001
1593270509,10001
1593270514,10001
1593270519,10001
1593270524,10001
1593270529,10001
1593270534,10001
1593270539,10001
1593270544,10001
1593270549,10001
1593270554,10001
1593270559,10001
1593270564,10001
1593270569,10001
1593270574,10001
1593270579,10001
1593270584,10001
1593270589,10001
1593270594,10001
1593270599,10001
1593270604,10001
1593270609,10001
1593270614,10001
1593270619,10001
1593270624,10001
1593270629,10001
1593270634,10001
1593270639,10001
1593270644,10001
1593270649,10001
1593270654,10001
1593270659,10001
1593270664,10001
1593270669,10001
1593270674,10001
1593270679,10001
1593270684,10001
1593270689,10001
1593270694,10001
1593270699,10001
