t,count
1593703382,18
1593703387,42
1593703392,59
1593703397,86
1593703402,114
1593703407,138
1593703412,165
1593703417,192
1593703422,214
1593703427,241
1593703432,266
1593703437,293
1593703442,320
1593703447,347
1593703452,372
1593703457,402
1593703462,423
1593703467,448
1593703472,475
1593703477,505
1593703482,532
1593703487,560
1593703492,590
1593703497,618
1593703502,648
1593703507,678
1593703512,706
1593703517,737
1593703522,769
1593703527,794
1593703532,827
1593703537,856
1593703542,887
1593703547,920
1593703552,953
1593703557,983
1593703562,1016
1593703567,1049
1593703572,1080
1593703577,1113
1593703582,1149
1593703587,1180
1593703592,1210
1593703597,1246
1593703602,1279
1593703607,1313
1593703612,1342
1593703617,1377
1593703622,1404
1593703627,1437
1593703632,1466
1593703637,1496
1593703642,1529
1593703647,1565
1593703652,1601
1593703657,1635
1593703662,1664
1593703667,1697
1593703672,1733
1593703677,1769
1593703682,1805
1593703687,1841
1593703692,1875
1593703697,1908
1593703702,1944
1593703707,1980
1593703712,2014
1593703717,2050
1593703722,2084
1593703727,2119
1593703732,2152
1593703737,2184
1593703742,2220
1593703747,2256
1593703752,2291
1593703757,2326
1593703762,2361
1593703767,2400
1593703772,2434
1593703777,2470
1593703782,2503
1593703787,2539
1593703792,2575
1593703797,2612
1593703802,2647
1593703807,2681
1593703812,2715
1593703817,2751
1593703822,2785
1593703827,2818
1593703832,2852
1593703837,2890
1593703842,2925
1593703847,2963
1593703852,2999
1593703857,3033
1593703862,3069
1593703867,3104
1593703872,3140
1593703877,3174
1593703882,3206
1593703887,3241
1593703892,3273
1593703897,3308
1593703902,3347
1593703907,3381
1593703912,3417
1593703917,3453
1593703922,3487
1593703927,3523
1593703932,3555
1593703937,3589
1593703942,3622
1593703947,3660
1593703952,3696
1593703957,3730
1593703962,3765
1593703967,3798
1593703972,3837
1593703977,3872
1593703982,3904
1593703987,3941
1593703992,3975
1593703997,4009
1593704002,4047
1593704007,4082
1593704012,4117
1593704017,4153
1593704022,4190
1593704027,4226
1593704032,4258
1593704037,4294
1593704042,4333
1593704047,4364
1593704052,4398
1593704057,4437
1593704062,4473
1593704067,4508
1593704072,4544
1593704077,4579
1593704082,4614
1593704087,4648
1593704092,4683
1593704097,4721
1593704102,4757
1593704107,4790
1593704112,4824
1593704117,4858
1593704122,4896
1593704127,4929
1593704132,4966
1593704137,5003
1593704142,5037
1593704147,5073
1593704152,5109
1593704157,5146
1593704162,5184
1593704167,5220
1593704172,5254
1593704177,5289
1593704182,5328
1593704187,5362
1593704192,5396
1593704197,5431
1593704202,5464
1593704207,5495
1593704212,5530
1593704217,5568
1593704222,5604
1593704227,5639
1593704232,5674
1593704237,5708
1593704242,5741
1593704247,5778
1593704252,5806
1593704257,5844
1593704262,5879
1593704267,5913
1593704272,5949
1593704277,5981
1593704282,6018
1593704287,6054
1593704292,6088
1593704297,6121
1593704302,6153
1593704307,6186
1593704312,6222
1593704317,6260
1593704322,6296
1593704327,6331
1593704332,6365
1593704337,6401
1593704342,6437
1593704347,6471
1593704352,6505
1593704357,6540
1593704362,6574
1593704367,6610
1593704372,6646
1593704377,6680
1593704382,6716
1593704387,6752
1593704392,6786
1593704397,6818
1593704402,6852
1593704407,6886
1593704412,6922
1593704417,6956
1593704422,6987
1593704427,7023
1593704432,7059
1593704437,7094
1593704442,7128
1593704447,7167
1593704452,7201
1593704457,7233
1593704462,7268
1593704468,7303
1593704472,7334
1593704477,7361
1593704482,7391
1593704487,7423
1593704492,7452
1593704497,7480
1593704502,7513
1593704507,7545
1593704512,7575
1593704517,7601
1593704522,7631
1593704527,7657
1593704532,7689
1593704537,7721
1593704542,7750
1593704547,7774
1593704552,7803
1593704557,7832
1593704562,7864
1593704567,7898
1593704572,7933
1593704577,7969
1593704582,8002
1593704587,8039
1593704592,8075
1593704597,8111
1593704602,8147
1593704607,8182
1593704612,8218
1593704617,8255
1593704622,8288
1593704627,8325
1593704632,8358
1593704637,8397
1593704642,8429
1593704647,8462
1593704652,8500
1593704657,8534
1593704662,8566
1593704667,8599
1593704672,8636
1593704677,8672
1593704682,8706
1593704687,8742
1593704692,8776
