t,count
1593703382,6
1593703387,14
1593703392,21
1593703397,30
1593703402,40
1593703407,48
1593703412,57
1593703417,66
1593703422,74
1593703427,83
1593703432,92
1593703437,101
1593703442,110
1593703447,119
1593703452,128
1593703457,138
1593703462,147
1593703467,156
1593703472,165
1593703477,175
1593703482,184
1593703487,194
1593703492,204
1593703497,214
1593703502,224
1593703507,234
1593703512,244
1593703517,255
1593703522,266
1593703527,276
1593703532,287
1593703537,298
1593703542,309
1593703547,320
1593703552,331
1593703557,341
1593703562,352
1593703567,363
1593703572,374
1593703577,385
1593703582,397
1593703587,408
1593703592,419
1593703597,431
1593703602,442
1593703607,454
1593703612,465
1593703617,477
1593703622,488
1593703627,500
1593703632,511
1593703637,523
1593703642,534
1593703647,546
1593703652,558
1593703657,570
1593703662,581
1593703667,593
1593703672,605
1593703677,617
1593703682,629
1593703687,641
1593703692,653
1593703697,665
1593703702,677
1593703707,689
1593703712,701
1593703717,713
1593703722,725
1593703727,737
1593703732,749
1593703737,761
1593703742,773
1593703747,785
1593703752,798
1593703757,810
1593703762,822
1593703767,835
1593703772,847
1593703777,859
1593703782,871
1593703787,883
1593703792,895
1593703797,908
1593703802,920
1593703807,933
1593703812,945
1593703817,957
1593703822,969
1593703827,982
1593703832,994
1593703837,1007
1593703842,1019
1593703847,1032
1593703852,1044
1593703857,1056
1593703862,1068
1593703867,1080
1593703872,1092
1593703877,1105
1593703882,1117
1593703887,1130
1593703892,1142
1593703897,1154
1593703902,1167
1593703907,1179
1593703912,1191
1593703917,1203
1593703922,1216
1593703927,1229
1593703932,1241
1593703937,1254
1593703942,1266
1593703947,1279
1593703952,1291
1593703957,1303
1593703962,1317
1593703967,1329
1593703972,1342
1593703977,1354
1593703982,1366
1593703987,1379
1593703992,1392
1593703997,1404
1593704002,1417
1593704007,1429
1593704012,1441
1593704017,1454
1593704022,1467
1593704027,1479
1593704032,1491
1593704037,1503
1593704042,1516
1593704047,1528
1593704052,1540
1593704057,1553
1593704062,1565
1593704067,1577
1593704072,1589
1593704077,1602
1593704082,1614
1593704087,1626
1593704092,1638
1593704097,1651
1593704102,1664
1593704107,1676
1593704112,1688
1593704117,1700
1593704122,1713
1593704127,1725
1593704132,1738
1593704137,1751
1593704142,1763
1593704147,1776
1593704152,1788
1593704157,1801
1593704162,1814
1593704167,1826
1593704172,1838
1593704177,1850
1593704182,1863
1593704187,1875
1593704192,1887
1593704197,1900
1593704202,1912
1593704207,1925
1593704212,1937
1593704217,1950
1593704222,1962
1593704227,1974
1593704232,1986
1593704237,1999
1593704242,2011
1593704247,2024
1593704252,2036
1593704257,2049
1593704262,2061
1593704267,2073
1593704272,2085
1593704277,2097
1593704282,2110
1593704287,2122
1593704292,2135
1593704297,2147
1593704302,2159
1593704307,2171
1593704312,2184
1593704317,2197
1593704322,2209
1593704327,2221
1593704332,2234
1593704337,2246
1593704342,2258
1593704347,2270
1593704352,2282
1593704357,2294
1593704362,2307
1593704367,2319
1593704372,2331
1593704377,2343
1593704382,2355
1593704387,2368
1593704392,2380
1593704397,2393
1593704402,2405
1593704407,2417
1593704412,2430
1593704417,2442
1593704422,2454
1593704427,2467
