t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593703382,2,3.005698,1.535098,0.064497,1.470601,3.005698,3.005698,3.005698,3.005698,3.005698,3.005698,0.406632,0.000000,0.000000,0.000000,calls/second,milliseconds
1593703387,3,3.005698,1.014268,0.033270,1.386936,0.064497,3.005698,3.005698,3.005698,3.005698,3.005698,0.304637,0.400000,0.400000,0.400000,calls/second,milliseconds
1593703392,3,3.005698,1.014268,0.033270,1.386936,0.064497,3.005698,3.005698,3.005698,3.005698,3.005698,0.203072,0.384009,0.396694,0.398892,calls/second,milliseconds
1593703397,3,3.005698,1.014268,0.033270,1.386936,0.064497,3.005698,3.005698,3.005698,3.005698,3.005698,0.152302,0.353305,0.390138,0.396682,calls/second,milliseconds
1593703402,3,3.005698,1.014268,0.033270,1.386936,0.064497,3.005698,3.005698,3.005698,3.005698,3.005698,0.121009,0.325057,0.383689,0.394484,calls/second,milliseconds
1593703407,3,3.005698,1.014268,0.033270,1.386936,0.064497,3.005698,3.005698,3.005698,3.005698,3.005698,0.101035,0.299066,0.377347,0.392299,calls/second,milliseconds
1593703412,4,3.005698,0.682946,0.026326,1.223126,0.033270,0.064497,3.005698,3.005698,3.005698,3.005698,0.115199,0.275154,0.371110,0.390125,calls/second,milliseconds
1593703417,5,3.005698,0.526873,0.026326,1.084876,0.064497,0.081971,3.005698,3.005698,3.005698,3.005698,0.126000,0.269145,0.368282,0.389072,calls/second,milliseconds
1593703422,5,3.005698,0.526873,0.026326,1.084876,0.064497,0.081971,3.005698,3.005698,3.005698,3.005698,0.109249,0.242539,0.359459,0.385875,calls/second,milliseconds
1593703427,5,3.005698,0.526873,0.026326,1.084876,0.064497,0.081971,3.005698,3.005698,3.005698,3.005698,0.100644,0.242539,0.359459,0.385875,calls/second,milliseconds
1593703432,5,3.005698,0.526873,0.026326,1.084876,0.064497,0.081971,3.005698,3.005698,3.005698,3.005698,0.091422,0.223147,0.353518,0.383737,calls/second,milliseconds
1593703437,6,106.888206,28.442258,0.026326,46.805095,0.081971,106.888206,106.888206,106.888206,106.888206,106.888206,0.100513,0.205305,0.347675,0.381611,calls/second,milliseconds
1593703442,7,106.888206,22.321691,0.026326,43.073004,0.064497,3.005698,106.888206,106.888206,106.888206,106.888206,0.108180,0.204881,0.345234,0.380605,calls/second,milliseconds
1593703447,7,106.888206,22.321691,0.026326,43.073004,0.064497,3.005698,106.888206,106.888206,106.888206,106.888206,0.100470,0.204491,0.342834,0.379604,calls/second,milliseconds
1593703452,7,106.888206,22.321691,0.026326,43.073004,0.064497,3.005698,106.888206,106.888206,106.888206,106.888206,0.093711,0.188140,0.337167,0.377501,calls/second,milliseconds
1593703457,9,106.888206,14.273473,0.026326,36.009448,0.066091,0.172907,106.888206,106.888206,106.888206,106.888206,0.112954,0.173098,0.331594,0.375410,calls/second,milliseconds
1593703462,9,106.888206,14.273473,0.026326,36.009448,0.066091,0.172907,106.888206,106.888206,106.888206,106.888206,0.106288,0.191240,0.332725,0.375546,calls/second,milliseconds
1593703467,9,106.888206,14.273473,0.026326,36.009448,0.066091,0.172907,106.888206,106.888206,106.888206,106.888206,0.100184,0.175949,0.327225,0.373466,calls/second,milliseconds
1593703472,10,106.888206,11.762482,0.026326,33.108686,0.081971,0.172907,106.888206,106.888206,106.888206,106.888206,0.105595,0.161881,0.321817,0.371397,calls/second,milliseconds
1593703477,10,106.888206,11.762482,0.026326,33.108686,0.081971,0.172907,106.888206,106.888206,106.888206,106.888206,0.100303,0.164929,0.319803,0.370447,calls/second,milliseconds
1593703482,11,106.888206,9.771534,0.026326,30.424710,0.103104,0.244944,106.888206,106.888206,106.888206,106.888206,0.105082,0.151742,0.314517,0.368395,calls/second,milliseconds
1593703487,13,106.888206,7.073813,0.026326,26.225199,0.072028,0.172907,106.888206,106.888206,106.888206,106.888206,0.118493,0.155600,0.312625,0.367462,calls/second,milliseconds
1593703492,14,106.888206,6.173911,0.026326,24.595876,0.072028,0.172907,106.888206,106.888206,106.888206,106.888206,0.121999,0.175141,0.314069,0.367642,calls/second,milliseconds
1593703497,15,106.888206,5.415450,0.026326,23.097373,0.072028,0.103104,3.005698,106.888206,106.888206,106.888206,0.125322,0.177129,0.312183,0.366713,calls/second,milliseconds
1593703502,16,106.888206,4.791193,0.026326,21.751480,0.096807,0.150798,3.005698,106.888206,106.888206,106.888206,0.128316,0.178958,0.310329,0.365790,calls/second,milliseconds
1593703507,17,106.888206,4.257221,0.016236,20.554387,0.072028,0.150798,3.005698,106.888206,106.888206,106.888206,0.131093,0.180640,0.308506,0.364871,calls/second,milliseconds
1593703512,17,106.888206,4.257221,0.016236,20.554387,0.072028,0.150798,3.005698,106.888206,106.888206,106.888206,0.126142,0.182188,0.306712,0.363958,calls/second,milliseconds
1593703517,18,106.888206,3.783110,0.016236,19.363861,0.096807,0.172907,0.244944,106.888206,106.888206,106.888206,0.128866,0.167621,0.301643,0.361941,calls/second,milliseconds
