t,count
1593703382,12
1593703387,28
1593703392,38
1593703397,56
1593703402,74
1593703407,90
1593703412,108
1593703417,126
1593703422,140
1593703427,158
1593703432,174
1593703437,192
1593703442,210
1593703447,228
1593703452,244
1593703457,264
1593703462,276
1593703467,292
1593703472,310
1593703477,330
1593703482,348
1593703487,366
1593703492,386
1593703497,404
1593703502,424
1593703507,444
1593703512,462
1593703517,482
1593703522,504
1593703527,520
1593703532,542
1593703537,560
1593703542,580
1593703547,602
1593703552,624
1593703557,644
1593703562,666
1593703567,688
1593703572,708
1593703577,730
1593703582,754
1593703587,774
1593703592,794
1593703597,818
1593703602,840
1593703607,862
1593703612,880
1593703617,904
1593703622,920
1593703627,942
1593703632,960
1593703637,978
1593703642,1000
1593703647,1024
1593703652,1048
1593703657,1070
1593703662,1088
1593703667,1110
1593703672,1134
1593703677,1158
1593703682,1182
1593703687,1206
1593703692,1228
1593703697,1250
1593703702,1274
1593703707,1298
1593703712,1320
1593703717,1344
1593703722,1366
1593703727,1390
1593703732,1412
1593703737,1432
1593703742,1456
1593703747,1480
1593703752,1502
1593703757,1526
1593703762,1550
1593703767,1576
1593703772,1598
1593703777,1622
1593703782,1644
1593703787,1668
1593703792,1692
1593703797,1718
1593703802,1742
1593703807,1764
1593703812,1786
1593703817,1810
1593703822,1832
1593703827,1852
1593703832,1876
1593703837,1902
1593703842,1926
1593703847,1952
1593703852,1976
1593703857,1998
1593703862,2022
1593703867,2046
1593703872,2070
1593703877,2092
1593703882,2112
1593703887,2136
1593703892,2156
1593703897,2180
1593703902,2206
1593703907,2228
1593703912,2252
1593703917,2276
1593703922,2300
1593703927,2324
1593703932,2344
1593703937,2366
1593703942,2388
1593703947,2414
1593703952,2438
1593703957,2460
1593703962,2484
1593703967,2506
1593703972,2532
1593703977,2556
1593703982,2576
1593703987,2600
1593703992,2624
1593703997,2646
1593704002,2672
1593704007,2696
1593704012,2720
1593704017,2744
1593704022,2770
1593704027,2794
1593704032,2814
1593704037,2838
1593704042,2864
1593704047,2884
1593704052,2906
1593704057,2932
1593704062,2956
1593704067,2980
1593704072,3004
1593704077,3026
1593704082,3050
1593704087,3072
1593704092,3096
1593704097,3122
1593704102,3148
1593704107,3170
1593704112,3192
1593704117,3214
1593704122,3240
1593704127,3262
1593704132,3288
1593704137,3314
1593704142,3336
1593704147,3362
1593704152,3386
1593704157,3412
1593704162,3438
1593704167,3462
1593704172,3484
1593704177,3508
1593704182,3534
1593704187,3556
1593704192,3580
1593704197,3604
1593704202,3626
1593704207,3646
1593704212,3670
1593704217,3696
1593704222,3720
1593704227,3744
1593704232,3768
1593704237,3790
1593704242,3812
1593704247,3838
1593704252,3856
1593704257,3882
1593704262,3906
1593704267,3928
1593704272,3952
1593704277,3972
1593704282,3998
1593704287,4022
1593704292,4046
1593704297,4068
1593704302,4088
1593704307,4110
1593704312,4136
1593704317,4162
1593704322,4186
1593704327,4210
1593704332,4234
1593704337,4258
1593704342,4282
1593704347,4304
1593704352,4326
1593704357,4350
1593704362,4372
1593704367,4396
1593704372,4420
1593704377,4442
1593704382,4466
1593704387,4492
1593704392,4514
1593704397,4534
1593704402,4556
1593704407,4580
1593704412,4604
1593704417,4626
1593704422,4646
1593704427,4670
1593704432,4696
1593704437,4720
1593704442,4742
1593704447,4768
1593704452,4790
1593704457,4812
1593704462,4836
1593704468,4860
1593704472,4882
1593704477,4900
1593704482,4920
1593704487,4942
1593704492,4962
1593704497,4980
1593704502,5004
1593704507,5026
1593704512,5046
1593704517,5064
1593704522,5084
1593704527,5102
1593704532,5124
1593704537,5148
1593704542,5168
1593704547,5184
1593704552,5204
1593704557,5224
1593704562,5244
1593704567,5266
1593704572,5290
1593704577,5314
1593704582,5336
1593704587,5362
1593704592,5388
1593704597,5414
1593704602,5440
1593704607,5464
1593704612,5490
1593704617,5516
1593704622,5538
1593704627,5564
1593704632,5588
1593704637,5614
1593704642,5636
1593704647,5658
1593704652,5684
1593704657,5706
1593704662,5726
1593704667,5752
1593704672,5776
1593704677,5800
1593704682,5824
1593704687,5850
1593704692,5874
1593704697,5900
1593704702,5924
1593704707,5948
1593704712,5970
1593704717,5994
1593704722,6020
1593704727,6044
1593704732,6070
1593704737,6096
1593704742,6120
1593704747,6144
1593704752,6168
1593704757,6190
1593704762,6214
1593704767,6238
1593704772,6262
1593704777,6284
1593704782,6308
1593704787,6334
1593704792,6358
1593704797,6378
1593704802,6402
1593704807,6426
1593704812,6450
1593704817,6470
1593704822,6494
1593704827,6520
1593704832,6544
1593704837,6568
1593704842,6592
1593704847,6612
1593704852,6634
1593704857,6658
1593704862,6678
1593704867,6700
1593704872,6722
1593704877,6742
1593704882,6762
1593704887,6784
1593704892,6804
1593704897,6828
1593704902,6848
1593704907,6872
1593704912,6896
1593704917,6918
1593704922,6942
1593704927,6964
1593704932,6988
1593704937,7012
1593704942,7036
1593704947,7060
1593704952,7086
1593704957,7110
1593704962,7134
1593704967,7152
1593704972,7176
1593704977,7200
1593704982,7222
1593704987,7248
1593704992,7274
1593704997,7302
1593705002,7328
1593705007,7354
1593705012,7382
1593705017,7410
1593705022,7438
1593705027,7462
1593705032,7488
1593705037,7518
1593705042,7546
1593705047,7572
1593705052,7602
1593705057,7628
1593705062,7656
1593705067,7680
1593705072,7708
1593705077,7736
1593705082,7760
1593705087,7782
1593705092,7814
1593705097,7848
1593705102,7880
1593705107,7908
1593705112,7936
1593705117,7966
1593705122,7996
1593705127,8026
1593705132,8054
1593705137,8090
1593705142,8120
1593705147,8150
1593705152,8184
1593705157,8214
1593705162,8244
1593705167,8276
1593705172,8306
1593705177,8340
1593705182,8372
1593705187,8406
1593705192,8438
1593705197,8474
1593705202,8506
1593705207,8536
1593705212,8570
1593705217,8599
1593705222,8630
1593705227,8664
1593705232,8694
1593705237,8726
1593705242,8756
1593705247,8792
1593705252,8828
1593705257,8860
1593705262,8894
1593705267,8928
1593705272,8960
1593705277,8996
1593705282,9024
1593705287,9058
1593705292,9094
1593705297,9130
1593705302,9164
1593705307,9200
1593705312,9236
1593705317,9270
1593705322,9304
1593705327,9340
1593705332,9374
1593705337,9406
1593705342,9440
1593705347,9474
1593705352,9506
1593705357,9540
1593705362,9574
1593705367,9608
1593705372,9640
1593705377,9674
1593705382,9708
1593705387,9742
1593705392,9768
1593705397,9802
1593705402,9838
1593705407,9872
1593705412,9904
1593705417,9938
1593705422,9972
1593705427,10008
1593705432,10042
1593705437,10076
1593705442,10112
1593705447,10144
1593705452,10176
1593705457,10210
1593705462,10246
1593705468,10282
1593705472,10314
1593705477,10348
1593705482,10382
1593705487,10416
1593705492,10452
1593705497,10488
1593705502,10520
1593705507,10556
1593705512,10590
1593705517,10626
1593705522,10656
1593705527,10692
1593705532,10724
1593705537,10758
1593705542,10794
1593705547,10826
1593705552,10862
1593705557,10896
1593705562,10932
1593705567,10964
1593705572,11000
1593705577,11034
1593705582,11068
1593705587,11102
1593705592,11138
1593705597,11174
1593705602,11206
1593705607,11242
1593705612,11278
1593705617,11314
1593705622,11350
1593705627,11384
1593705632,11418
1593705637,11454
1593705642,11488
1593705647,11520
1593705652,11554
1593705657,11586
1593705662,11622
1593705667,11654
1593705672,11688
1593705677,11724
1593705682,11758
1593705687,11790
1593705692,11826
1593705697,11862
1593705702,11896
1593705707,11930
1593705712,11966
1593705717,12000
1593705722,12036
1593705727,12068
1593705732,12104
1593705737,12140
1593705742,12176
1593705747,12212
1593705752,12246
1593705757,12282
1593705762,12316
1593705767,12350
1593705772,12382
1593705777,12418
1593705782,12450
1593705787,12486
1593705792,12522
1593705797,12554
1593705802,12588
1593705807,12622
1593705812,12656
1593705817,12690
1593705822,12722
1593705827,12748
1593705832,12778
1593705837,12810
1593705842,12846
1593705847,12882
1593705852,12916
1593705857,12952
1593705862,12984
1593705867,13012
1593705872,13048
1593705877,13082
1593705882,13116
1593705887,13152
1593705892,13186
1593705897,13218
1593705902,13250
1593705907,13282
1593705912,13314
1593705917,13348
1593705922,13384
1593705927,13420
1593705932,13454
1593705937,13486
1593705942,13518
1593705947,13556
1593705952,13590
1593705957,13624
1593705962,13654
1593705967,13690
1593705972,13724
1593705977,13760
1593705982,13796
1593705987,13828
1593705992,13862
1593705997,13898
1593706002,13932
1593706007,13966
1593706012,13998
1593706017,14034
1593706022,14066
1593706027,14098
1593706032,14130
1593706037,14164
1593706042,14198
1593706047,14230
1593706052,14266
1593706057,14302
1593706062,14338
1593706067,14372
1593706072,14408
1593706077,14442
1593706082,14478
1593706087,14510
1593706092,14546
1593706097,14578
1593706102,14614
1593706108,14650
1593706112,14680
1593706117,14716
1593706122,14752
1593706127,14784
1593706132,14816
1593706137,14852
1593706142,14888
1593706147,14920
1593706152,14954
1593706157,14990
1593706162,15022
1593706167,15056
1593706172,15092
1593706177,15126
1593706182,15160
1593706187,15196
1593706192,15230
1593706197,15266
1593706202,15300
1593706207,15330
1593706212,15366
1593706217,15398
1593706222,15434
1593706227,15468
1593706232,15494
1593706237,15522
1593706242,15552
1593706247,15578
1593706252,15608
1593706257,15640
1593706262,15676
1593706267,15710
1593706272,15744
1593706277,15780
1593706282,15816
1593706287,15852
1593706292,15888
1593706297,15922
1593706302,15958
1593706307,15994
1593706312,16026
1593706317,16062
1593706322,16094
1593706327,16130
1593706332,16164
1593706337,16198
1593706342,16232
1593706347,16266
1593706352,16302
1593706357,16338
1593706362,16372
1593706367,16404
1593706372,16440
1593706377,16476
1593706382,16512
1593706387,16544
1593706392,16580
1593706397,16616
1593706402,16652
1593706407,16686
1593706412,16722
1593706417,16754
1593706422,16784
1593706427,16820
1593706432,16856
1593706437,16892
1593706442,16926
1593706447,16958
1593706452,16994
1593706457,17030
1593706462,17062
1593706467,17096
1593706472,17132
1593706477,17162
1593706482,17198
1593706487,17234
1593706492,17270
1593706497,17304
1593706502,17334
1593706507,17368
1593706512,17404
1593706517,17440
1593706522,17470
1593706527,17504
1593706532,17538
1593706537,17572
1593706542,17606
1593706547,17642
1593706552,17676
1593706557,17712
1593706562,17748
1593706567,17780
1593706572,17814
1593706577,17848
1593706582,17882
1593706587,17916
1593706592,17952
1593706597,17986
1593706602,18022
1593706607,18060
1593706612,18094
1593706617,18128
1593706622,18160
1593706627,18196
1593706632,18230
1593706637,18266
1593706642,18300
1593706647,18330
1593706652,18364
1593706657,18394
1593706662,18430
1593706667,18460
1593706672,18490
1593706677,18526
1593706682,18562
1593706687,18598
1593706692,18632
1593706697,18668
1593706702,18704
1593706707,18738
1593706712,18774
1593706717,18806
1593706722,18842
1593706727,18874
1593706732,18908
1593706737,18940
1593706742,18974
1593706747,19010
1593706752,19046
1593706757,19052
1593706762,19052
1593706767,19052
1593706772,19052
1593706777,19052
1593706782,19052
1593706787,19052
1593706792,19052
1593706797,19052
1593706802,19052
1593706807,19052
1593706812,19052
1593706817,19052
1593706822,19052
1593706827,19052
1593706832,19052
1593706837,19052
1593706842,19052
1593706847,19052
1593706852,19052
1593706857,19052
1593706862,19052
1593706867,19052
1593706872,19052
1593706877,19052
1593706882,19052
1593706887,19052
1593706892,19052
1593706897,19052
1593706902,19052
1593706907,19052
1593706912,19052
1593706917,19052
