t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593703382,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1593703387,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1593703392,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1593703397,1,0.039122,0.039122,0.039122,0.000000,0.039122,0.039122,0.039122,0.039122,0.039122,0.039122,0.050771,0.000000,0.000000,0.000000,calls/second,milliseconds
1593703402,4,0.600472,0.291287,0.029952,0.254080,0.467798,0.600472,0.600472,0.600472,0.600472,0.600472,0.161343,0.015991,0.003306,0.001108,calls/second,milliseconds
1593703407,5,0.600472,0.236141,0.029723,0.249658,0.039122,0.467798,0.600472,0.600472,0.600472,0.600472,0.168397,0.062686,0.013168,0.004426,calls/second,milliseconds
1593703412,5,0.600472,0.236141,0.029723,0.249658,0.039122,0.467798,0.600472,0.600472,0.600472,0.600472,0.143988,0.073665,0.016256,0.005509,calls/second,milliseconds
1593703417,6,0.600472,0.207147,0.029723,0.229994,0.093988,0.467798,0.600472,0.600472,0.600472,0.600472,0.151203,0.067775,0.015988,0.005479,calls/second,milliseconds
1593703422,6,0.600472,0.207147,0.029723,0.229994,0.093988,0.467798,0.600472,0.600472,0.600472,0.600472,0.131099,0.072083,0.018715,0.006520,calls/second,milliseconds
1593703427,8,0.600472,0.170955,0.020860,0.201227,0.093988,0.163885,0.600472,0.600472,0.600472,0.600472,0.161032,0.072083,0.018715,0.006520,calls/second,milliseconds
1593703432,9,0.600472,0.209753,0.020860,0.208181,0.093988,0.435945,0.600472,0.600472,0.600472,0.600472,0.164562,0.098302,0.025017,0.008700,calls/second,milliseconds
