t,value
1593703382,3
1593703387,3
1593703392,3
1593703397,4
1593703402,4
1593703407,3
1593703412,4
1593703417,4
1593703422,3
1593703427,4
1593703432,4
1593703437,4
1593703442,4
1593703447,4
1593703452,4
1593703457,4
1593703462,4
1593703467,4
1593703472,4
1593703477,4
1593703482,4
1593703487,4
1593703492,4
1593703497,4
1593703502,4
1593703507,4
1593703512,4
1593703517,4
1593703522,4
1593703527,4
1593703532,4
1593703537,4
1593703542,4
1593703547,4
1593703552,4
1593703557,4
1593703562,4
1593703567,4
1593703572,4
1593703577,4
1593703582,5
1593703587,4
1593703592,4
1593703597,5
1593703602,4
1593703607,5
1593703612,4
1593703617,5
1593703622,4
1593703627,5
1593703632,4
1593703637,5
1593703642,4
1593703647,5
1593703652,5
1593703657,5
1593703662,4
1593703667,5
1593703672,5
1593703677,5
1593703682,5
1593703687,5
1593703692,5
1593703697,5
1593703702,5
1593703707,5
1593703712,5
1593703717,5
1593703722,5
1593703727,5
1593703732,5
1593703737,5
1593703742,5
1593703747,5
1593703752,5
1593703757,5
1593703762,5
1593703767,5
1593703772,5
1593703777,5
1593703782,5
1593703787,5
1593703792,5
1593703797,5
1593703802,5
1593703807,5
1593703812,5
1593703817,5
1593703822,5
1593703827,5
1593703832,5
1593703837,5
1593703842,5
1593703847,5
1593703852,5
1593703857,5
1593703862,5
1593703867,5
1593703872,5
1593703877,5
1593703882,5
1593703887,5
1593703892,5
1593703897,5
1593703902,5
1593703907,5
1593703912,5
1593703917,5
1593703922,5
1593703927,5
1593703932,5
1593703937,5
1593703942,5
1593703947,5
1593703952,5
1593703957,5
1593703962,6
1593703967,5
1593703972,5
1593703977,5
1593703982,5
1593703987,5
1593703992,5
1593703997,5
1593704002,5
1593704007,5
1593704012,5
1593704017,5
1593704022,5
1593704027,5
1593704032,5
1593704037,5
1593704042,5
1593704047,5
1593704052,5
1593704057,5
1593704062,5
1593704067,5
1593704072,5
1593704077,5
1593704082,5
1593704087,5
1593704092,5
1593704097,5
1593704102,5
1593704107,5
1593704112,5
1593704117,5
1593704122,5
1593704127,5
1593704132,5
1593704137,5
1593704142,5
1593704147,5
1593704152,5
1593704157,5
1593704162,5
1593704167,5
1593704172,5
1593704177,5
1593704182,5
1593704187,5
1593704192,5
1593704197,5
1593704202,5
1593704207,5
1593704212,5
1593704217,5
1593704222,5
1593704227,5
1593704232,5
1593704237,5
1593704242,5
1593704247,5
1593704252,5
1593704257,5
1593704262,5
1593704267,5
1593704272,5
1593704277,5
1593704282,5
1593704287,5
1593704292,5
1593704297,5
1593704302,5
1593704307,5
1593704312,5
1593704317,5
1593704322,5
1593704327,5
1593704332,5
1593704337,5
1593704342,5
1593704347,5
1593704352,5
1593704357,5
1593704362,5
1593704367,5
1593704372,5
1593704377,5
1593704382,5
1593704387,5
1593704392,5
1593704397,5
1593704402,5
1593704407,5
1593704412,5
1593704417,5
1593704422,5
1593704427,5
1593704432,5
1593704437,5
1593704442,5
1593704447,5
1593704452,5
1593704457,4
1593704462,5
1593704468,4
1593704472,5
1593704477,4
1593704482,4
1593704487,4
1593704492,4
1593704497,4
1593704502,5
1593704507,5
1593704512,4
1593704517,4
1593704522,4
1593704527,4
1593704532,4
1593704537,5
1593704542,4
1593704547,4
1593704552,4
1593704557,4
1593704562,5
1593704567,5
1593704572,5
1593704577,5
1593704582,5
1593704587,5
1593704592,5
1593704597,5
1593704602,5
1593704607,5
1593704612,5
1593704617,5
1593704622,5
1593704627,5
1593704632,5
1593704637,5
1593704642,5
1593704647,5
1593704652,5
1593704657,5
1593704662,5
1593704667,5
1593704672,5
1593704677,5
1593704682,5
1593704687,5
1593704692,5
1593704697,5
1593704702,5
1593704707,5
1593704712,5
1593704717,5
1593704722,5
1593704727,5
1593704732,5
1593704737,5
1593704742,5
1593704747,5
1593704752,5
1593704757,5
1593704762,5
1593704767,5
1593704772,5
1593704777,5
1593704782,5
1593704787,5
1593704792,5
1593704797,5
1593704802,5
1593704807,5
1593704812,5
1593704817,4
1593704822,5
1593704827,5
1593704832,5
1593704837,5
1593704842,5
1593704847,4
1593704852,4
1593704857,5
1593704862,5
1593704867,5
1593704872,4
1593704877,4
1593704882,5
1593704887,4
1593704892,4
1593704897,5
1593704902,4
1593704907,5
1593704912,5
1593704917,4
1593704922,5
1593704927,4
1593704932,5
1593704937,5
1593704942,5
1593704947,5
1593704952,5
1593704957,5
1593704962,5
1593704967,4
1593704972,5
1593704977,5
1593704982,5
1593704987,6
1593704992,5
1593704997,6
1593705002,6
1593705007,6
1593705012,6
1593705017,6
1593705022,6
1593705027,6
1593705032,6
1593705037,7
1593705042,6
1593705047,5
1593705052,6
1593705057,6
1593705062,6
1593705067,6
1593705072,7
1593705077,6
1593705082,5
1593705087,6
1593705092,6
1593705097,7
1593705102,7
1593705107,6
1593705112,6
1593705117,6
1593705122,6
1593705127,6
1593705132,6
1593705137,7
1593705142,6
1593705147,7
1593705152,7
1593705157,7
1593705162,6
1593705167,7
1593705172,6
1593705177,7
1593705182,7
1593705187,7
1593705192,7
1593705197,7
1593705202,6
1593705207,6
1593705212,7
1593705217,6
1593705222,6
1593705227,7
1593705232,7
1593705237,7
1593705242,7
1593705247,7
1593705252,7
1593705257,7
1593705262,7
1593705267,7
1593705272,7
1593705277,7
1593705282,7
1593705287,7
1593705292,7
1593705297,7
1593705302,7
1593705307,7
1593705312,7
1593705317,7
1593705322,7
1593705327,7
1593705332,7
1593705337,7
1593705342,7
1593705347,7
1593705352,7
1593705357,7
1593705362,7
1593705367,7
1593705372,7
1593705377,8
1593705382,7
1593705387,7
1593705392,7
1593705397,7
1593705402,7
1593705407,7
1593705412,7
1593705417,7
1593705422,7
1593705427,7
1593705432,7
1593705437,7
1593705442,7
1593705447,7
1593705452,7
1593705457,7
1593705462,7
1593705468,7
1593705472,7
1593705477,7
1593705482,7
1593705487,7
1593705492,7
1593705497,7
1593705502,7
1593705507,7
1593705512,7
1593705517,7
1593705522,7
1593705527,7
1593705532,7
1593705537,7
1593705542,7
1593705547,7
1593705552,7
1593705557,7
1593705562,7
1593705567,7
1593705572,7
1593705577,7
1593705582,7
1593705587,7
1593705592,7
1593705597,7
1593705602,7
1593705607,7
1593705612,7
1593705617,7
1593705622,7
1593705627,7
1593705632,7
1593705637,7
1593705642,7
1593705647,7
1593705652,7
1593705657,7
1593705662,7
1593705667,7
1593705672,7
1593705677,7
1593705682,7
1593705687,7
1593705692,7
1593705697,7
1593705702,7
1593705707,7
1593705712,7
1593705717,7
1593705722,7
1593705727,7
1593705732,7
1593705737,7
1593705742,7
1593705747,7
1593705752,7
1593705757,7
1593705762,7
1593705767,7
1593705772,7
1593705777,7
1593705782,7
1593705787,7
1593705792,7
1593705797,7
1593705802,7
1593705807,7
1593705812,7
1593705817,7
1593705822,7
1593705827,5
1593705832,6
1593705837,7
1593705842,7
1593705847,8
1593705852,7
1593705857,7
1593705862,7
1593705867,7
1593705872,7
1593705877,7
1593705882,7
1593705887,7
1593705892,7
1593705897,7
1593705902,7
