t,count
1593703382,6
1593703387,14
1593703392,19
1593703397,28
1593703402,37
1593703407,45
1593703412,54
1593703417,63
1593703422,70
1593703427,79
1593703432,87
1593703437,96
1593703442,105
1593703447,114
1593703452,122
1593703457,132
1593703462,138
1593703467,146
1593703472,155
1593703477,165
1593703482,174
1593703487,183
1593703492,193
1593703497,202
1593703502,212
1593703507,222
1593703512,231
1593703517,241
1593703522,252
1593703527,260
1593703532,271
1593703537,280
1593703542,290
1593703547,301
1593703552,312
1593703557,322
1593703562,333
1593703567,344
1593703572,354
1593703577,365
1593703582,377
1593703587,387
1593703592,397
1593703597,409
1593703602,420
1593703607,431
1593703612,440
1593703617,452
1593703622,460
1593703627,471
1593703632,480
1593703637,489
1593703642,500
1593703647,512
1593703652,524
1593703657,535
1593703662,544
1593703667,555
1593703672,567
1593703677,579
1593703682,591
1593703687,603
1593703692,614
1593703697,625
1593703702,637
1593703707,649
1593703712,660
1593703717,672
1593703722,683
1593703727,695
1593703732,706
1593703737,716
1593703742,728
1593703747,740
1593703752,751
1593703757,763
1593703762,775
1593703767,788
1593703772,799
1593703777,811
1593703782,822
1593703787,834
1593703792,846
1593703797,859
1593703802,871
1593703807,882
1593703812,893
1593703817,905
1593703822,916
1593703827,926
1593703832,938
1593703837,951
1593703842,963
1593703847,976
1593703852,988
1593703857,999
1593703862,1011
1593703867,1023
1593703872,1035
1593703877,1046
1593703882,1056
1593703887,1068
1593703892,1078
1593703897,1090
1593703902,1103
1593703907,1114
1593703912,1126
1593703917,1138
1593703922,1150
1593703927,1162
1593703932,1172
1593703937,1183
1593703942,1194
1593703947,1207
1593703952,1219
1593703957,1230
1593703962,1242
1593703967,1253
1593703972,1266
1593703977,1278
1593703982,1288
1593703987,1300
1593703992,1312
1593703997,1323
1593704002,1336
1593704007,1348
1593704012,1360
1593704017,1372
1593704022,1385
1593704027,1397
1593704032,1407
1593704037,1419
1593704042,1432
1593704047,1442
1593704052,1453
1593704057,1466
1593704062,1478
1593704067,1490
1593704072,1502
1593704077,1513
1593704082,1525
1593704087,1536
1593704092,1548
1593704097,1561
1593704102,1574
1593704107,1585
1593704112,1596
1593704117,1607
1593704122,1620
1593704127,1631
1593704132,1644
1593704137,1657
1593704142,1668
1593704147,1681
1593704152,1693
1593704157,1706
1593704162,1719
1593704167,1731
1593704172,1742
1593704177,1754
1593704182,1767
1593704187,1778
1593704192,1790
1593704197,1802
1593704202,1813
1593704207,1823
1593704212,1835
1593704217,1848
1593704222,1860
1593704227,1872
1593704232,1884
1593704237,1895
1593704242,1906
1593704247,1919
1593704252,1928
1593704257,1941
1593704262,1953
1593704267,1964
1593704272,1976
1593704277,1986
1593704282,1999
1593704287,2011
1593704292,2023
1593704297,2034
1593704302,2044
1593704307,2055
1593704312,2068
1593704317,2081
1593704322,2093
1593704327,2105
1593704332,2117
1593704337,2129
1593704342,2141
1593704347,2152
1593704352,2163
1593704357,2175
1593704362,2186
1593704367,2198
1593704372,2210
1593704377,2221
1593704382,2233
1593704387,2246
1593704392,2257
1593704397,2267
1593704402,2278
1593704407,2290
1593704412,2302
1593704417,2313
1593704422,2323
1593704427,2335
