t,count
1593703382,12
1593703387,28
1593703392,42
1593703397,60
1593703402,80
1593703407,96
1593703412,114
1593703417,132
1593703422,148
1593703427,166
1593703432,184
1593703437,202
1593703442,220
1593703447,238
1593703452,256
1593703457,276
1593703462,294
1593703467,312
1593703472,330
1593703477,350
1593703482,368
1593703487,388
1593703492,408
1593703497,428
1593703502,448
1593703507,468
1593703512,488
1593703517,510
1593703522,532
1593703527,552
1593703532,574
1593703537,596
1593703542,618
1593703547,640
1593703552,662
1593703557,682
1593703562,704
1593703567,726
1593703572,748
1593703577,770
1593703582,794
1593703587,816
1593703592,840
1593703597,862
1593703602,884
1593703607,908
1593703612,930
1593703617,954
1593703622,976
1593703627,1000
1593703632,1022
1593703637,1046
1593703642,1068
1593703647,1092
1593703652,1116
1593703657,1140
1593703662,1162
1593703667,1186
1593703672,1210
1593703677,1234
1593703682,1258
1593703687,1282
1593703692,1306
1593703697,1330
1593703702,1354
1593703707,1378
1593703712,1402
1593703717,1426
1593703722,1450
1593703727,1474
1593703732,1498
1593703737,1522
1593703742,1546
1593703747,1570
1593703752,1596
1593703757,1620
1593703762,1644
1593703767,1670
1593703772,1694
1593703777,1718
1593703782,1742
1593703787,1766
1593703792,1790
1593703797,1816
1593703802,1842
1593703807,1866
1593703812,1890
1593703817,1914
1593703822,1938
1593703827,1964
1593703832,1988
1593703837,2014
1593703842,2038
1593703847,2064
1593703852,2088
1593703857,2112
1593703862,2136
1593703867,2160
1593703872,2184
1593703877,2210
1593703882,2234
1593703887,2260
1593703892,2284
1593703897,2308
1593703902,2334
1593703907,2358
1593703912,2382
1593703917,2406
1593703922,2432
1593703927,2458
1593703932,2482
1593703937,2508
1593703942,2532
1593703947,2558
1593703952,2582
1593703957,2606
1593703962,2634
1593703967,2658
1593703972,2684
1593703977,2708
1593703982,2732
1593703987,2758
1593703992,2784
1593703997,2808
1593704002,2834
1593704007,2858
1593704012,2882
1593704017,2908
1593704022,2934
1593704027,2958
1593704032,2982
1593704037,3006
1593704042,3032
1593704047,3056
1593704052,3080
1593704057,3106
1593704062,3130
1593704067,3154
1593704072,3178
1593704077,3204
1593704082,3228
1593704087,3252
1593704092,3276
1593704097,3302
1593704102,3328
1593704107,3352
1593704112,3376
1593704117,3400
1593704122,3426
1593704127,3450
1593704132,3476
1593704137,3502
1593704142,3526
1593704147,3552
1593704152,3576
1593704157,3602
1593704162,3628
1593704167,3652
1593704172,3676
1593704177,3700
1593704182,3726
1593704187,3750
1593704192,3774
1593704197,3800
1593704202,3824
1593704207,3850
1593704212,3874
1593704217,3900
1593704222,3924
1593704227,3948
1593704232,3972
1593704237,3998
1593704242,4022
1593704247,4048
1593704252,4072
1593704257,4098
1593704262,4122
1593704267,4146
1593704272,4170
1593704277,4194
1593704282,4220
1593704287,4244
1593704292,4270
1593704297,4294
1593704302,4318
1593704307,4342
1593704312,4368
1593704317,4394
1593704322,4418
1593704327,4442
1593704332,4468
1593704337,4492
1593704342,4516
1593704347,4540
1593704352,4564
1593704357,4588
1593704362,4614
1593704367,4638
1593704372,4662
1593704377,4686
1593704382,4710
1593704387,4736
1593704392,4760
1593704397,4786
1593704402,4810
1593704407,4834
1593704412,4860
1593704417,4884
1593704422,4908
1593704427,4934
1593704432,4960
1593704437,4984
1593704442,5010
1593704447,5034
1593704452,5058
1593704457,5080
1593704462,5104
1593704468,5128
1593704472,5150
1593704477,5170
1593704482,5192
1593704487,5214
1593704492,5234
1593704497,5254
1593704502,5278
1593704507,5302
1593704512,5322
1593704517,5342
1593704522,5364
1593704527,5384
1593704532,5406
1593704537,5432
1593704542,5452
1593704547,5472
1593704552,5492
1593704557,5512
1593704562,5538
1593704567,5562
1593704572,5588
1593704577,5612
1593704582,5636
1593704587,5662
1593704592,5688
1593704597,5714
1593704602,5740
1593704607,5764
1593704612,5790
1593704617,5816
1593704622,5840
1593704627,5866
1593704632,5890
1593704637,5916
1593704642,5940
1593704647,5964
1593704652,5990
1593704657,6014
1593704662,6038
1593704667,6064
1593704672,6088
1593704677,6112
1593704682,6136
1593704687,6162
1593704692,6188
1593704697,6214
1593704702,6238
1593704707,6262
1593704712,6288
1593704717,6312
1593704722,6338
1593704727,6362
1593704732,6388
1593704737,6414
1593704742,6438
1593704747,6464
1593704752,6490
1593704757,6514
1593704762,6538
1593704767,6562
1593704772,6586
1593704777,6610
1593704782,6634
1593704787,6660
1593704792,6684
1593704797,6708
1593704802,6732
1593704807,6756
1593704812,6780
1593704817,6802
1593704822,6826
1593704827,6852
1593704832,6876
1593704837,6902
1593704842,6926
1593704847,6948
1593704852,6970
1593704857,6994
1593704862,7018
1593704867,7044
1593704872,7066
1593704877,7088
1593704882,7112
1593704887,7134
1593704892,7156
1593704897,7182
1593704902,7204
1593704907,7230
1593704912,7254
1593704917,7276
1593704922,7300
1593704927,7324
1593704932,7348
1593704937,7374
1593704942,7400
1593704947,7424
1593704952,7450
1593704957,7474
1593704962,7500
1593704967,7522
1593704972,7548
1593704977,7572
1593704982,7596
1593704987,7626
1593704992,7652
1593704997,7680
1593705002,7708
1593705007,7738
1593705012,7766
1593705017,7796
1593705022,7826
1593705027,7854
1593705032,7884
1593705037,7918
1593705042,7946
1593705047,7972
1593705052,8004
1593705057,8032
1593705062,8060
1593705067,8090
1593705072,8122
1593705077,8152
1593705082,8178
1593705087,8206
1593705092,8238
1593705097,8272
1593705102,8306
1593705107,8336
1593705112,8366
1593705117,8396
1593705122,8428
1593705127,8460
1593705132,8488
1593705137,8524
1593705142,8556
1593705147,8590
1593705152,8624
1593705157,8658
1593705162,8690
1593705167,8724
1593705172,8756
1593705177,8790
1593705182,8824
1593705187,8860
1593705192,8894
1593705197,8930
1593705202,8962
1593705207,8994
1593705212,9030
1593705217,9062
1593705222,9092
1593705227,9128
1593705232,9162
1593705237,9198
1593705242,9232
1593705247,9268
1593705252,9304
1593705257,9338
1593705262,9374
1593705267,9408
1593705272,9442
1593705277,9478
1593705282,9514
1593705287,9548
1593705292,9584
1593705297,9620
1593705302,9654
1593705307,9690
1593705312,9726
1593705317,9762
1593705322,9798
1593705327,9834
1593705332,9870
1593705337,9906
1593705342,9942
1593705347,9976
1593705352,10010
1593705357,10046
1593705362,10082
1593705367,10118
1593705372,10152
1593705377,10190
1593705382,10226
1593705387,10262
1593705392,10298
1593705397,10334
1593705402,10370
1593705407,10406
1593705412,10442
1593705417,10478
1593705422,10514
1593705427,10550
1593705432,10586
1593705437,10622
1593705442,10658
1593705447,10694
1593705452,10730
1593705457,10766
1593705462,10802
1593705468,10840
1593705472,10874
1593705477,10910
1593705482,10946
1593705487,10982
1593705492,11018
1593705497,11054
1593705502,11090
1593705507,11126
1593705512,11162
1593705517,11198
1593705522,11234
1593705527,11270
1593705532,11306
1593705537,11342
1593705542,11378
1593705547,11414
1593705552,11450
1593705557,11486
1593705562,11522
1593705567,11558
1593705572,11594
1593705577,11630
1593705582,11666
1593705587,11702
1593705592,11738
1593705597,11774
1593705602,11808
1593705607,11844
1593705612,11880
1593705617,11916
1593705622,11952
1593705627,11988
1593705632,12024
1593705637,12060
1593705642,12096
1593705647,12132
1593705652,12168
1593705657,12204
1593705662,12240
1593705667,12276
1593705672,12312
1593705677,12348
1593705682,12384
1593705687,12420
1593705692,12456
1593705697,12492
1593705702,12528
1593705707,12564
1593705712,12600
1593705717,12636
1593705722,12672
1593705727,12708
1593705732,12744
1593705737,12780
1593705742,12816
1593705747,12852
1593705752,12888
1593705757,12924
1593705762,12960
1593705767,12996
1593705772,13032
1593705777,13068
1593705782,13104
1593705787,13140
1593705792,13176
1593705797,13212
1593705802,13246
1593705807,13282
1593705812,13318
1593705817,13352
1593705822,13386
1593705827,13412
1593705832,13444
1593705837,13480
1593705842,13516
1593705847,13552
1593705852,13588
1593705857,13624
1593705862,13660
1593705867,13696
1593705872,13732
1593705877,13768
1593705882,13804
1593705887,13840
1593705892,13876
1593705897,13912
1593705902,13946
1593705907,13982
1593705912,14018
1593705917,14054
1593705922,14090
1593705927,14126
1593705932,14162
1593705937,14198
1593705942,14232
1593705947,14270
1593705952,14306
1593705957,14340
1593705962,14376
1593705967,14414
1593705972,14448
1593705977,14484
1593705982,14520
1593705987,14556
1593705992,14592
1593705997,14628
1593706002,14664
1593706007,14700
1593706012,14736
1593706017,14772
1593706022,14808
1593706027,14844
1593706032,14880
1593706037,14916
1593706042,14952
1593706047,14988
1593706052,15024
1593706057,15060
1593706062,15096
1593706067,15132
1593706072,15168
1593706077,15204
1593706082,15240
1593706087,15276
1593706092,15312
1593706097,15348
1593706102,15384
1593706108,15422
1593706112,15456
1593706117,15492
1593706122,15528
1593706127,15564
1593706132,15600
1593706137,15636
1593706142,15672
1593706147,15708
1593706152,15742
1593706157,15778
1593706162,15814
1593706167,15850
1593706172,15886
1593706177,15922
1593706182,15958
1593706187,15994
1593706192,16028
1593706197,16064
1593706202,16098
1593706207,16134
1593706212,16170
1593706217,16206
1593706222,16242
1593706227,16276
1593706232,16306
1593706237,16334
1593706242,16364
1593706247,16392
1593706252,16424
1593706257,16458
1593706262,16494
1593706267,16530
1593706272,16564
1593706277,16600
1593706282,16636
1593706287,16672
1593706292,16708
1593706297,16742
1593706302,16778
1593706307,16814
1593706312,16848
1593706317,16884
1593706322,16920
1593706327,16956
1593706332,16992
1593706337,17026
1593706342,17062
1593706347,17098
1593706352,17134
1593706357,17170
1593706362,17206
1593706367,17242
1593706372,17278
1593706377,17314
1593706382,17350
1593706387,17386
1593706392,17422
1593706397,17458
1593706402,17494
1593706407,17530
1593706412,17566
1593706417,17602
1593706422,17638
1593706427,17674
1593706432,17710
1593706437,17746
1593706442,17782
1593706447,17818
1593706452,17854
1593706457,17890
1593706462,17924
1593706467,17960
1593706472,17996
1593706477,18032
1593706482,18068
1593706487,18104
1593706492,18140
1593706497,18174
1593706502,18210
1593706507,18246
1593706512,18282
1593706517,18318
1593706522,18354
1593706527,18390
1593706532,18426
1593706537,18462
1593706542,18498
1593706547,18534
1593706552,18568
1593706557,18604
1593706562,18640
1593706567,18676
1593706572,18712
1593706577,18748
1593706582,18784
1593706587,18820
1593706592,18856
1593706597,18890
1593706602,18926
1593706607,18964
1593706612,19000
1593706617,19036
1593706622,19070
1593706627,19106
1593706632,19142
1593706637,19178
1593706642,19214
1593706647,19248
1593706652,19286
1593706657,19320
1593706662,19356
1593706667,19386
1593706672,19416
1593706677,19452
1593706682,19488
1593706687,19524
1593706692,19560
1593706697,19596
1593706702,19632
1593706707,19668
1593706712,19704
1593706717,19740
1593706722,19776
1593706727,19812
1593706732,19848
1593706737,19884
1593706742,19920
1593706747,19956
1593706752,19992
1593706757,20002
1593706762,20002
1593706767,20002
1593706772,20002
1593706777,20002
1593706782,20002
1593706787,20002
1593706792,20002
1593706797,20002
1593706802,20002
1593706807,20002
1593706812,20002
1593706817,20002
1593706822,20002
1593706827,20002
1593706832,20002
1593706837,20002
1593706842,20002
1593706847,20002
1593706852,20002
1593706857,20002
1593706862,20002
1593706867,20002
1593706872,20002
1593706877,20002
1593706882,20002
1593706887,20002
1593706892,20002
1593706897,20002
1593706902,20002
1593706907,20002
1593706912,20002
1593706917,20002
