t,value
1593703382,4294967296
1593703387,4294967296
1593703392,4294967296
1593703397,4294967296
1593703402,4294967296
1593703407,4294967296
1593703412,4294967296
1593703417,4294967296
1593703422,4294967296
1593703427,4294967296
1593703432,4294967296
1593703437,4294967296
1593703442,4294967296
1593703447,4294967296
1593703452,4294967296
1593703457,4294967296
1593703462,4294967296
1593703467,4294967296
1593703472,4294967296
1593703477,4294967296
1593703482,4294967296
1593703487,4294967296
1593703492,4294967296
1593703497,4294967296
1593703502,4294967296
1593703507,4294967296
1593703512,4294967296
1593703517,4294967296
1593703522,4294967296
1593703527,4294967296
1593703532,4294967296
1593703537,4294967296
1593703542,4294967296
1593703547,4294967296
1593703552,4294967296
1593703557,4294967296
1593703562,4294967296
1593703567,4294967296
1593703572,4294967296
1593703577,4294967296
1593703582,4294967296
1593703587,4294967296
1593703592,4294967296
1593703597,4294967296
1593703602,4294967296
1593703607,4294967296
1593703612,4294967296
1593703617,4294967296
1593703622,4294967296
1593703627,4294967296
1593703632,4294967296
1593703637,4294967296
1593703642,4294967296
1593703647,4294967296
1593703652,4294967296
1593703657,4294967296
1593703662,4294967296
1593703667,4294967296
1593703672,4294967296
1593703677,4294967296
1593703682,4294967296
1593703687,4294967296
1593703692,4294967296
1593703697,4294967296
1593703702,4294967296
1593703707,4294967296
1593703712,4294967296
1593703717,4294967296
1593703722,4294967296
1593703727,4294967296
1593703732,4294967296
1593703737,4294967296
1593703742,4294967296
1593703747,4294967296
1593703752,4294967296
1593703757,4294967296
1593703762,4294967296
1593703767,4294967296
1593703772,4294967296
1593703777,4294967296
1593703782,4294967296
1593703787,4294967296
1593703792,4294967296
1593703797,4294967296
1593703802,4294967296
1593703807,4294967296
1593703812,4294967296
1593703817,4294967296
1593703822,4294967296
1593703827,4294967296
1593703832,4294967296
1593703837,4294967296
1593703842,4294967296
1593703847,4294967296
1593703852,4294967296
1593703857,4294967296
1593703862,4294967296
1593703867,4294967296
1593703872,4294967296
1593703877,4294967296
1593703882,4294967296
1593703887,4294967296
1593703892,4294967296
1593703897,4294967296
1593703902,4294967296
1593703907,4294967296
1593703912,4294967296
1593703917,4294967296
1593703922,4294967296
1593703927,4294967296
1593703932,4294967296
1593703937,4294967296
1593703942,4294967296
1593703947,4294967296
1593703952,4294967296
1593703957,4294967296
1593703962,4294967296
1593703967,4294967296
1593703972,4294967296
1593703977,4294967296
1593703982,4294967296
1593703987,4294967296
1593703992,4294967296
1593703997,4294967296
1593704002,4294967296
1593704007,4294967296
1593704012,4294967296
1593704017,4294967296
1593704022,4294967296
1593704027,4294967296
1593704032,4294967296
1593704037,4294967296
1593704042,4294967296
1593704047,4294967296
1593704052,4294967296
1593704057,4294967296
1593704062,4294967296
1593704067,4294967296
1593704072,4294967296
1593704077,4294967296
1593704082,4294967296
1593704087,4294967296
1593704092,4294967296
1593704097,4294967296
1593704102,4294967296
1593704107,4294967296
1593704112,4294967296
1593704117,4294967296
1593704122,4294967296
1593704127,4294967296
1593704132,4294967296
1593704137,4294967296
1593704142,4294967296
1593704147,4294967296
1593704152,4294967296
1593704157,4294967296
1593704162,4294967296
1593704167,4294967296
1593704172,4294967296
1593704177,4294967296
1593704182,4294967296
1593704187,4294967296
1593704192,4294967296
1593704197,4294967296
1593704202,4294967296
1593704207,4294967296
1593704212,4294967296
1593704217,4294967296
1593704222,4294967296
1593704227,4294967296
1593704232,4294967296
1593704237,4294967296
1593704242,4294967296
1593704247,4294967296
1593704252,4294967296
1593704257,4294967296
1593704262,4294967296
1593704267,4294967296
1593704272,4294967296
1593704277,4294967296
1593704282,4294967296
1593704287,4294967296
1593704292,4294967296
1593704297,4294967296
1593704302,4294967296
