t,value
1593703382,15335424
1593703387,15794176
1593703392,16252928
1593703397,16515072
1593703402,16711680
1593703407,16842752
1593703412,16842752
1593703417,16973824
1593703422,17039360
1593703427,17039360
1593703432,17170432
1593703437,17170432
1593703442,17170432
1593703447,17301504
1593703452,17432576
1593703457,17498112
1593703462,17563648
1593703467,17629184
1593703472,17629184
1593703477,17694720
1593703482,17825792
1593703487,17825792
1593703492,17825792
1593703497,17825792
1593703502,17956864
1593703507,17956864
1593703512,18087936
1593703517,18087936
1593703522,18087936
1593703527,18087936
1593703532,18087936
1593703537,18153472
1593703542,18153472
1593703547,18153472
1593703552,18153472
1593703557,18153472
1593703562,18153472
1593703567,18153472
1593703572,18153472
1593703577,18153472
1593703582,18153472
1593703587,18153472
1593703592,18153472
1593703597,18153472
1593703602,18153472
1593703607,18153472
1593703612,18153472
1593703617,18153472
1593703622,18153472
1593703627,18153472
1593703632,18153472
1593703637,18153472
1593703642,18284544
1593703647,18284544
1593703652,18284544
1593703657,18284544
1593703662,18284544
1593703667,18284544
1593703672,18284544
1593703677,18284544
1593703682,18284544
1593703687,18284544
1593703692,18284544
1593703697,18284544
1593703702,18284544
1593703707,18284544
1593703712,18284544
1593703717,18284544
1593703722,18284544
1593703727,18284544
1593703732,18284544
1593703737,18284544
1593703742,18284544
1593703747,18284544
1593703752,18284544
1593703757,18284544
1593703762,18284544
1593703767,18284544
1593703772,18284544
1593703777,18284544
1593703782,18284544
1593703787,18284544
1593703792,18284544
1593703797,18284544
1593703802,18284544
1593703807,18284544
1593703812,18284544
1593703817,18284544
1593703822,18284544
1593703827,18284544
1593703832,18284544
1593703837,18284544
1593703842,18284544
1593703847,18284544
1593703852,18284544
1593703857,18284544
1593703862,18284544
1593703867,18284544
1593703872,18284544
1593703877,18284544
1593703882,18284544
1593703887,18284544
1593703892,18284544
1593703897,18284544
1593703902,18284544
1593703907,18284544
1593703912,18284544
1593703917,18284544
1593703922,18284544
1593703927,18284544
1593703932,18284544
1593703937,18284544
1593703942,18284544
1593703947,18284544
1593703952,18284544
1593703957,18284544
1593703962,18284544
1593703967,18284544
1593703972,18284544
1593703977,18284544
1593703982,18284544
1593703987,18284544
1593703992,18284544
1593703997,18284544
1593704002,18284544
1593704007,18284544
1593704012,18284544
1593704017,18284544
1593704022,18284544
1593704027,18284544
1593704032,18284544
1593704037,18284544
1593704042,18284544
1593704047,18284544
1593704052,18284544
1593704057,18284544
1593704062,18284544
1593704067,18284544
1593704072,18284544
1593704077,18284544
1593704082,18284544
1593704087,18284544
1593704092,18284544
1593704097,18284544
1593704102,18284544
1593704107,18284544
1593704112,18284544
1593704117,18284544
1593704122,18284544
1593704127,18284544
1593704132,18284544
1593704137,18284544
1593704142,18284544
1593704147,18284544
1593704152,18284544
1593704157,18284544
1593704162,18284544
1593704167,18284544
1593704172,18284544
1593704177,18284544
1593704182,18284544
1593704187,18284544
1593704192,18284544
1593704197,18284544
1593704202,18284544
1593704207,18284544
1593704212,18284544
1593704217,18350080
1593704222,18350080
1593704227,18350080
1593704232,18350080
1593704237,18350080
1593704242,18350080
1593704247,18350080
1593704252,18350080
1593704257,18350080
1593704262,18350080
1593704267,18350080
1593704272,18350080
1593704277,18350080
1593704282,18350080
1593704287,18350080
1593704292,18350080
1593704297,18350080
1593704302,18350080
1593704307,18350080
1593704312,18350080
1593704317,18350080
1593704322,18350080
1593704327,18350080
1593704332,18350080
1593704337,18350080
1593704342,18350080
1593704347,18350080
1593704352,18350080
1593704357,18350080
1593704362,18350080
1593704367,18350080
1593704372,18350080
1593704377,18350080
1593704382,18350080
1593704387,18350080
1593704392,18350080
1593704397,18350080
1593704402,18350080
1593704407,18350080
1593704412,18350080
1593704417,18350080
1593704422,18350080
1593704427,18350080
1593704432,18350080
1593704437,18350080
1593704442,18350080
1593704447,18350080
1593704452,18350080
1593704457,18350080
1593704462,18350080
1593704468,18350080
1593704472,18350080
1593704477,18350080
1593704482,18350080
1593704487,18350080
1593704492,18350080
1593704497,18350080
1593704502,18350080
1593704507,18350080
1593704512,18350080
1593704517,18350080
1593704522,18350080
1593704527,18350080
1593704532,18350080
1593704537,18350080
1593704542,18350080
1593704547,18350080
1593704552,18350080
1593704557,18350080
1593704562,18350080
1593704567,18350080
1593704572,18350080
1593704577,18350080
1593704582,18350080
1593704587,18350080
1593704592,18350080
1593704597,18350080
1593704602,18350080
1593704607,18350080
1593704612,18350080
1593704617,18350080
1593704622,18350080
1593704627,18350080
1593704632,18350080
1593704637,18350080
1593704642,18350080
1593704647,18350080
1593704652,18612224
1593704657,18612224
1593704662,18612224
1593704667,18677760
1593704672,18677760
1593704677,18677760
1593704682,18677760
1593704687,18677760
1593704692,18677760
1593704697,18677760
1593704702,18677760
