t,value
1593703382,2555904
1593703387,2555904
1593703392,2555904
1593703397,2555904
1593703402,2555904
1593703407,2555904
1593703412,2555904
1593703417,2555904
1593703422,2555904
1593703427,2555904
1593703432,2555904
1593703437,2555904
1593703442,2555904
1593703447,2555904
1593703452,2555904
1593703457,2555904
1593703462,2555904
1593703467,2555904
1593703472,2555904
1593703477,2555904
1593703482,2555904
1593703487,2555904
1593703492,2555904
1593703497,2555904
1593703502,2555904
1593703507,2555904
1593703512,2555904
1593703517,2555904
1593703522,2555904
1593703527,2555904
1593703532,2555904
1593703537,2555904
1593703542,2555904
1593703547,2555904
1593703552,2555904
1593703557,2555904
1593703562,2555904
1593703567,2555904
1593703572,2555904
1593703577,2555904
1593703582,2555904
1593703587,2555904
1593703592,2555904
1593703597,2555904
1593703602,2555904
1593703607,2555904
1593703612,2555904
1593703617,2555904
1593703622,2555904
1593703627,2555904
1593703632,2555904
1593703637,2555904
1593703642,2555904
1593703647,2555904
1593703652,2555904
1593703657,2555904
1593703662,2555904
1593703667,2555904
1593703672,2555904
1593703677,2555904
1593703682,2555904
1593703687,2555904
1593703692,2555904
1593703697,2555904
1593703702,2555904
1593703707,2555904
1593703712,2555904
1593703717,2555904
1593703722,2555904
1593703727,2555904
1593703732,2555904
1593703737,2555904
1593703742,2555904
1593703747,2555904
1593703752,2555904
1593703757,2555904
1593703762,2555904
1593703767,2555904
1593703772,2555904
1593703777,2555904
1593703782,2555904
1593703787,2555904
1593703792,2555904
1593703797,2555904
1593703802,2555904
1593703807,2555904
1593703812,2555904
1593703817,2555904
1593703822,2555904
1593703827,2555904
1593703832,2555904
1593703837,2555904
1593703842,2555904
1593703847,2555904
1593703852,2555904
1593703857,2555904
1593703862,2555904
1593703867,2555904
1593703872,2555904
1593703877,2555904
1593703882,2555904
1593703887,2555904
1593703892,2555904
1593703897,2555904
1593703902,2555904
1593703907,2555904
1593703912,2555904
1593703917,2555904
1593703922,2555904
1593703927,2555904
1593703932,2555904
1593703937,2555904
1593703942,2555904
1593703947,2555904
1593703952,2555904
1593703957,2555904
1593703962,2555904
1593703967,2555904
1593703972,2555904
1593703977,2555904
1593703982,2555904
1593703987,2555904
1593703992,2555904
1593703997,2555904
1593704002,2555904
1593704007,2555904
1593704012,2555904
1593704017,2555904
1593704022,2555904
1593704027,2555904
1593704032,2555904
1593704037,2555904
1593704042,2555904
1593704047,2555904
1593704052,2555904
1593704057,2555904
1593704062,2555904
1593704067,2555904
1593704072,2555904
1593704077,2555904
1593704082,2555904
1593704087,2555904
1593704092,2555904
1593704097,2555904
1593704102,2555904
1593704107,2555904
1593704112,2555904
1593704117,2555904
1593704122,2555904
1593704127,2555904
1593704132,2555904
1593704137,2555904
1593704142,2555904
1593704147,2555904
1593704152,2555904
1593704157,2555904
1593704162,2555904
1593704167,2555904
1593704172,2555904
1593704177,2555904
1593704182,2555904
1593704187,2555904
1593704192,2555904
1593704197,2555904
1593704202,2555904
1593704207,2555904
1593704212,2555904
1593704217,2555904
1593704222,2555904
1593704227,2555904
1593704232,2555904
1593704237,2555904
1593704242,2555904
1593704247,2555904
1593704252,2555904
1593704257,2555904
1593704262,2555904
1593704267,2555904
1593704272,2555904
1593704277,2555904
1593704282,2555904
1593704287,2555904
1593704292,2555904
1593704297,2555904
1593704302,2555904
1593704307,2555904
1593704312,2555904
1593704317,2555904
1593704322,2555904
1593704327,2555904
1593704332,2555904
1593704337,2555904
1593704342,2555904
1593704347,2555904
1593704352,2555904
1593704357,2555904
1593704362,2555904
1593704367,2555904
1593704372,2555904
1593704377,2555904
1593704382,2555904
1593704387,2555904
1593704392,2555904
1593704397,2555904
1593704402,2555904
1593704407,2555904
1593704412,2555904
1593704417,2555904
1593704422,2555904
1593704427,2555904
1593704432,2555904
1593704437,2555904
1593704442,2555904
1593704447,2555904
1593704452,2555904
1593704457,2555904
1593704462,2555904
1593704468,2555904
1593704472,2555904
1593704477,2555904
1593704482,2555904
1593704487,2555904
1593704492,2555904
1593704497,2555904
1593704502,2555904
1593704507,2555904
1593704512,2555904
1593704517,2555904
1593704522,2555904
1593704527,2555904
1593704532,2555904
1593704537,2555904
1593704542,2555904
1593704547,2555904
1593704552,2555904
1593704557,2555904
1593704562,2555904
1593704567,2555904
1593704572,2555904
1593704577,2555904
1593704582,2555904
1593704587,2555904
1593704592,2555904
1593704597,2555904
1593704602,2555904
1593704607,2555904
1593704612,2555904
1593704617,2555904
1593704622,2555904
1593704627,2555904
1593704632,2555904
1593704637,2555904
1593704642,2555904
1593704647,2555904
1593704652,2555904
1593704657,2555904
1593704662,2555904
1593704667,2555904
1593704672,2555904
1593704677,2555904
1593704682,2555904
1593704687,2555904
1593704692,2555904
1593704697,2555904
1593704702,2555904
1593704707,2555904
1593704712,2555904
1593704717,2555904
1593704722,2555904
1593704727,2555904
1593704732,2555904
1593704737,2555904
1593704742,2555904
1593704747,2555904
1593704752,2555904
1593704757,2555904
1593704762,2555904
1593704767,2555904
1593704772,2555904
1593704777,2555904
1593704782,2555904
1593704787,2555904
1593704792,2555904
1593704797,2555904
1593704802,2555904
1593704807,2555904
1593704812,2555904
1593704817,2555904
1593704822,2555904
1593704827,2555904
1593704832,2555904
1593704837,2555904
1593704842,2555904
1593704847,2555904
1593704852,2555904
1593704857,2555904
1593704862,2555904
1593704867,2555904
1593704872,2555904
1593704877,2555904
1593704882,2555904
1593704887,2555904
1593704892,2555904
1593704897,2555904
1593704902,2555904
1593704907,2555904
1593704912,2555904
1593704917,2555904
1593704922,2555904
1593704927,2555904
1593704932,2555904
1593704937,2555904
1593704942,2555904
1593704947,2555904
1593704952,2555904
1593704957,2555904
1593704962,2555904
1593704967,2555904
1593704972,2555904
1593704977,2555904
1593704982,2555904
1593704987,2555904
1593704992,2555904
1593704997,2555904
1593705002,2555904
1593705007,2555904
1593705012,2555904
1593705017,2555904
1593705022,2555904
1593705027,2555904
1593705032,2555904
1593705037,2555904
1593705042,2555904
1593705047,2555904
1593705052,2555904
1593705057,2555904
1593705062,2555904
1593705067,2555904
1593705072,2555904
1593705077,2555904
1593705082,2555904
1593705087,2555904
1593705092,2555904
1593705097,2555904
1593705102,2555904
1593705107,2555904
1593705112,2555904
1593705117,2555904
1593705122,2555904
1593705127,2555904
1593705132,2555904
1593705137,2555904
1593705142,2555904
1593705147,2555904
1593705152,2555904
1593705157,2555904
1593705162,2555904
1593705167,2555904
1593705172,2555904
1593705177,2555904
1593705182,2555904
1593705187,2555904
1593705192,2555904
1593705197,2555904
1593705202,2555904
1593705207,2555904
1593705212,2555904
1593705217,2555904
1593705222,2555904
1593705227,2555904
1593705232,2555904
1593705237,2555904
1593705242,2555904
1593705247,2555904
1593705252,2555904
1593705257,2555904
1593705262,2555904
1593705267,2555904
1593705272,2555904
1593705277,2555904
1593705282,2555904
1593705287,2555904
1593705292,2555904
1593705297,2555904
1593705302,2555904
1593705307,2555904
1593705312,2555904
1593705317,2555904
1593705322,2555904
1593705327,2555904
1593705332,2555904
1593705337,2555904
1593705342,2555904
1593705347,2555904
1593705352,2555904
1593705357,2555904
1593705362,2555904
1593705367,2555904
1593705372,2555904
1593705377,2555904
1593705382,2555904
1593705387,2555904
1593705392,2555904
1593705397,2555904
1593705402,2555904
1593705407,2555904
1593705412,2555904
1593705417,2555904
1593705422,2555904
1593705427,2555904
1593705432,2555904
1593705437,2555904
1593705442,2555904
1593705447,2555904
1593705452,2555904
1593705457,2555904
1593705462,2555904
1593705468,2555904
1593705472,2555904
1593705477,2555904
1593705482,2555904
1593705487,2555904
1593705492,2555904
1593705497,2555904
1593705502,2555904
1593705507,2555904
1593705512,2555904
1593705517,2555904
1593705522,2555904
