t,value
1593703382,14773784
1593703387,15322760
1593703392,15537360
1593703397,15870608
1593703402,16039480
1593703407,16152280
1593703412,16210792
1593703417,16291288
1593703422,16420256
1593703427,16423824
1593703432,16538120
1593703437,16522720
1593703442,16556224
1593703447,16660888
1593703452,16813616
1593703457,16918960
1593703462,16956144
1593703467,16993104
1593703472,17024112
1593703477,17054760
1593703482,17192152
1593703487,17088376
1593703492,16570136
1593703497,16578072
1593703502,16663144
1593703507,16686488
1593703512,16861024
1593703517,16924120
1593703522,17027464
1593703527,17052120
1593703532,17082216
1593703537,17135656
1593703542,17142752
1593703547,17142752
1593703552,17142752
1593703557,17142752
1593703562,17162400
1593703567,17176384
1593703572,17183616
1593703577,17178792
1593703582,17189608
1593703587,17076328
1593703592,17008232
1593703597,17013520
1593703602,17034576
1593703607,17043280
1593703612,17097808
1593703617,17097808
1593703622,17099632
1593703627,17099632
1593703632,17123056
1593703637,17192760
1593703642,17296888
1593703647,17362104
1593703652,17372728
1593703657,17386648
1593703662,17416664
1593703667,17416664
1593703672,17419840
1593703677,17425344
1593703682,17427008
1593703687,17430848
1593703692,17434048
1593703697,17441856
1593703702,17443040
1593703707,17419936
1593703712,17419936
1593703717,17358752
1593703722,17358752
1593703727,17365792
1593703732,17421392
1593703737,17431696
1593703742,17443792
1593703747,17457552
1593703752,17457552
1593703757,17457552
1593703762,17525880
1593703767,17534976
1593703772,17534976
1593703777,17534976
1593703782,17544320
1593703787,17544320
1593703792,17546048
1593703797,17546816
1593703802,17553536
1593703807,17557696
1593703812,17557696
1593703817,17557696
1593703822,17559552
1593703827,17569984
1593703832,17580992
1593703837,17591744
1593703842,17599488
1593703847,17610304
1593703852,17617536
1593703857,17624256
1593703862,17621504
1593703867,17621504
1593703872,17621504
1593703877,17611072
1593703882,17552128
1593703887,17473600
1593703892,17469696
1593703897,17343616
1593703902,17343616
1593703907,17345216
1593703912,17345216
1593703917,17345216
1593703922,17345216
1593703927,17369968
1593703932,17371024
1593703937,17371024
1593703942,17371024
1593703947,17385808
1593703952,17385808
1593703957,17385808
1593703962,17385808
1593703967,17385808
1593703972,17400976
1593703977,17400976
1593703982,17400976
1593703987,17400976
