t,value
1593703382,9.94257628917694E-4
1593703387,9.97297465801239E-4
1593703392,9.97297465801239E-4
1593703397,9.97297465801239E-4
1593703402,9.97297465801239E-4
1593703407,9.97297465801239E-4
1593703412,9.97297465801239E-4
1593703417,9.97297465801239E-4
1593703422,9.97297465801239E-4
1593703427,9.97297465801239E-4
1593703432,9.97297465801239E-4
1593703437,9.97297465801239E-4
1593703442,9.97297465801239E-4
1593703447,9.97297465801239E-4
1593703452,9.97297465801239E-4
1593703457,9.97297465801239E-4
1593703462,9.97297465801239E-4
1593703467,9.97297465801239E-4
1593703472,9.97297465801239E-4
1593703477,9.97297465801239E-4
1593703482,9.97297465801239E-4
1593703487,9.97297465801239E-4
1593703492,9.97297465801239E-4
1593703497,9.97297465801239E-4
1593703502,9.97297465801239E-4
1593703507,9.97297465801239E-4
1593703512,9.97297465801239E-4
1593703517,9.97297465801239E-4
1593703522,9.97297465801239E-4
1593703527,9.97297465801239E-4
1593703532,9.97297465801239E-4
1593703537,9.97297465801239E-4
1593703542,9.97297465801239E-4
1593703547,9.97297465801239E-4
1593703552,9.97297465801239E-4
1593703557,9.97297465801239E-4
1593703562,9.97297465801239E-4
1593703567,9.97297465801239E-4
1593703572,9.97297465801239E-4
1593703577,9.97297465801239E-4
1593703582,9.97297465801239E-4
1593703587,9.97297465801239E-4
1593703592,9.97297465801239E-4
1593703597,9.97297465801239E-4
1593703602,9.97297465801239E-4
1593703607,9.97297465801239E-4
1593703612,9.97297465801239E-4
1593703617,9.97297465801239E-4
1593703622,9.97297465801239E-4
1593703627,9.97297465801239E-4
1593703632,9.97297465801239E-4
1593703637,9.97297465801239E-4
1593703642,9.97297465801239E-4
1593703647,9.97297465801239E-4
1593703652,9.97297465801239E-4
1593703657,9.97297465801239E-4
1593703662,9.97297465801239E-4
1593703667,9.97297465801239E-4
1593703672,9.97297465801239E-4
1593703677,9.97297465801239E-4
1593703682,9.97297465801239E-4
1593703687,9.97297465801239E-4
1593703692,9.97297465801239E-4
1593703697,9.97297465801239E-4
1593703702,9.97297465801239E-4
1593703707,9.97297465801239E-4
1593703712,9.97297465801239E-4
1593703717,9.97297465801239E-4
1593703722,9.97297465801239E-4
1593703727,9.97297465801239E-4
