t,value
1593703382,4310368256
1593703387,4310761472
1593703392,4311220224
1593703397,4311482368
1593703402,4311678976
1593703407,4311810048
1593703412,4311810048
1593703417,4311941120
1593703422,4471390208
1593703427,4481875968
1593703432,4482007040
1593703437,4482007040
1593703442,4482007040
1593703447,4482138112
1593703452,4482269184
1593703457,4482334720
1593703462,4601937920
1593703467,5319229440
1593703472,5329715200
1593703477,5329780736
1593703482,5329911808
1593703487,5329911808
1593703492,5329911808
1593703497,5329911808
1593703502,5330042880
1593703507,5330042880
1593703512,5489557504
1593703517,5497946112
1593703522,5497946112
1593703527,5497946112
1593703532,5497946112
1593703537,5498011648
1593703542,5498011648
1593703547,5498011648
1593703552,5498011648
1593703557,6016008192
1593703562,6028591104
1593703567,6028591104
1593703572,6028591104
1593703577,6028591104
1593703582,6028591104
1593703587,6028591104
1593703592,6028591104
1593703597,6028591104
1593703602,6267666432
1593703607,6278152192
1593703612,6278152192
1593703617,6278152192
1593703622,6278152192
1593703627,6278152192
1593703632,6278152192
1593703637,6278152192
1593703642,6278283264
1593703647,6437666816
1593703652,6437666816
1593703657,6437666816
1593703662,6437666816
1593703667,6437666816
1593703672,6437666816
1593703677,6437666816
1593703682,6437666816
1593703687,6437666816
1593703692,6437666816
1593703697,6437666816
1593703702,6437666816
1593703707,6437666816
1593703712,6437666816
1593703717,6437666816
1593703722,6437666816
1593703727,6437666816
1593703732,6437666816
1593703737,6439763968
1593703742,6439763968
1593703747,6439763968
1593703752,6439763968
1593703757,6439763968
1593703762,6439763968
1593703767,6439763968
1593703772,6439763968
1593703777,6439763968
1593703782,6439763968
1593703787,6439763968
1593703792,6439763968
1593703797,6439763968
1593703802,6439763968
1593703807,6439763968
1593703812,6439763968
1593703817,6439763968
1593703822,6439763968
1593703827,6439763968
1593703832,6439763968
1593703837,6439763968
1593703842,6439763968
1593703847,6439763968
1593703852,6439763968
1593703857,6439763968
1593703862,6439763968
1593703867,6439763968
1593703872,6439763968
1593703877,6439763968
1593703882,6439763968
1593703887,6439763968
1593703892,6439763968
1593703897,6441861120
1593703902,6441861120
1593703907,6441861120
1593703912,6441861120
1593703917,6441861120
1593703922,6441861120
1593703927,6441861120
1593703932,6443958272
